"sample_ID","S","H","c_score"
1,133,23,1.57894736842105
2,101,23,2.37425742574257
3,124,23,2.12352478363493
4,112,23,1.83622908622909
5,118,23,2.05287556135014
6,110,23,1.68306922435363
7,111,23,2.2022932022932
8,109,23,2.35457016649677
9,131,23,1.82360540223136
10,125,23,1.80632258064516
11,118,23,1.89019266985369
12,111,23,2.05077805077805
13,116,23,2.3695652173913
14,97,23,1.67375429553265
15,111,23,2.02293202293202
16,91,23,2.71208791208791
17,125,23,1.9658064516129
18,117,23,2.06292366637194
19,127,23,1.94575678040245
20,108,23,2.08999653859467
21,120,23,1.96218487394958
22,131,23,1.64603640634175
23,109,23,2.36289500509684
24,122,23,1.5272998238721
25,101,23,1.9849504950495
26,123,23,1.72610955617753
27,118,23,2.0737360567869
28,124,23,1.87372147915028
29,128,23,1.5994094488189
30,135,23,1.60928689883914
31,124,23,1.83713611329662
32,106,23,2.23755615453729
33,116,23,1.92503748125937
34,124,23,1.26488329399423
35,131,23,2.08443922489724
36,117,23,1.95240200412614
37,120,23,2.15854341736695
38,95,23,2.02105263157895
39,116,23,1.83178410794603
40,105,23,2.09157509157509
