archipelago_ID,sample_ID,S,H,K,no_spp_niche_0,no_spp_niche_1,no_spp_niche_2,no_spp_niche_3,no_spp_niche_4,no_spp_niche_5,no_spp_niche_6,no_spp_niche_7,no_spp_niche_8,no_spp_niche_9,no_spp_niche_10,no_spp_niche_11,no_spp_niche_12,no_spp_niche_13,no_spp_niche_14,no_spp_niche_15,no_spp_niche_16,no_spp_niche_17,no_spp_island_0,no_spp_island_1,no_spp_island_2,no_spp_island_3,no_spp_island_4,no_spp_island_5,no_spp_island_6,no_spp_island_7,no_spp_island_8,no_spp_island_9,no_spp_island_10,no_spp_island_11,no_spp_island_12,no_spp_island_13,no_spp_island_14,no_spp_island_15,presence_absence_matrix_cols_isles_concatenated
10,1,52,16,18,2,2,3,3,4,4,4,2,4,5,2,3,3,4,1,2,3,1,10,10,10,10,11,13,11,12,17,16,19,21,24,24,27,44,papapaapaapaaapaaapaaapapaaapaaaaaaaaaaaaaaaaaaaaaaapapapaapaaapaapaaaapaapapaaaapaaaaaaaaaaaaaaaaaaaaaapapapaapaaapaapaaaapaaappaaaapaaaaaaaaaaaaaaaaaaaaaaappapaapaaapaapaaapaaapapaaapaaaaaaaaaaaaaaaaaaaaaaapapapaapaappaapaaaapaapapaaaaapaaaaaaaaaaaaaaaaaaaaapapapaapaaappappaaapaapapaaappaaaaaaaaaaaaaaaaaaaaaapaappaapaapaaapaaappaapapaaaapaaaaaaaaaaaaaaaaaaaaaaappappapaappaapaaaapaapapaaaaapaaaaaaaaaaaaaaaaaaaaapapappappappappaaapapapapaaapppaaaaaaaaaaaaaaaaaaaaapppappapaaapappaaaapaapapaaappppaaaaaaaaaaaaaaaaaaaaappappapppppapppaappaappppaaapaaaaaaaaaaaaaaaaaaaaaapppappappappppppaapppapapaaappaapaaaaaaaaaaaaaaaaaaappppppappappappapappppppppaappaapaaaaaaaaaaaaaaaaaaapppapppppappappaaapppapppppappppaaaaaaaaaaaaaaaaaaaappppppappappappppppppapppppapppapaaaaaaaaaaaaaaaaaaappppppppaapppppapppppapappappppaappppppppppppppppppp
10,2,46,16,18,1,2,3,2,3,2,4,3,4,4,3,2,2,1,4,2,3,1,10,10,10,10,12,10,10,15,15,14,13,18,23,19,21,38,ppapaapapaapapaaapaapaaapaaaaaaaaaaaaaaaaaaaaappapaapapaaappaaaapapaaaapaaaaaaaaaaaaaaaaaaaappapaapapaapapaaaapapaaaaapaaaaaaaaaaaaaaaaaaappaapapapaapapaaaapapaaaapaaaaaaaaaaaaaaaaaaaappapappaapapapaaappapaaaaaapaaaaaaaaaaaaaaaaaappaaappapaapapaaaapapaaaaaapaaaaaaaaaaaaaaaaaappaaappaapapapaaaapapaaaapaaaaaaaaaaaaaaaaaaaappppappapaapapaaappappaaapapaaaaaaaaaaaaaaaaaappapappappappppaappapaaaaapaaaaaaaaaaaaaaaaaaappapappapaapapaaappappaaapapaaaaaaaaaaaaaaaaaappapappapaapapaaappapaaaapapaaaaaaaaaaaaaaaaaappapappappapapaaappppapappppaaaaaaaaaaaaaaaaaappapppppppppppppappappaappppaaaaaaaaaaaaaaaaaappapappappapppaapppappapapppaaaaaaaaaaaaaaaaaappappppappapppaapppapppappppaaaaaaaaaaaaaaaaaappappppappapppapappapppaappppppppppppppppppppp
10,3,66,16,18,4,2,2,6,3,5,1,3,5,6,3,4,5,2,4,4,4,3,10,10,10,10,10,12,11,12,14,16,19,22,27,26,29,59,paaapapapaaaaapaapaaaappaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapapaapaaaapaaapaaappaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaappaapaaaapaapaaaapapapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaappaaapaaapaapaaaapapapaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapapaaapaaapaapaaaapapapaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapppaaappaapaapaaaappaapaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapapapaaaapaapaaaapaapapapaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapapaaapppapaapaaaapapapaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapapaaappapapapaaaapapppaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaapapaaaappapaapaapapapappaaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappappppaaapapappapappapapapaaaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaapapapapppppppppaaapapapaaaapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappappppapppppapppppppapppapapaapppaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaapppapapppapapppppappppppaaapppappaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppapapppappppppppppppppaaapppapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppappppapppppppapappppppppaappppppapppppppppppppppppppppppppppppp
10,4,56,16,18,4,3,4,7,2,3,5,2,3,3,1,5,3,2,2,1,4,2,10,10,10,10,11,11,11,11,17,16,16,23,23,27,30,49,paaapaapaaapaaaaaapapaapaaaapapaapaaaaaaaaaaaaaaaaaaaaaapaaaapapaaaapaaaaapapaaapaaapaapapaaaaaaaaaaaaaaaaaaaaaapaaapaapaaaapaaaaapapaaapaaapaapapaaaaaaaaaaaaaaaaaaaaaapaaapaapaaaaapaaaapapaaaapaapapaaapaaaaaaaaaaaaaaaaaaaaapaaapaapaaapaapaaapapaaapaaapaapapaaaaaaaaaaaaaaaaaaaaaapaaapappaaaapaaaaapapaaapaaapaapaapaaaaaaaaaaaaaaaaaaaaaapaaaapapaaappaaaapapaaapaaapaapapaaaaaaaaaaaaaaaaaaaaaaapaapaapaaaapaaaaapapaaaapaapappapaaaaaaaaaaaaaaaaaaaaaappaappppaaaappaaaapapaappaaapaapppapaaaaaaaaaaaaaaaaaaaapppaapapaaappaaaaapapaappaaapaapapppaaaaaaaaaaaaaaaaaaaappaappppaaaappaaaapappaapaaapappapaaaaaaaaaaaaaaaaaaaaaappaappppaaapppapaapapapppppapappapppaaaaaaaaaaaaaaaaaaaappaapapppaapppapaapapppapppapapppppaaaaaaaaaaaaaaaaaaaaappappppppaapppppaapappppppappappapppaaaaaaaaaaaaaaaaaaaappapppppapapppppaapappppppppppppppppaaaaaaaaaaaaaaaaaaaappaapppppppppppapppppappppaapapppppppppppppppppppppppppp
10,5,55,16,18,5,4,4,4,3,3,3,3,3,4,3,2,4,2,3,2,2,1,10,10,10,11,11,12,12,13,14,21,22,25,26,26,28,45,paaaapaaapaaapaaapaapaapaapaapaapaaaaaaaaaaaaaaaaaaaaaaapaaaapaaapaapaaaapapaaapapaapaaapaaaaaaaaaaaaaaaaaaaaaaapaaaapaaapapaaapaapaapaapaaapaapaaaaaaaaaaaaaaaaaaaaaapaaaaaapappapaaaaappaapaapaapaaapaaaaaaaaaaaaaaaaaaaaaaapaapapaaapapaaaaappaapaapaaapaapaaaaaaaaaaaaaaaaaaaaapaaaapaapaapapaaaaappaapappaapaaapaaaaaaaaaaaaaaaaaaaaaaappaaapaaapaapaaaappaappapaaapaapaaaaaaaaaaaaaaaaaaaaapaaaapaaapapapaaapaapaapaaapappaappaaaaaaaaaaaaaaaaaaaaaaaappapaaapappaappapaappapaaapaapaaaaaaaaaaaaaaaaaaaaaaapappppapapappaapappaappppaapppppaaaaaaaaaaaaaaaaaaaaaaaapppppaapppppaapappaappapapppapppaaaaaaaaaaaaaaaaaaaapppapppppappappaapppppappapapppaappaaaaaaaaaaaaaaaaaaaapapppppppaapapppppppppappppaappaappaaaaaaaaaaaaaaaaaaaapppappappppppppaappppapppappappaappaaaaaaaaaaaaaaaaaaaappppppppppppapppappppaappppaappaapppaaaaaaaaaaaaaaaaaaapappppapppapapppappppaappppaappppppappppppppppppppppppp
10,6,66,16,18,5,6,3,2,4,7,3,4,2,1,2,3,4,5,4,3,1,7,10,10,10,10,11,12,13,14,17,22,18,22,28,29,32,58,paaaapaaaaapaapapaaapaaaaaapaapaaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapaaaapaapapaaaapaaaaaapapaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaaaapaapapaaapaaaaaaapapaaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaaapaapaapaaaapaaaaapapaaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapaaapaapapaaaaapaaaaaapappapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaapapaaapaapaapaaaaapaaapaapaaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaappaapaappaapaaaapaaaapapapapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaapaaapaapapaaapapppaaapapaaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaappapaaaapaapapapapaaappappappaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppaaaaapappapapaappappppappapppapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppaaapaaapaapapaaapaapaaappapppapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaapppaaapaapappaapppppaappapapapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppaappapppaapapppapppppppppppppapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppappppaappapapppappapppappppppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppaappppapppapppppppppppppapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppappppaappapapppappppppappppppapppppppppppppppppppppppppppppppp
10,7,56,16,18,3,2,6,2,2,4,6,4,4,3,1,1,2,3,5,3,2,3,10,10,10,10,10,10,14,14,16,18,22,23,26,26,29,47,paapapaaaaapapapaaapaaaaapaaapaaapaaaaaaaaaaaaaaaaaaaaaapaapaapaaaapapapaaapaaaaapaaapaaapaaaaaaaaaaaaaaaaaaaaaaapapaapaaaapapapaaapaaaaaapaapaaapaaaaaaaaaaaaaaaaaaaaaaapapaapaaaapapaapaaapaaaaapaapaaapaaaaaaaaaaaaaaaaaaaaaaaappaapaaaapapaapaaaapaaaaapaapaapaaaaaaaaaaaaaaaaaaaaaaaappaaapaaapapaaapaapaaaaaapaaapapaaaaaaaaaaaaaaaaaaaaaapaapaapappapapapapaaaapaapaaaapappaaaaaaaaaaaaaaaaaaaaaaaappaapaaaapappaapappapaaappaaaappaaaaaaaaaaaaaaaaaaaaaapappaapaaaapapapapaaapaaapapapppppaaaaaaaaaaaaaaaaaaaaaappppaapppaapapapppapapaaappaaaaappaaaaaaaaaaaaaaaaaaaaaapapppappapapapapppappppaapppaaaapppaaaaaaaaaaaaaaaaaaaaapappaappppapapapppappapaapppapppppaaaaaaaaaaaaaaaaaaaaaaappppappppapapapppappppaapppppppppaaaaaaaaaaaaaaaaaaaaaapppppappapapapappppppppaapppappapppaaaaaaaaaaaaaaaaaaaaapppppappppapppppppapppppapppapppppaaaaaaaaaaaaaaaaaaaaaapppppappppppapapppappppappppapaappappppppppppppppppppppp
10,8,58,16,18,4,2,3,4,5,3,2,2,5,4,2,2,4,3,3,4,4,2,10,10,10,10,10,12,10,15,17,20,19,21,23,27,26,51,paaapapaapaaapaaaapaapapapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapapaapaaaapaaaapaappaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaapaaaappaapaaapaaaaaapappapaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaapaaaappaapaaaapaaaaappapaapaaaaapaaaaaaaaaaaaaaaaaaaaaaaaapaaaappaapaaaaapaaapapapaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaapaaapapaapaaaapaaaappappaappaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapapaapaaaaapaaaapappapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapapaapppapaaaapappppaapapaapaaaaaaaaaaaaaaaaaaaaaaaaaapaaapppaapaaapaaaaapppppapppaappapaaaaaaaaaaaaaaaaaaaaaaaapaaappppppaaapppaaapppppppppaaapaaaaaaaaaaaaaaaaaaaaaaaaaappaapapappaaapppaaappppppppaaappaaaaaaaaaaaaaaaaaaaaaaaaaapaaapppapppaappaaapppppppppapappaaaaaaaaaaaaaaaaaaaaaaaaaappaapppappaaapppaapppppppppapappapaaaaaaaaaaaaaaaaaaaaaaaapapapppppppaapppppppppppppppaappapaaaaaaaaaaaaaaaaaaaaaaaappaapppappppapppaapppppppppppappapaaaaaaaaaaaaaaaaaaaaaaaappappppappaapppppappppppapppappppppppppppppppppppppppppppp
10,9,45,16,18,2,1,1,6,4,1,3,2,3,4,3,2,1,1,5,2,3,1,10,10,11,10,11,11,12,12,14,17,22,19,21,25,24,41,papppaaaaapaaappaapapaapaaaaaaaaaaaaaaaaaaaaapappapaaaapaaapapapapaaapaaaaaaaaaaaaaaaaaaaapappapaaaapaaapapppaapapaaaaaaaaaaaaaaaaaaaaapappaapaaapaaappaapaapaapaaaaaaaaaaaaaaaaaaaapapppaaaaapaaapapapaapppaaaaaaaaaaaaaaaaaaaaapappaappaapaaapapapaapaapaaaaaaaaaaaaaaaaaaaapapppaaaaapaaapapapappappaaaaaaaaaaaaaaaaaaaapapppaapaapaaappaapaapppaaaaaaaaaaaaaaaaaaaaapappaapaaapppappappappaapaaaaaaaaaaaaaaaaaaaapappapapaapppppppppaappapaaaaaaaaaaaaaaaaaaaappppppappapppppppppapppppaaaaaaaaaaaaaaaaaaaapappapapaapppppppppapppppaaaaaaaaaaaaaaaaaaaapappppapaapppppppppppppppaaaaaaaaaaaaaaaaaaaapappppppppppppppppppppppppaaaaaaaaaaaaaaaaaaappppppppaapppppppppppppppapaaaaaaaaaaaaaaaaaappppppppaapppppppppppppppaapppppppppppppppppp
10,10,80,16,18,8,6,6,7,6,4,5,4,5,1,3,4,7,5,1,1,5,2,11,10,10,10,12,15,12,15,20,21,24,28,27,36,43,69,paaaaaaapaaaaapaaaaappaaaaapaaaaapaaapaaaapaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaapaaaapaaaaaapaaaaaapaaaaapaapaaaaapaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaapaaaaaapaaaaapaaaaapaaaaapaaaapaaaaapapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaapaaaapaaaaapaaaaaaapaaapaaapaaaaapaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaapaaaaapapaaaaapaaaaapapaapaaapaaaaapaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaapaaaapappaapaaaaaappaaapaaapaaaaappaappaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaapaaapaaaaappaaaaaapaaaaaapaappaaapaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaapppaaapaaaaaaapaaaaaaapaapapaaaapaappaappaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaaappaaaappaaaaapppaaappaaaapppappapaaapaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaapppaaapaaaaaapaaaaapppaaapaaapppappppapppaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaapppaaapaaaaaapapppaapppaapppappapaappaappaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapapapaaappppaapaapaappaaaaapppaaapppappppapppapppaapaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaappaaaapaapaappppaappppaaapppappppapppapapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaappppappapppaaapppppappapaaapppapapppappppapppappppapaaaaaaaaaaaaaaaaaaaaaaaaaaaappapaapppppappppaapapppppppppppppppppppppapppppppappaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaaaapppppaappppppppppppapppppapppappppapppapppppppppppppppppppppppppppppppppp
