J,mean_S
100.0,10.1
158.48931924611142,10.17
251.18864315095797,10.46
398.1071705534973,10.56
630.957344480193,11.13
1000.0,11.82
1584.893192461114,12.91
2511.886431509582,14.57
3981.0717055349733,17.06
6309.57344480193,20.09
10000.0,23.75
15848.93192461114,27.68
25118.864315095823,32.43
39810.71705534969,36.51
63095.73444801943,40.93
100000.0,45.08
