J,mean_S
100.0,10.05
158.48931924611142,10.11
251.18864315095797,10.18
398.1071705534973,10.29
630.957344480193,10.59
1000.0,11.27
1584.893192461114,11.96
2511.886431509582,13.22
3981.0717055349733,14.84
6309.57344480193,16.73
10000.0,18.96
15848.93192461114,21.1
25118.864315095823,37.33
39810.71705534969,42.5
63095.73444801943,46.44
100000.0,51.56
