archipelago_ID,sample_ID,S,H,K,no_spp_niche_0,no_spp_niche_1,no_spp_niche_2,no_spp_niche_3,no_spp_niche_4,no_spp_niche_5,no_spp_niche_6,no_spp_niche_7,no_spp_niche_8,no_spp_niche_9,no_spp_niche_10,no_spp_niche_11,no_spp_niche_12,no_spp_niche_13,no_spp_niche_14,no_spp_niche_15,no_spp_niche_16,no_spp_niche_17,no_spp_island_0,no_spp_island_1,no_spp_island_2,no_spp_island_3,no_spp_island_4,no_spp_island_5,no_spp_island_6,no_spp_island_7,no_spp_island_8,no_spp_island_9,no_spp_island_10,no_spp_island_11,no_spp_island_12,no_spp_island_13,no_spp_island_14,no_spp_island_15,presence_absence_matrix_cols_isles_concatenated
7,1,64,16,18,4,4,2,4,6,1,4,2,4,4,4,3,4,3,2,4,5,4,10,10,10,11,10,11,12,14,22,20,31,31,44,46,51,52,paaapaaapapaaapaaaaappaaapapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaappaaaapaaaapapaapapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaappaaaaapaaappaaapapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapaaappaaaaapaaappaaapappaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaaappaaaaaapaapaapapapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaapaaappaaaaapaaapaaappapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapaaappaaaaapaaapppaapapapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapppaaappaaaaappaappaaapapaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapappaapapaaaapppaapapaapapaaaaapapaaappapaaapaapppaaaaaaaaaaaapaaaappaappaaaaapapappaaapapaaapaaapaaaapaappaapapppaaaaaaaaaaaaaaappppaappppaappaaappppapappaappapppaaapapappppapppaaaaaaaaaaaapaaappaaapapaaapppaapppappappaapppapppapppppapapapppaaaaaaaaaaaappaappaappppaapppapapppappapppapppappppppappapppppppaaapppaapppapppappapapppaappppaapppappappaapppapppapppppppppppppppapapaapppapapppppappppppappppapppppppppappppappppppappapppppppaaapappppppapapppppapppppaapppappppppppppaappaapppppppppapppppppappppppapppp
7,2,61,16,18,4,5,4,3,4,3,4,4,5,3,3,4,4,3,3,3,1,1,10,10,10,12,10,12,14,16,21,22,27,34,34,39,47,51,paaapaaaapaaapaapaaapaapaaapaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaaapaapaaapaapaaapaapaaapaaaaapaaaaaaaaaaaaaaaaaaaaaaaaapapaaaapaaapaaaapapaapaaapaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaappaapaappapaapaaapaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaapaaapaapaaapaapaaapaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaapaaapaappaapaapaaapaaappaaapaaaaaaaaaaaaaaaaaaaaaaaapaaapappaapaapaapppapaapaaaapaapaaaaaapaaaaaaaaaaaaaaaaaaaaaaaapppppaaappappapaaapaapaaapaaapaaaappaaaaaaaaaaaaaaaaaaaaaaaaapaapaaapaaapaapapapaapaaappaappaaapaapaapaaappaapaappapaaaapapapppaapaaapaaaapapaapaaapaaappaaapaapaapaaapaaappappapaaaapapapapaapppppaapppapaaaapappaapaaaapaappappaapaaapaappapaaaappppppapappaapaapppppaapaapppaappaaappappapaaapppapaappappaaappppppppapppapaapppapaapaaapaaapppaappappapapapaaapaappapaappppppppppapppapappppappapaaappaappapapappaapaappppapaappappappppppppppapppapaappppppappaapppappaappppppappappppppaappppppppppppppppppppappppppapapppaappapppapppppppppppppppppapppappapp
7,3,61,16,18,3,2,2,3,3,3,6,4,5,6,4,3,3,3,4,3,2,2,10,10,10,10,11,10,10,15,21,25,29,30,39,40,49,52,paapapapaapaapaapaaaaapaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapapapaapaapaaapaaaapaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapapapaaapapaaapaaaapaaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapapapaapaapaaaapaaaapaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapappapapaapaapaaapaaaaaapapaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapapapaaapapaaapaaaaapaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapapapaaapapaaapaaaaapaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaappapapapaappapaaapaaaappaapapaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappapapaapaapaaappaaapaaappaaaaapaaappaapaappppaapaaapaaaaaappapapapaappapaaapapaaappaaapaappaaaapapapaaapapaaappapppaaaapaapapapaappapaapppaaaappapppaapppaaaaapapppappppaaapappaaaaappppapapaappapaaappaaapppapapaapaaaaapppapapappppaappappaaaaappapapappappappaapaaaapppapappapppppapapapappapppaaapppppppppppppapapaappapaaappapappppppppapppaappppapapappppaaapapapppppppppppapapppppapappaappppapppaapppppppppapappppppappppppppppppppppppppappppaaapppaappppppppppppaappppppppppppppapppppppppp
7,4,66,16,18,2,4,2,6,5,4,4,5,3,5,2,4,2,3,5,5,2,3,10,10,10,11,12,14,10,13,19,21,29,32,39,39,46,52,papaaapapaaaaapaaaapaaapaaapaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaapaapaaaapaaaaapaaapaapaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaapaaapaaapaaaaaapaapaaapaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaapaaappaaapaaaapaaapaapaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaapaaaaapappaaaaapaapaappaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapappaapaappaaapaaaaaapapppapaaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaapapaaaaapaaaaapaaapaapaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaapaapaaaapapaappaapaaapapaaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaapapapaaapaaaaaapaapaaapaaapaaapaaapapaaapapaapppaapaaaaaaaaapppaaapaaaapaapapaaappaapaapaaaapaapaaaapppaaapppaaapaaapaaaaaaaaapappaapapapaappppaappaaapaappapappappaaappppaapapaaapapapaaaaaaaaapappaapaapppaapappaappappaapaaappapappaapppaaappppaapaaappppaaaaaapappaapapapaappppaapppappaappappppappaaapppaaapapppapaappapaappppppapppapaapppaapaaaapppappappaaapppappapapppaaapapaaappappapppppppppapppppappppaapapppppppppappaaapppppppaapppppapppppapaaapaapapppappappaappppppapppppapppppppppppappppppaappppaappppppapapppappappppp
7,5,67,16,18,7,6,4,7,3,3,5,5,4,2,2,1,3,4,3,3,1,4,10,10,11,10,11,14,13,13,25,22,29,36,40,43,49,54,paaaaaapaaaaapaaapaaaaaapaapaapaaaapaaaapaaapaaaaaaaaaaaaaaaaaaaaaaapaaaaaapaaaaapaapaaaaaaapaapaapaaaapaaaapaaapaaaaaaaaaaaaaaaaaaaaaaapaaaaaapaaapaaaappaaaapaapaapaaaapaaaapaaaapaaaaaaaaaaaaaaaaaaaaapaaaaaaaapaaaapaaaapaaaaapaapaapaaapaaaaapaapaaaaaaaaaaaaaaaaaaaaaaaappaaaaapaaaapaaaapaaaapaapaaapaaapaaaapaaaapaaaaaaaaaaaaaaaaaaaaaappaaaapapaaaapaapaaaaaappaaappaaaapapaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaapaaappaaapapaapaaaaappapaapaaaaapaaaapaapaaaaaaaaaaaaaaaaaaaaaapaaaaaaaapaaaapaapaaaaaappapaappaaappaaapaaapaaaaaaaaaaaaaaaaaaaaaappaaaaapapaaaappapppaaaapaapaappaaappaaapaaapapapppapaaappapaaaaaaaappaaaapapaaaapaapapaaaapaapaappaaaaapaappaapapapppapaaaapapaaaaaaapppappaaapaaaapaappapaaapappappppaappaaappaapapapapapaaappapaaaaaaapaaaaaaaapaaapppappppaaappapppppapapppaapppapppappppppaaappppaaaaaappaaaaapppaaappaappapaaappppppppapapppaappaapppapppppapaapapaappppppppaaaapppaaaappappppppappppapppaaappppappaapppapppppaaaapppappppappppapaapapppapppapppppapppppppppppapppaappaapppppppppaapapapaappppppppapapppppapppppppppappppppppppapppppapppappppapppppappapapaappppp
7,6,58,16,18,6,2,3,5,3,3,2,3,2,6,2,6,3,3,4,2,2,1,10,10,10,11,12,10,12,16,24,20,26,26,34,41,44,47,paaaaapapaapaaaapaapaapapaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapaapaapaaapaapaapapaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapapaapaaaaapapaapaapapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapapaapaaaapaapaapapaaappapaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaapapapppaaapaapaapapaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaapaaappaaaaapapaapapaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaappaaaapapaapaaaappaapapapaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaapapaapaaaapappaappppappaappaaaaaaaaaaaaaaaaaaaaaaaaaapapaapppaapaaaapappaapappappappaaapappaaaappapaapaaapaaaappaaaapapaapaaaapaapaapapapappaapaapappaaaapaapaapaaapaaaapppaaapaaapppaaapaapaapappappappaaapapappaappapaappaapaaaapaappapapapppaaapappaapapaapppapaaapappaaaappapaapapapaaaappaaaapapappppaappapappapaapppppaaappppapaappappapapppapapppppaapappppapaappppaapappapppppapappppappappappppapppapppppppappapapppapappappapppppppppppapppppapapppappapapppapppppappppapppppaapppppaapppppppppppappappppaapppppappppppppp
