archipelago_ID,sample_ID,S,H,K,no_spp_niche_0,no_spp_niche_1,no_spp_niche_2,no_spp_niche_3,no_spp_niche_4,no_spp_niche_5,no_spp_niche_6,no_spp_niche_7,no_spp_niche_8,no_spp_niche_9,no_spp_niche_10,no_spp_niche_11,no_spp_niche_12,no_spp_niche_13,no_spp_niche_14,no_spp_niche_15,no_spp_niche_16,no_spp_niche_17,no_spp_island_0,no_spp_island_1,no_spp_island_2,no_spp_island_3,no_spp_island_4,no_spp_island_5,no_spp_island_6,no_spp_island_7,no_spp_island_8,no_spp_island_9,no_spp_island_10,no_spp_island_11,no_spp_island_12,no_spp_island_13,no_spp_island_14,no_spp_island_15,presence_absence_matrix_cols_isles_concatenated
8,1,59,16,18,3,5,4,4,3,4,3,2,3,2,1,4,3,4,3,5,5,1,10,10,10,10,11,13,13,12,14,19,23,27,31,32,41,50,paapaaaapaaapaaapaapaaapaapapaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaapaaapaaaapaapaapaapapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaapaaapaaaaapaapapaapaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaapaaapaaapaaaapapaapapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaapaaapaaapaapapaapapapaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaappaaaapaapaaapaapapappapapaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaapaaappaapapapaappapapaapaaaaaaaaaaaaaaaaaaaaaaaaaaappaaapaaaapapaaapaapapapaapapaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaappaaapaaapaaapaapapapaapppaapapaaaaaaaaaaaaaaaaaaaaaaaaapaapapaapppapaaapaaapaappapppaapppppaaaaaaaaaaaaaaaaaaaaaaappapappapapapaaapappppappapppaapappaaappaaaaaaaaaaaaaaaaaaappapaaaapapapaaapapppppppapppppppppapapaappaaaaaaaaaaaaaaaappapppaapppapaaapappapappappppappppaaappppppappaaaaaaaaaaaappppaaaapapapapapaapppapppppppapappppappapapapaapppaaaaaaaapppppaaapppappappappapapppppppapappaapppppapppapppapappppaappppppappppppapappppppppppppppappppappppppppapaapppppppappp
8,2,76,16,18,5,5,4,6,2,5,6,5,4,4,4,2,5,6,5,3,4,1,10,11,10,10,11,13,12,14,14,20,22,33,35,46,46,60,paaaapaaaapaaapaaaaapapaaaapaaaaapaaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapaaaapaaapaaaaapapaaaappaaaaapaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapaaaapaaapaaaaapapaaaaapaaaaaapaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapaaapaaapaaaaapaapaaaaapaaaapaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaapaaaaapaapaaaaapapaaaaapaaaaapaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaaapaaapaaaaapapapaapapaaaapapapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaappaaapaaaapaaaapapaaaaapaaaapaapapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaaapapppaaaaapapaappapaaaapaaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaappaaapaaapaaaaapapaaapapaaaaaaapapaaaapaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaapappppaaapaaapaaaaapapaaaaaapaaaapppapaaappaapppapaaaaaaaaaaaaaaaaaaaaaaaaappaaappaaapaaapaaaaapppaaapppaaaapaaaappaaapaaappapapppaaaaaaaaaaaaaaaaaaaaaapappppaaapaappaaaaapappaapppaaaappppapapapppapppapappapapppaaaaaaaaaaaaaaaappaappppaapaaapppaaapapaaapppppaappapapapappaappaapappppappaaaappaaaaaaaaaaappaapppapapapppaaaaapappaappppppappapappaappapppappapppaappppppppppappaaaaaappaapppppapaappaapaapapapapppppapppppapapappapppaapapppaapaaaaappapapppppppapppappppapppappppapppapaaappppappppppppaapppapppppppppaapppppapppapppppppppp
8,3,55,16,18,3,3,2,4,2,2,1,6,3,3,3,5,3,4,4,2,3,2,10,10,10,11,11,13,10,12,13,18,25,25,34,37,38,47,paapaapapaaapapappaaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaappaaapaappapaaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapapapaaapapappaaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaappaaaappppapaaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapppaaappaaapapapapaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaappppaapapapppaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaapapaaapapapaapaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaapappapappaaapapapapaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaapppaaapapapapaaaapaapaapaaaaaaaaaaaaaaaaaaaaaaaaapapppaappaaapapappaaaaapaappapppppaaaaaaaaaaaaaaaaaaaaaapppaapppapapppppapappapaapaappppappappaaaaaaaaaaaaaaaapppppaappapppapppppaaaapaapaaapppapapppapaaaaaaaaaaaaaaappppaappapapapppppaaaappappapppppppappppppappppaaaaaaapppppppppppppapapppaaapppppaapppppppapppppappaaapaaaaaaappppapppapppppppppppaapppppapppppppappappaapaaapppaaaapppppppppppappppppppaappppppapppppppppppppaapppapappppp
8,4,63,16,18,2,4,2,4,1,5,4,5,4,5,2,5,3,3,4,6,2,2,10,11,10,11,10,12,16,14,13,20,22,28,31,42,47,54,papaaapapaaappaaaapaaapaaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaapaapaappaaaappaaapaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaapapaaapapaaapaaaaapaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaappaapapaapapaaaapaapaaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaapapaaapaapaaapaaaapaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaapappaappaaaappaapaaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapappappapaaappaaaappaaappaapapapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapappaapapaaapppaaaapaapapaaaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaapapaaapppaaappaapaaaapaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaappppapppppaappaaaapaaaaaapapapappaaapppaaaaaaaaaaaaaaaaaaaaaaaapppaappappaapppaaappaapapaapapapapaapapaaaappaaaaaaaaaaaaaaaaaapapppppappaappaaaappaapppaapapapapaappppaaapppppaaaaaaaaaaaaaaapappappappaappaaaappaapapappppappppapppapaappppaappaaaaaaaaaaaappppappppppapppaaapppapppaapppapppaapppaapapppppappppppppaaaaaappppappppppapppappppaappppapppappppapppaapppppppappaappapppppaapppppppppppppppppapppppappapapappppppppaapappppppppppppppappppp
8,5,65,16,18,3,5,3,5,3,3,4,4,5,3,6,4,3,4,3,2,4,1,10,10,10,10,10,12,11,13,18,21,25,29,36,41,49,51,paapaaaapaapaaaapaapaapaaapaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaapaaapaaapaapaaapaaapaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaaapapaaaaapapaaapaaapaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaapaapaaaaaapapapaaaapaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaapaaapaaapaapaapaaaapaaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaappappaaapaapaaaapaapaapaaaapaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaapaappaapaaaapapaapaaaapaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaapaaapaaappapaappaaapaaappaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapapapaapppaappapaaapaaappaapaaappappaaaaaaaaaaaaaaaaaaaaaaaaapaappaaapaappaaappapaappaappaaappaappapapaaappaaaaaaaaaaaaaaaaaaapaaapapapaappapappapaappaappaaappaaapappppaaappappaaaaaaaaaaaaaaappappaaapppppaaappppaapaaaapaaapaaappapapapapappppapppaaaaaaaaaaappappapappappaapppapaapppappaaappaappappappapappppappaapppaaaaaaapppppapappapppaapppppappaapppaapppapppppppappapppaaappapaappaaaaapppppppappapppappppppappappppaappapppappppaappppppapppppaapappppapppppappppappaaappppppppapppppappaapppppppaappppppppppppaapappppp
8,6,63,16,18,2,4,5,4,5,5,4,2,2,7,6,3,1,6,3,1,1,2,10,10,10,11,11,12,12,12,18,19,22,25,37,37,40,49,papaaapaaaapaaapaaaapaaaapaaapapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaapaaapaaapaaaapaaaaapaapapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaapaaapaaapaaaapaaaaapaapapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaapaaapaaapaaaaapaaaapaapppapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaappaapaaapaaaaapaaaapaapapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaapppaaapaaapaaapaaaaaapapapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapappaaaaapapaaapaaaapaaaaapaapppapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaapaaaappaaaapaappaaaapaapapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaappaaapaaaapaaappaaappappppappaaaaappaaaaaaaaaaaaaaaaaaaaapapapappapppapapaaaapaaaaapaapapapaapaaappaaaapaaaaaaaaaaaaaaaapapaapppapappaapaaaapapaaappapppapapapaaapaaaapaapaaaaaaaaaaaaapapaaappaaapaaappappppaaaapaapppapapppaappaaaappappaaaaaaaaaaaapapaaappaaappappppapppppppppapppapapapaaappaaappppppppaappaaaaapapaaappppapppappaapppapappappppppppppaappaaaapaappaapaappppaaapappaappaaappaapppapppaaapppapppapppppaaapappappapppppppppappaapppapapppaappaapppapppppapppppppapapppppppaaapppapppppppppppppp
8,7,65,16,18,2,7,8,4,2,3,4,2,5,2,3,5,4,2,2,2,2,6,10,10,10,11,11,10,11,14,19,18,21,23,27,32,36,51,papaaaaaapaaaaaaapaaapapaapaaapapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaaaapaaaaaapaaapapaapaaapaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaaapaaaaaaapaaapapaaapaapaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaaapaaaaaaapaaapapaaappapaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapappaaaapaaaaaaapaaapapaapaaapaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaaaaapaaaaapaaapapaapaaapaapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaappapaaaaapaaaaaaapaaapapaapaaapaapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaappapapaaapaaaaaaapaaapapaapaaapappaaappaaaaaaaaaaaaaaaaaaaaaaaaaappapaaaaappapaaaapaaapappapaappappaaappppaaaaaaaaaaaaaaaaaaaaaaaappappaaaaapaaaaaapaaapapaappaapapppaapaapappaaaaaaaaaaaaaaaaaaaaappaaaappapapaaaaapaaapapaappaapappaaappppapapaapaaaaaaaaaaaaaaaaappappaaappaaappaapaaapapaappaapaapaaappapppaaaappaapaaaaaaaaaaaaappapppaaappaaaapappaapappappaapappaaapaappppaaappaapapaaaaaaaaaaappappaapappaaapaapaaapapappppapappaaappppppappappaapppapaaaaaaaaappappaapappaapaappaaapppaappaapappapappappppppapppppapapappaaaaaappapppppapppaaapapapppappapppappppaapppppppppppppaapppppppppppppp
8,8,53,16,18,1,2,4,2,4,4,3,3,5,4,1,2,5,2,2,3,4,2,10,10,10,10,11,10,10,15,16,22,22,24,29,34,43,46,ppapaaapapaaapaaapaapaapaaaapaaaaaaaaaaaaaaaaaaaaaaaappaapaaappaaapaaaapaapapaaaapaaaaaaaaaaaaaaaaaaaaaaaappapaaaappaaaapaaaappaapaaaapaaaaaaaaaaaaaaaaaaaaaaaappaapaapapaaaapaaapapaapaaaapaaaaaaaaaaaaaaaaaaaaaaaappappaapaapaaapaaapapaapaaaapaaaaaaaaaaaaaaaaaaaaaaaappaaapapapaaaapaaaapapapaaaapaaaaaaaaaaaaaaaaaaaaaaaappaaapapaaapaapaaaapapapaaaapaaaaaaaaaaaaaaaaaaaaaaaappappaappppaappaaaapppapaaaapaaaaaaaaaaaaaaaaaaaaaaaappapapppapapappaaaapppapaaaapaaapaaaaaaaaaaaaaaaaaaaappppppaappappappapppppppaaaapaaappaaaaaaaaaaaaaaaaaaappaapaapapapapppapppppappaaappaappappaaaaaaaaaaaaaaaappappaapapaappppapapppappaaapaaappappppapaaaaaaaaaaaappappaapppappappapppppapapaapaaapppppppapppaaaaaaaaaappapppapapapppppppppppppaaaapaaapppppppapapppppaaaaaappapppapppppppppppppppappppapapppppppapppppapapppppaappappppppppppppppppppppppppppaaapppppppapppppappppapp
8,9,60,16,18,4,3,2,7,6,2,2,4,4,3,3,1,2,4,4,3,3,3,10,11,12,12,10,12,11,16,17,18,25,29,35,43,43,52,paaapaapapaaaaaapaaaaapapapaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaapaaaapaapapaaaaapaaaaapaapapaappaaapaaaaaaaaaaaaaaaaaaaaaaaapaaapaaapapaaaaaapaaaapapppaaappaaapaaaaaaaaaaaaaaaaaaaaaaaapaaapaaapaappaaapapaaapaappaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaapaaapaaapaaaaapaapapaaapaapaaaaaaaaaaaaaaaaaaaaaaaaapaaapaaappaaaaaaapapaapaappapaapaapaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaapaapaaaaapaapapapapaaapaaapaaaaaaaaaaaaaaaaaaaaaaaaapaaappaapppaaaaaaaapaapappppaapppapaaaaaaaaaaaaaaaaaaaaaaaaapppapaaappaaappappaaaapapppaaaapaapaapaaaaaaaaaaaaaaaaaaaaaappaapaaapappaapppaaaaapapapaaappaapaappapaaaaaaaaaaaaaaaaaaappaapaapppapapappaapaapappppaapppapaappapppaaaaaaaaaaaaaaaaapppappaappppaapaapppappappppaappaapaaapppppppaaaaaaaaaaaaaaappaapaapppppappappppapppppppaapppapaaappppapppapppaaaaaaaaaapppppppppppppppappapappappppppppapppappapppppappapappaaaaaaapppppaapppppppapppapappappppaappaappappppppppappppappapppaaapppppaappppppppppppppppappppapppaapppppppppppappppppppppappp
8,10,62,16,18,4,2,4,3,5,5,2,2,5,3,3,6,3,3,4,3,2,3,10,10,11,10,10,11,11,15,14,17,24,25,34,38,42,48,paaapapaaapaapaaaapaaaapapapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapapaaapaapaaaapaaaapapapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapapaaapaapaaaapaaaapappapaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapapaaapaaapaaapaaaapapaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaapaapaaapaaapaaaapapapaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapapaaapaaaapaaapaaapaappaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapapaaapaaapaaapaaaapapppaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppapapaaapaapaaaapapaapapapapaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapppaaaapapaaaapaapapaapppaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaapaaapappaappppaaaapaaaapappaapappaapaapaaaaaaaaaaaaaaaaaaaaaaaappapapapapaapapaapappapapapapappapppappaaaappaaaaaaaaaaaaaaaaappppappappaappaaapaaappapppaaappaapaaapppaapaappaaaaaaaaaaaaapppppapppapppppapapaaappapppppaappapaapppapapaapaapppaaaaaaaaappppppppaappppppaapapaapppppaaappappappppapapaappappaapppaaaaaappappppaappppppaapaaappppppppappappappppapapapppappppppappaaappppppppaapappppppppaappppppppapppapaapppapppaappppppappappppp
