"archipelago_ID","sample_ID","observed_c_score","actual_sample_size","effective_sample_size","mean_c_score","lower_tail_p","upper_tail_p","p_type","standardised_effect_size"
5,1,1.96811594202899,2399,1049.89394470722,1.92987554338117,0.807002917882451,0.195081283868278,"==",0.774761849196254
5,2,1.12401693889897,2699,1035.65091079503,1.03054367786953,0.980363097443498,0.0200074101519081,"==",2.47615513706045
5,3,2.02380952380952,1999,1093.36272589147,1.99780968178325,0.72136068034017,0.28064032016008,"==",0.494045927314396
5,4,0.93796992481203,2399,1031.65247215012,0.949279722858626,0.436848686952897,0.571488120050021,"==",-0.311446314616595
5,5,1.85268505079826,1999,1002.18967237922,1.78134132378236,0.908454227113557,0.0945472736368184,"==",1.36129629753639
5,6,0.697994987468672,2999,1071.59398852135,0.658071278563197,0.920973657885962,0.0793597865955318,"==",1.38840769848767
4,1,2.19591836734694,1999,1041.30446072183,2.11975579626548,0.915957978989495,0.0860430215107554,"==",1.4034031833856
4,2,1.82027649769585,2299,1003.26318487744,1.83001291551994,0.468029578077425,0.53675511091779,"==",-0.206292259940577
4,3,1.4979020979021,2799,1001.47638674291,1.49533224903,0.583065380493033,0.420150053590568,"==",0.0562225993931121
4,4,2.43755102040816,1899,1046.6860312716,2.39868459232034,0.776197998946814,0.229594523433386,"==",0.67976655287894
4,5,1.89259796806967,2199,1012.70128002497,1.892975168156,0.545702592087312,0.460209185993633,"==",-0.00769684186366231
4,6,1.45478723404255,2099,1037.52912198785,1.46014608442386,0.496903287279657,0.511195807527394,"==",-0.115234887281482
6,1,1.76817042606516,1999,1021.82149023617,1.69379489243369,0.933466733366683,0.0675337668834417,"==",1.56974030375633
6,2,1.57482813326282,2499,1005.58981321305,1.51777643897326,0.914765906362545,0.0860344137655062,"==",1.40022821608138
6,3,2.21942697414396,2099,1107.23591528911,2.16362655139431,0.868032396379228,0.132920438303954,"==",1.08315113809854
6,4,1.92401628222524,2299,1003.13977464101,1.78590498808894,0.993040452370596,0.0078294910830796,"==",2.95218487067108
6,5,1.24807692307692,2799,1071.18436864052,1.15520807568637,0.986066452304394,0.0139335476956056,"==",2.69836593616809
6,6,1.60485133020344,3199,1028.39759323358,1.51292743086283,0.980931541106596,0.0190684588934042,"==",2.39794091332779
7,1,1.9702380952381,2099,1040.54671811249,1.77790775274696,0.997617913292044,0.00238208670795617,"==",3.90342267891433
7,2,1.70546448087432,2199,1026.97408860151,1.62990877621969,0.95225102319236,0.0486584811277854,"==",1.86349854953277
7,3,1.41693989071038,2499,1026.02382340041,1.3029622778073,0.989195678271308,0.0108043217286915,"==",2.82206674526455
7,4,2.18881118881119,2499,1003.76612225654,2.11856826646743,0.921168467386955,0.0800320128051221,"==",1.47591787960403
7,5,2.16010854816825,2699,1032.49229542879,2.08009884894635,0.951834012597258,0.0485364949981475,"==",1.79347896648196
7,6,1.86630369026013,2499,1049.38119065707,1.81095547716969,0.871948779511805,0.130852340936375,"==",1.15194659300921
8,1,1.354178842782,2199,1009.42563893623,1.32177741914993,0.795816280127331,0.204638472032742,"==",0.713473258321175
8,2,1.51438596491228,2899,1025.15147858458,1.50270353358387,0.65505346671266,0.348395998620214,"==",0.264547368944744
8,3,1.86801346801347,2199,1013.9368068967,1.74716269868612,0.963165075034106,0.0377444292860391,"==",2.19523279061277
8,4,1.31182795698925,2699,1028.63294066004,1.23159703191734,0.954427565765098,0.0466839570211189,"==",1.9624213238111
8,5,1.28701923076923,2599,1012.98135665979,1.28463406783674,0.584455559830704,0.417853020392459,"==",0.0591508759307513
8,6,1.51356886840758,2399,1016.0818267099,1.50054308769634,0.663609837432263,0.342225927469779,"==",0.293704962641277
9,1,1.28930817610063,1999,1051.67244971753,1.13580584841687,0.988494247123562,0.0115057528764382,"==",3.08157560720394
9,2,1.57001522070015,2399,1002.28542106891,1.47928138500123,0.962067528136724,0.0383493122134223,"==",2.05201235489633
9,3,1.88135593220339,2299,1020.74210242139,1.7024862028036,0.994345367551109,0.00565463244889082,"==",3.33296574209667
9,4,1.35459068294889,2299,1033.40944108949,1.22156960068966,0.982166159199652,0.017833840800348,"==",2.72647883305996
9,5,1.18552036199095,1799,1031.58375066913,1.11159207771705,0.931072818232351,0.0711506392440245,"==",1.76712673935647
9,6,1.0426651081239,3299,1232.73291726948,0.956727584594733,0.951803576841467,0.0484995453167627,"==",2.00961867607381
10,1,1.18778280542986,1999,1014.71365564765,1.02843918188355,0.989494747373687,0.0105052526263132,"==",3.59204385838568
10,2,0.716908212560387,2299,1004.50003253582,0.697319775663857,0.776859504132231,0.227490213136146,"==",0.49827018628533
10,3,1.08065268065268,2599,1022.65405433083,0.893215518609901,0.995767602924202,0.00423239707579838,"==",4.75025245647949
10,4,0.953246753246753,2299,1008.94545227615,0.86096976099151,0.973466724662897,0.0274032187907786,"==",2.51880988972258
10,5,1.83164983164983,2199,1038.8189755603,1.69891824107377,0.981355161437017,0.0186448385629832,"==",2.56935497507442
10,6,1.07738927738928,2699,1027.01430623851,1.06168925553883,0.777324935161171,0.226380140792886,"==",0.428445662773064
1,1,1.90928961748634,2299,1002.84986833356,1.9441042315856,0.224445411048282,0.778164419312745,"==",-0.790691729588685
1,2,1.32928475033738,2299,1031.00683009803,1.39115346166467,0.0843845150065246,0.921270117442366,"==",-1.20085418584285
1,3,2.0969387755102,2199,1036.81300752986,1.96711090074957,0.978171896316507,0.0218281036834925,"==",2.36156848265562
1,4,1.63434343434343,1299,1043.29072026064,1.66114338146671,0.33256351039261,0.676674364896074,"==",-0.514196894367084
