"subset_name","sample_ID","rho","observed_NODF","actual_sample_size","effective_sample_size","mean_NODF","lower_tail_p","upper_tail_p","p_type","standardised_effect_size"
"survey_only",1,1700,66.5151690981808,9099,1002.17262027415,66.6590360661363,0.127706341356193,0.872293658643807,"==",-1.17532686327589
"survey_only",2,1700,69.9681995720683,8499,1030.41489721312,70.119195641777,0.120014119308154,0.879985880691846,"==",-1.20553781488967
"survey_only",3,1700,76.4166433246188,7499,1008.08086505188,76.764436775545,0.0272036271502867,0.972796372849713,"==",-2.07899945905483
"survey_only",4,1700,69.6960745410163,6799,1009.13748027269,70.2001254825719,0.000882482718046772,0.999117517281953,"==",-4.13649257249742
"survey_only",5,1700,70.3145635045128,7299,1015.66395191171,70.715886355302,0.00109604055350048,0.9989039594465,"==",-4.0634498575479
"survey_only",6,1700,73.8036602830346,7199,1003.0519444443,73.7583682311648,0.638005278510904,0.361994721489096,"==",0.418650185495305
"survey_only",7,1700,71.5933972863814,6399,1029.04190764384,71.6975514069876,0.192530082825441,0.807469917174559,"==",-0.846949337023438
"survey_only",8,1700,68.1991550267279,8999,1010.07661212138,68.5388071486659,0.00144460495610623,0.998555395043894,"==",-3.39567607454633
"survey_only",9,1700,73.4550223757201,10599,1125.55570109026,73.4749065384791,0.41032172846495,0.58967827153505,"==",-0.131097302919375
"survey_only",10,1700,75.3946102587419,6999,1000.23626658909,75.5518983158786,0.0637233890555794,0.936276610944421,"==",-1.63972283846948
"survey_only",11,1700,70.1396766622536,9499,1016.74990799474,70.2560327134847,0.139172544478366,0.860827455521634,"==",-1.08905953325725
"survey_only",12,1700,72.1398434580879,12399,1006.26913889666,72.1887992828455,0.313251068634567,0.686748931365433,"==",-0.405267210043433
"survey_only",13,1700,68.517921599175,4099,1115.93986826792,68.7128676698669,0.139058306904123,0.860941693095877,"==",-0.906292307688714
"survey_only",14,1700,59.4950291521896,17099,1004.64844875626,60.1904786115031,5.8482952219428e-05,0.999941517047781,"<",-7.35074721050745
"survey_only",15,1700,66.334417961749,10799,1002.72648942617,66.3791683351554,0.301694601351977,0.698305398648023,"==",-0.434184239835256
"survey_only",16,1700,69.2109475871544,9499,1002.10450311379,69.6651806138521,0.00326350142120223,0.996736498578798,"==",-3.12584291763505
"survey_only",17,1700,72.2099880437206,6399,1000.27470811315,72.4867762713687,0.0217221440850133,0.978277855914987,"==",-2.35648613890805
"survey_only",18,1700,73.6372121094632,7299,1009.24386852869,73.9270290036987,0.0139745170571311,0.986025482942869,"==",-2.50433848737478
"survey_only",19,1700,75.3992845793011,7199,1015.15359970691,75.39934319647,0.462703153215724,0.537296846784276,"==",-0.000449958183494798
"survey_only",20,1700,66.2024070369637,7199,1010.48523960552,66.3524961578076,0.0980691762744826,0.901930823725517,"==",-1.37258612650092
"survey_only",21,1700,69.6627431353078,7199,1024.57160918777,69.7324508448236,0.253785247951104,0.746214752048896,"==",-0.599285480593084
"survey_only",22,1700,66.2691397861281,2799,1033.69514751084,66.7717435958551,0.0989639156841729,0.901036084315827,"==",-2.06165132577289
"survey_only",23,1700,74.459193048523,5399,1017.48755438708,74.4573273099606,0.476014076680867,0.523985923319133,"==",0.011819036904686
"survey_only",24,1700,68.8402338303516,6599,1006.10240046086,69.0167746379608,0.0563721776026671,0.943627822397333,"==",-1.70747610708182
"survey_only",25,1700,76.9014650463724,4799,1006.35672142428,77.1650931495979,0.0731402375494895,0.92685976245051,"==",-1.53147530847492
"survey_only",26,1700,65.9504333223324,7599,1002.3938286111,66.189859723993,0.0115804711146203,0.98841952888538,"==",-2.55790721760695
"survey_only",27,1700,72.9671084798752,10399,1001.70690845723,73.2960271999306,0.039619194153284,0.960380805846716,"==",-2.00339071788802
"survey_only",28,1700,70.7664738419926,8399,1001.42025289434,71.0528578191824,0.0113108703417073,0.988689129658293,"==",-2.64465931403705
"survey_only",29,1700,70.0826598169817,9999,1000.61603170285,70.1679612678927,0.267726772677268,0.732273227322732,"==",-0.530065727993032
"survey_only",30,1700,71.5798419781619,8199,1002.78803959295,71.4919319050839,0.729967069154775,0.270032930845225,"==",0.671541272167208
"survey_only",31,1700,67.8932067735273,6099,1012.13225423879,68.0692589335709,0.0775536973274307,0.922446302672569,"==",-1.52746991288703
"survey_only",32,1700,72.9114443062515,9899,1014.5646533384,73.0846409398946,0.0878876654207496,0.91211233457925,"==",-1.40365668030617
"survey_only",33,1700,71.2104818752365,4799,1005.75296919698,71.2465731765738,0.2723484059179,0.7276515940821,"==",-0.164794651578787
"survey_only",34,1700,70.8748646929159,10999,1010.76763234398,71.0716939256452,0.0419129011728339,0.958087098827166,"==",-1.8637563691994
"survey_only",35,1700,72.0903461741695,8199,1001.95957256845,72.522116635067,0.00170752530796439,0.998292474692036,"==",-3.30022158396626
"survey_only",36,1700,72.7708803842241,7499,1079.04417930001,73.1129521432459,0.0121349513268436,0.987865048673156,"==",-2.67647708581205
"survey_only",37,1700,73.4892914616628,7199,1015.93079810123,73.7233048007137,0.0430615363244895,0.95693846367551,"==",-1.84076545576233
"survey_only",38,1700,71.1077417805639,8799,1004.85083387834,71.0533412236657,0.717126946243891,0.282873053756109,"==",0.633216363990446
"survey_only",39,1700,72.4136282842968,8399,1017.28850700393,72.6102123891032,0.0669127277056792,0.933087272294321,"==",-1.64464844868825
"survey_only",40,1700,66.0776527568467,9099,1002.36307025282,66.3291652350188,0.00560501153972964,0.99439498846027,"==",-2.92788874590545
"survey_only",41,1700,67.4871516238265,8099,1008.94475674205,67.5264097236762,0.266946536609458,0.733053463390542,"==",-0.518443409460245
