species_name,langkawi,tioman,pangkor,terutau,perhentian_besar,pisang,bidong,redang,rumpia,jarak,berhala,pemanggil,perak,lalang,sarang_lang,tokong_simbang
hairy_backed_bulbul,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
little_green_pigeon,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
black_headed_munia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spectacled_bulbul,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
buff_vented_bulbul,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
black_winged_flycatcher_shrike,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaintive_cuckoo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lesser_coucal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asian_palm_swift,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
black_nest_swiftlet,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
paddyfield_pipit,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
jambu_fruit_dove,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sunda_crow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
blyths_hawk_eagle,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
abbotts_babbler,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
yellow_breasted_flowerpecker,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rufous_winged_philentoma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mangrove_pitta,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
greater_flameback,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
barred_buttonquail,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown_backed_needletail,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grey_headed_fish_eagle,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sunda_brush_cuckoo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
white_rumped_munia,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
crimson_breasted_flowerpecker,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moustached_babbler,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scaly_crowned_babbler,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
yellow_bellied_prinia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
slaty_breasted_rail,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
large_green_pigeon,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
banded_bay_cuckoo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blue_breasted_quail,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plain_sunbird,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malayan_black_capped_babbler,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swinhoes_white_eye,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
scarlet_minivet,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
black_winged_kite,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chestnut_breasted_malkoha,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common_tailorbird,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
banded_kingfisher,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunda_fulvetta,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
little_bronze_cuckoo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
yellow_vented_flowerpecker,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
indochinese_blue_flycatcher,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olive_backed_woodpecker,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laced_woodpecker,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wreathed_hornbill,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
oriental_darter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
white_browed_crake,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baya_weaver,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
puff_throated_babbler,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
grey_throated_babbler,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stripe_throated_bulbul,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chestnut_headed_bee_eater,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wrinkled_hornbill,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
black_hornbill,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
great_hornbill,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
