J,mean_S
100.0,10.07
158.48931924611142,10.14
251.18864315095797,10.44
398.1071705534973,10.69
630.957344480193,11.22
1000.0,11.85
1584.893192461114,13.01
2511.886431509582,14.31
3981.0717055349733,16.47
6309.57344480193,18.49
10000.0,21.21
15848.93192461114,23.66
25118.864315095823,26.94
39810.71705534969,29.25
63095.73444801943,31.53
100000.0,34.62
