sample_ID,S,H,K,no_spp_niche_0,no_spp_niche_1,no_spp_niche_2,no_spp_niche_3,no_spp_niche_4,no_spp_niche_5,no_spp_niche_6,no_spp_niche_7,no_spp_niche_8,no_spp_niche_9,no_spp_isle_0,no_spp_isle_1,no_spp_isle_2,no_spp_isle_3,no_spp_isle_4,no_spp_isle_5,no_spp_isle_6,no_spp_isle_7,no_spp_isle_8,no_spp_isle_9,no_spp_isle_10,no_spp_isle_11,no_spp_isle_12,no_spp_isle_13,no_spp_isle_14,no_spp_isle_15,presence_absence_matrix_cols_isles_concatenated
1,49,16,10,4,5,6,7,10,4,3,3,3,4,11,10,11,10,11,11,13,15,15,19,20,20,27,27,32,38,paaapaaaapaaaaappaaaaapaaaaaaaaapaaapaapaapaapaaaapaapaaaapaaaaaapaaaaaapaaaaaaaaapaaapaapaapapaaapaaapaaaaapaaaaapaaaaaaapaaaaaaaaapaapapaapappaaapaaaapaaapaaaaaapaaaaaapaaaaaaaaaaapaappaaapaapaaaapapaaaapaaaaappaaaaapaaaaaaaaaaapaapapaaapapaaaapaapaaaapapaaapaaaaaapaaaaaaaaaaapaapaapaaapapaapaaapaaaapaaaaaapaaaaappapaaaaaapapaapaapapaapaaapaaapaaaapaapaappaaaaappaaaaaaaapapaapapaaaappapapapppaaaapaaaaaappaaaappapaaaaaaaapaaappaapaaaapappaapppaapaapaappaaaaappaapaaaaaaaapaapaapappppaapppappaaapaapaaapaaaaappappppaaapaaaapaaapppapaaapppappaaapaaaaappapaaappapaapppaaapaapaapaapaaaapppppppppapaaappppappaappapaaappaaapaapapapppaapaapppppppaapappaappapaaappppaappppaapaappapapaapaaapppppppappappappppapaapppppapppapapaapaappppapaaapppppppapppppaappppppppppppapppppapapappaapppppaa
2,49,16,10,7,3,6,8,4,3,4,3,6,5,10,10,10,11,10,12,15,14,15,20,20,17,27,30,25,27,paaaaaapaapaaaaapaaaaaaapaaapaapaaapaapaaaaapaaaaapaaaaapaapaaaaaapaaaaaapaaapaaapaapaaapaaaapaaaaapaaaaapaaapaaaaaapaaaaapaaapaaapaapaapaaaaaapaaaaapaaaapaapaaaaapaaaaaaappaaapaaapapaapaaaaapaaaaapaaaaapaaaapaaapaaaaaaapaaapaaaapapaapaaaaapaaaaapapaaapaapaaaaaapapaaaapaaapaapaaapaaaapaaaaapaaaaaapaapaappapaapapapaaapaaaapaapaapaapaaaaapaapaaaaapaapaapppaaaaapapaaappaapaaapaapaapaaaaaaaapaapaapaapaappaaaapapapaaapaaapaaappapaapaaaaaaapaapppapaapaapppapapapapaaappaapaaaapapaappaaaaapaaappaappppaapppaaaaapapaaappaapaaapaappapaaaaapapaapppappapaapapaaapapapaaapaaapaapaaapaapaaaaaaapaapppappappapppapapppapppappaapappaaapappaaaaapapaappppppapappppapapapapapapppppaaappapapapapaapapappppappppaapppapapapapaappppaapaapaapaaaapappaapaapppappppaapppapppppapaaappaappaaapppaapaaaaapapap
3,54,16,10,6,12,3,7,7,4,3,5,5,2,10,12,12,11,10,13,13,14,19,19,28,23,32,31,32,41,paaaaapaaaaaaaaaaapaapaaaaaapaaaaaapaaapaapaaaapaaaapaapaaaappaaaaaaaaaaapapaaaaaaapaaaaaapaappaapaaaapaaapaaapaaaaappaaaaaaaappapaaaaaapaaaaaaapaaapapaaaapaaaapaapaaaaaaaapaaaaaaaapapaaaaaaapaaaaaaappapapaaaaapaaapaaaapaaaaaaapaaaaaaapaapaaaaapaaaaaaaaappaapaaaaapaaaapapaaaapaaaaaaaaaaappapaaaaaapappaaaaaappaaaapaaaapaapaappaaaaaaaapaaaaaappapaaaaaapapaaaaapaaaapaaapaapaaapaapaaaapaaaapaaaaaappppaaaaaapaaaaaappaapaaaaaappaaaapappaaaappaaapppaaaapppppaaaaappaaaaaaapaaapaaaapaaapapaapppaapaapapapaaaappppaaaaaapppaaaaapaaaappaaaapaaaapapppppapapaappapaaapppppppaaapppapaaaaapaapppapaapaaapapappaappaaapppaaaappappaappapppaaaaapapapaaaapaaaaappapppppappapapppppaapppppappaapppaapaaappappaaaapppaaapappppppppppapppppaapppppaapaappppaaaaaapapppaaaaapaaapappppppppppappppapapppppaapaapppaaapaaappaapaaappaaappapppppappppppppppappppppppppppppppppapapppapaaaappaaapa
4,38,16,10,7,4,2,2,6,3,4,4,3,3,10,10,10,11,11,11,13,15,19,16,17,17,23,20,23,24,paaaaaapaaapapapaaaaapaapaaapaaapaapaaapaaaaapaaapaappaaaaapaapaaaapaapaapaaapaaaaapaaaapappaaaaaapaapaapaaapaaapaapaaaaapaaaapappaaaaaapapaaappaaapapaappaaaaapaaaappaapaaaaapapaaapaaapaapaapaaaaaapaaaapppapaaaapaapaaaaapapaapaapaaaaaapaaappppappaaaapaaapaaapapaapaappaaaaappaappppppaaaapaapaaaapaapaapaapppaaaappaappppppppaapaapaaaapaappapaappaaaaappaappppppaaaapaaaaapapapapapaapppaaaappaappppppaapapaapaaaapaapaapaappaaaaapppappppppaapaapapaaaaapapaapaappppaaapppapppppppaapapppapaapaapappaapppaaaapppapppppppaapppapaaaapaapaapaapppapaappaapppppppapppaapaaappaaapppappppaappppappppppppappaapppaaappapaapaa
5,51,16,10,5,8,7,7,9,2,3,3,5,2,10,10,11,11,11,15,11,13,18,19,22,28,28,35,33,35,paaaapaaaaaaapaaaaaapaaaaaapaaaaaaaapapaapaapaaaapaapaaaapaaaaaapaaaaaapaaaaaaapaaaaaaaappaapaapaaaapapaaaaaappaaaaapaaaaaapaaaaaaapaaaaaaappaaapaapaaapaapaaaapaaaaaapaaaaaaaapaaaaaaappaaaaappaaapaapaaapaapaaaapapaaaapaaaaaapaaaaaaapaaaaaaaappaaaapapaaapaapaaaapppaaaapapaaaaaaapaaaaaaaapaaaappaaapaapppapapapaaapaaaaaapaaaaaaapaaaaapaaaaaaaaappaaapapaaaapaapaaaapaaaaaapaapaaapappaaaapaaaaaaaappaaaapaaaappaappaaapaapaaaappapaapapaaaappaappaaaappaaaappaaaaapppaaaapaaaaaapppaapappppaaappaaapaaaapapaaapapaaapappapaapapaaaappapapappppaaapppaaapaaappaaaapapaaapapppppppppaaaappppapappppaaappaaapppaappaaapapaaaapappppappappaaappapaaapppppaapppapppaapppaaaapapaaapappppappppappappppppappppapappaapppppappaaapappapaapppppappppaappppppppappppaapppaappppaapaapaapppaaapappppappppappapppppppppppaaapppappppapppaaapppaaaapa
6,52,16,10,9,6,6,6,3,7,4,5,3,3,10,10,10,11,10,12,13,13,15,18,21,21,25,27,30,32,paaaaaaaapaaaaapaaaaapaaaaapaapaaaaaapaaapaaaapaapaapaaaaaaaapaaaaaapaaaaapaaaapaaapaaaaapaaaapaaaapapaaapaaaaaaapaaaaaaapaaapaaaaapaaaapaaaapaaapaaaapaapaaaapaaaaaapaaaaappaaaaaapaaapaaaaapaaapaaapaaaapaaapaaaapaaaaaapaaaapaaaaaaapaaapaaapaaaaapaaaaapaaaappaaaapaaaaaapaaaaappaaaapaaaaapaaaapapaaapaapaaaapaapaaaaappaaaapaaaaappaaaappaaaapaaaaaaapapaaapaaaaapapaapapaaaaaapaaaaappaaaapapaaapaaaaaapaapaaaaaapapaapaapapaaaaaapppaaappaaaappaaaapaaaaaapaapaaapaaaaapapaapapapaaaappaaaappapaapppaaappaaapaaaaaapapaaaaaappaapppppaaaappaaaappppaappapaapaaaaaapaapapaaaapaapapaappppapaaapppaaappaapapppaaapapaaaaapapaaapaaaapaapaappppaaaaapppppapppppapppapapaaapaapaaaapapaaaaapapaapppppaaaapppaaapppppappppaappaappaaaapaapaaapapappaapppppappapppaappppppappppappaaapapaappaaaaaaappaapappppppapappppappppapppppppappaaaapaaaaaaappaappppppaa
7,44,16,10,7,6,5,7,3,4,1,3,5,3,10,10,11,10,11,12,14,17,12,17,19,22,26,22,27,31,paaaaaapaaaaapaaaapaaaaaapaapaaappaapaaaapaaapaaaaapaaaaapaaaaapaaaaapaapaaappaapaaaapaapaaaaaaapaaaapaaaapaaaaaapaaappappaaapaaapaaapaaaaapaaaaapaaaapaaaaaapaaapaapapaapaaapaaaapaaaappaaaapaaaapaaaaaapaaapaappaapaaaapaaapaaaaaaappaapaaaapaaaaaapaaapaappaapapaapaapppaaaappaaaappaaapaaaaaapaaapaappaapaaaapaappaaaaapppapapapaapppaaaapaaapaappaapaaaapaaapaaaaapapaaappaaapaaaaaapaaaapappaapaaaapaappaaaaapppaaappaaapppaaaapaaapaappaappaaapaapppaaaappppaappaaapapaaaapaaappappaappaaapaappppaaapppaaappapapppaaaappaapaappaapppaapaapppappappppapppppppppaaaappaapaappaaaaapappapppaaapppppaappapapppaaaapppapaappaaaapaapaapppaapapppapapppppppppaaapppapaappapappaapaapppaapappppppppppppppappppppaaapppaapaaappap
8,47,16,10,7,4,5,8,3,4,6,3,4,3,10,10,11,11,12,10,14,15,14,19,23,21,26,28,30,32,paaaaaapaaapaaaapaaaaaaapaapaaapaaaaapaapaaapaapaaaaaapaaaapaaaapaaaaaapaapaaaapaaaaapaapaaapaapaaaaapaaapaaaaappaaaaapaapaaaaapaaaapaapaapaaapaaaaapaaappaaaaaapaaaapaaapaapaaaaapaapaaaapaaappaaapaaaapaaapapaaaaapaaaapaapaaaaapaapaapaaaaapaaaapaaapaaaaaaapaaapaapaaaaapaaaaapaapapaapapapaaapaaapaaapppaaaaapaaaapaaaapaapaaapaapaapappapappaappaaaapaaaaaapaaapaapaaaaapaaaapaaappapaaappaaappaaaapaaaaaappaapaaapaaaapaaaapapaappppaappapappaaapppaaaaapaaaapaaapaaapaappaapaapapapppppaapppaapppapaaappapaaapapaaappaapaapaapppapapppaapppaaappaaaaappapaappaaapaaappaaapaappppppappaappppappppappappaaaapappaaapaapaaapaapppppapppaapppappppaaapappappaaaapaapppppapapaapppppppppappppappppaaapappppaaapppaaappapapapaapppppppppaapppappppppapppppapappapaaapaappappaa
9,47,16,10,6,6,6,7,5,6,3,4,3,1,10,11,12,10,12,14,13,13,16,17,17,23,23,28,29,34,paaaaapaaaaapaaaaapaaaaaapaaaapaaaaapaapaaapaappaaaaapaaaaapaaaaapaaaaaaapaaaappaaapaaapaapaappaaaaappaaaapaaaaappaaaaaaapaaapaaaapaapaaapaappaaaaapaaaaapaaaaapaaaaaaaapaaaaapaapaaapaapaappaaaaapaaaaappaaaaaapaaaaapaaaaaaapappaaapaapapappaaapaaaaapapaaapaaaaaaaappaapaaaapaappaapaappaapaapaaaaapaaaaappaaaaaappaaaaaapapaaaapaapappaaapapaaaaapaaaaappaaaaaappaapaaaaapaaaapapaappaaaaapaaaaapaaaaappppaaappaaaapaaaapappapaapappapaaapapaaappaaaaappaaaaapppaapaaappaaapaapaappapaaappaaaapaapaappaaaaapppaaapaapapaaaapapaappppaaappapaappappappappaaapppaapaapapaaaaappaappppapappaapappaaappppaaaappppaaaaapapaappaapaappapppappaapappapppppppaaappppaapaapapaaappappappppaaapppapappapapppppappppppaapaapapaappaappapppppappppappppppppppppaappppppapappapaaapaaappp
10,42,16,10,4,3,4,5,6,1,5,4,4,6,10,10,10,10,11,11,12,14,13,16,13,16,23,21,23,27,paaapaapaaapaaaapaaaaappaaaapaaapaaapaaaaapaaapaapaaapaaaaapaaaapapaaaapaapaaaapaaaaapaapaapaaaapaaaaapaaapaapaaaapaapaaaapaaapaaapaapaaaapaaaapaaaapaaapaaaapaapaaapaaapaaapaaapaaapaaaapaaaapaaapappaaapaaaapaaapaaapaapaaapaaaaapapaapaaaappaaapaaapaaaaapaaapaapaaappaaappaaaapaaaapapaapaaaaaapaapaaapaapaaapaaaapapapapapapaapaapapapaaaaapaaapaapaaappaaaapaapapaaapaaapappaapaaaaappaapaappaappaaapppapapaaaapaapapaaapaaaaappaapaapaaappaaappaaaapaaapaapaapaaaaapaaapppappapaaappaaappapaapaaaapaapapaaaaapaaappaapaapppppppaapppapppaaapapppapaaapaaapapppapaappaapppaapppappppaapppaaapaaapaaaaappaapapppapppppppppppapaaaapappapaaapaaaaapppppppppppppppapppppapaaapapaaapaappaaaap
