sample_ID,S,H,K,no_spp_niche_0,no_spp_niche_1,no_spp_niche_2,no_spp_niche_3,no_spp_niche_4,no_spp_niche_5,no_spp_niche_6,no_spp_niche_7,no_spp_niche_8,no_spp_niche_9,no_spp_isle_0,no_spp_isle_1,no_spp_isle_2,no_spp_isle_3,no_spp_isle_4,no_spp_isle_5,no_spp_isle_6,no_spp_isle_7,no_spp_isle_8,no_spp_isle_9,no_spp_isle_10,no_spp_isle_11,no_spp_isle_12,no_spp_isle_13,no_spp_isle_14,no_spp_isle_15,presence_absence_matrix_cols_isles_concatenated
11,57,16,10,11,4,6,4,9,5,3,6,3,6,10,11,10,10,13,12,18,12,15,16,23,20,33,30,36,40,paaaaaaaaaapaaapaaaaapaaapaaaaaaaapaaaapaapaaaaapaapaaaaappaaaaaaaaaapaapaaaaapaaaapaaaaaaaapaaaapaapaaaapaaapaaaaaapaaaaaaaaapaapaaaaapaaapaaaaaaaapaaaaaapapaaaapaaapaaaaaapaaaaaaaaapaapaaaaapaaaaapaaaaaaapaaaapaapaaaaapaaapaaaaaapaaaaaaaapaapaaaaapaaaaaappaaaaappaapaaaapaaapaaapapaaapaaaaaaaaaapaapaaaaapaaapapapaaaaaaapaaapapaaaapaaapaaaapappaaaaaaappaappaaaappaaaaapppaaaaaapaaapaaapaapaaapaapapaaaaaaaaaapaaapaaaaapaaaappapaaaapaaaaaapapaaaapaaaaaaappaappaaaaaappaapaaaaapaaaappaaapaaaaapaapaaapaaapaaaaaapappaaapaaaaapppapaaaaappaaaaaappaaaaaapapaaaapaaapaaaapaaapppppapaaaapppappaaaappaappapappaaaaapapaaaaaapapaaaapaaapppppapaaaappaapaaaaapaaaapppppaaaaaapapaaapaaaaapaaapaaapppppappaaapppapppaaappaapppppppppppaaapaaappaaappaapaapapppppapaaaapppappapppppaappppppapaaaapaaapapaaappaaappaaapppppappppapppappaaappppappppppapaapappppaappaaappaappaaapppppppppapppppppaappppappppappppppaaappaaapapaapppaapppa
12,51,16,10,6,6,3,9,7,6,4,3,4,3,10,10,10,10,12,12,13,15,18,17,22,25,30,27,31,34,paaaaapaaaaapaapaaaaaaaapaaaaaapaaaaapaaapaapaaapaapaaaaapaaaaapaaapaaaaaaapaaaaaaapaaaaapaaapaapaapaaapaaaapaaaaapaapaaaaaaaaapaaaaaaapaaaapaaapapaaapaaapaaaapaaaaapaaapaaaaaaapaaaaaaaaapaaapaaapaaapapaaapaaaaapaaaapaaaappaaaaappaaaaaaaaapaaapaapaapaapaapaaaaaapaaaapaaapaaaaaaaappaaaapaaaapapaaapaapaapaapppaaapaaaaapaapaaapaaaapaaaaaapaaaaaapaaapaapaapaappaaaappaaaapaaapaapaaaapaappaapaaaaaapaapaaapaapaappaaaappaaaappaaaaappaaapppppaapaaaaaapaaapaapaapaappaaaapaaaaappapppappaaappaaaaaapaaaaapaaapaapaapaappaaaappppaappappaapapaappappaapaaaaaapapapaapaapaappapaappaaaappapppapppaapppppaappaaaaapaappaapaaapappappapppppappapppppppaappppppapaaaaaapaappapaaapaappapaapppaaappppppapppaapppppaapaapaaapaaaapapaappappppaappppaappppppppppaapppppapaaapaaapaaapappaapapppapapppppappppppppppppppppppaapaaaaaapaappappappaa
13,40,16,10,6,5,4,5,5,4,3,3,4,1,11,10,10,11,10,12,15,13,17,17,18,22,25,26,26,31,paaaaapaaaapaaapaaaappaaapaaapaapaapaaappaaaaaapaaapaaapaaaaapaaaapaaapaapaapaappaaaaaaapaapaaapaaaaapaaaapaapaaaappaaapappaaapaaaaapaapaaaapaaaaapaapaapaaaapapaapaaaaapaaaapapaaaapaaaaapaapaaaappaaapppaaaapaaaapaaappaaaapaaapaaapaaapaapaappppaaapappapaaapapaapaaaaapaaaappaaapaappaapaaaapaapaaappaaapapaaapaaaappaapaaappaappapapaapaaappaaapppaaapaapaapaapapapppaapapapappaaapppaappaaaapaapaapaapaaappppapapappappaapaaaappaaaapaapaappaaaappppappppppaappaappaaappppaapaapaapaappaappppapapppppppaapppaappppappaapaapappaaappppppappppppaapppppappppaaapapapapaaapappppppppppppppaappppappppaapaapaapaaaapappppppppppppppaappppppppppapapppapaapaapp
14,55,16,10,6,7,9,5,6,4,5,4,3,6,10,10,11,10,10,11,12,14,19,19,21,22,27,33,33,35,paaaaapaaaaaapaaaaaaaapaaaapaaaaapaaapaaaapaaapaapaaaaapaaaaaapaaaaapaaaaaaaapaaaaapaaaaapaaapaaapaaapaaapaaaaappaaaaapaaaaapaaaaaaapaaaapaaaaapaaaapaaapaaapaaapaaaapaaaaapaaaaaapaaaaaaaaapaaaapaaaaaapaaapaapaaapaaaapaaaapaaaaapaaaaaaapaaaaaaaapaapaaaaaaapapaaaapaaapaaaaapaaapaaaapaapaaaaaapaaaaaaapaapaaaaaapaaaaapapaaapaaaaaapaappaaaaaapaaapaaaaaaaappaaapaaaaapaaaapaaapaaapaaaaaaappapaaaapappaapaaaaaaaappaaaapaaaapaaapaaaapaaaapaaaaapappapaaapappaappaaaaaaapapaappppaapaaaapaaapaaapaaaapaaappppaappapapapaaapaaaappaaappaaaaaaapapaaaapaapaaaapaaappaaaaapapppappaaaaaaapppaappaaaapaaapaaaaaappappaapaapppapaappapapppppaaaaaapppaappaaaapaapaaaapapaapaaaaaapapppaaappapppapppaaaaaappppappappaaapaapapappaapaaaapaappppppappappppppppapaaapppppppappappaaapaaapapapaaaapapappppaappapppppppppaaaappppappappppappapapappaapaaaapaaappppapppapppppppppapppppppappappappaapaaaapaaapaaapaapp
15,61,16,10,6,10,7,8,12,5,4,3,4,2,11,12,10,11,12,11,13,11,19,23,29,29,32,35,43,43,paaaaapaaaaaaaaapaaaaaapaaaaaaappaaaaaaaaaapaaaapaaapaapaaapaapaaaappaaaaaaaappaaaaaapaaaaaapaaaaaaaaaaaapaaaapaaapapaaapaapaaaaaapaaaaaaapaaaaaaaapaaaaaaapaaaaaaaaaaapaapaaapaaapaapapaaaaapaaaaaaaaapaaaaaaapaaaaaaapapaaaaaaaapaaaapaaaapaaapapapaaaaapaaaaaaaaapaaaaaaapapaaaaapaapaaaaaaaaapaapaaaapapaaaappaaaaaapaaaaaaaapaaaaaaapapaaaaaaaaapaaaaaaaapaapaaapaapaaapapaaaaapaapaaaaaapapaaaaappaaaaaapaaaaaaaaaaaapaaaapaaapaaappapaaaaapaaaaaaaaapaaaaaaapapaaaaaaaaapaaaaaapaaaapaaapaaaaappapapaaappaappaaaapapaaaaappppaaaaapapaaaaaaaaapaapaaaapapaaapapappaappaaaapaaapppaaaaapappaaapppaappaaaaapapaapaaaaapaaappapaaaaappaaapppaapappppaapppppaappppapappaaapapaapaaaapapaaapapaaapappappaappapppaaaapppppapappaappppaaaaaapaaaapappaaaappappapaappaapppaaapppapapppappapapppppapppaaaaapaapaaaapaaapappppappappaaappaappppapaappppppappppppppppaaaaaapapaaaapaappapappappppppappppappppapapppppppappppppppppppaaaaapppaaapaapaappppppapppaaappppppppapppppppppaapppppppppaapaapaapapppaaapappp
16,45,16,10,3,4,6,9,8,2,2,3,3,5,10,10,10,10,11,12,10,11,16,16,21,24,25,25,32,31,paapaaapaaaaapaaaaaaaapaaaaaaapapapaapaapaaaapaapaaaapaaaaapaaaaaaaapaaaaaapapaapaapaapaaapaapaaaapaaaaapaaaaaaaapaaaaaapapapaaaapapaaapaaapaaaapaaaapaaaaaaaapaaaaaapapapaapaaapaaapaapaaaaaapaaaapaaaaaaapaaaaaapappaappaapaaaapaapaaaaaapaaapapaaaaappaaaaaapapapaapaaapaaapaapaaaaaapaaapaaaaaaapaaaaaaapapaaappaaapaaapaapaaaapaaaaapaaaaaaappaaaaaapaappaapaaapaaapaapaaapappppapaaaaaaaappaaaaaappaaappaaappaapaapaaapapppappaaaaaaaapppaaaapapapaaapapaaaapaapaaaapppppppappaaaaappappaapapapapapaaaapapaappaappppappppappppapppapaaapapapaapaaapaaapppppaapappppppppapaaapppappaapapaapapaaapaaapaappaappppappppppaapapppapapapapaapppaapaaaapappppappppppppppppaappppapppppapapapaappaaappapppapppppppppppppapapppppapapapapappaappaaa
17,41,16,10,4,4,6,4,5,2,4,4,4,4,10,10,10,10,10,13,11,15,16,15,20,23,20,25,25,27,paaapaaapaaaaapaaapaaaapapaaapaaapaaapaaaapaaapaaapaaaapaaapaaaapapaaaapaaapaapaaaapaapaaapaaaaapaaaapaaapaapaaaapapaaaapaaapaapaaaapaaaapaaaaapaapapaaaapaapaaapaaapaaapaaaapaaaapaaaapaaapaapaaaaappaaapaaappaappaappaaaapaaaapaaapaapaapaaapaaaapaapaaaappaapaaaapaaaaapaapapaaaapaaapaapaaappaappaaapaaaappaaapppapaaapaaaappaaaapaapppappaappaaaapaaaapaaapappaapaaapaaapapappaappaapaaaaapaaapppappaaaappaaaapaaaapapppappappppaaapapapppaapapaaaaaappaaappaappppppaappaaaapapppppapppaaappaaappaapapappaapppappapaapaaappppppapaaapaappaaapaaapppappaapppappppapppppppapaaapapapaaapapapppapppappaapappapppppppapaaapaaapppappaapppappapppappappapppppppapaaapaappaappapp
18,54,16,10,5,10,8,6,7,4,3,5,4,2,10,10,11,12,12,10,12,16,19,17,22,26,31,33,34,38,paaaapaaaaaaaaapaaaaaaapaaaaapaaaaaapaaapaapaaaapaaapapaaaaapaaaaaaaaapaaaaaapaaaaapaaaaaapaaaapaapaaapaaapaapaaapapaaaaaaaaapaaaaapaaaaaapaaaaaapaaaapaapaapaaapapaaaapapaaaaaaapaaaaaaapaaaaaapaaaaaaapapappaaaapaaapapaaaaaaapaaaaaaapaaaaaapaaaaaapaaaaaappapapaapaaapaaapaapaaapaaaaaaaapaaaaaaapaaaaapaaaaaaapaaapapaaaaapaapapaaaaaapapaaaaapaaaaaaapaaaaapapaaaapaaaaapaaapapaaapapapaapapaapaaaapppaaaaapaaaaappaaaaapaaaapaaapaapaaapapapaapapaapaaaappapaaaapaaaaappppaaapapaaappaaaaapaaappaapapaaaapaaaapppaaaaapppaaapaaaaaaapaaaapaapappaaapapapappppaapaaaappapaaaappaaaapppaaaaapaapappapaapaaapapppapppppppaaaappppppaapaaaaappaapaaaapapaapaaaapapapappppppppapppaaapppppaaapppaaapppaapappaaaappaapapaappapppppppppppapaappppapaapppppapppaapapaaapapapaappaaapapppapppppppaapapppppppppppaappppaaaaappapappapaapaaapapppppppppppapappppppppapppppppppaappaaapppppaaaapaaapa
19,47,16,10,6,4,5,5,9,3,5,4,3,3,10,10,10,10,12,12,13,16,14,18,21,19,26,30,32,29,paaaaapaaapaaaapaaaapaaaaaaaapaapaaaapaaapaapaapaaaaapaaaapaaaapaaaapaaaaaaaapapaaaapaaapaapaapaaaaapaaaapaaaaapaaapaaaaaaaaapapaaaapaaapapaaapaaaapaaaapaaaaaapapaaaaaaaaapaapaaapaaapaapaapapaaapaaaapaaapaaaaapaaaaaaaapaaapaapaaapaappaapapaapaaappaaaaapaapaaaaaaaaaapaapaaapaapaaapappaaaapaaaapaaaappaapapaaaaaaapapaaaaaapapaapaapaaapappaappaaaappaapppaaaaaaaapaaapaapaapaapaapappaappaaapaaaappaapaaaaaaaapaaaapaaapaapaapaapppaaappaappaaaappaappapaaaaaapaaapaaapappaaaapppppaapapapppaapppaapppaaaaaaapapaaaapaappaapaappaaaapaaappaaaappaapppppaaaappaaapaapaaapappaappppaapppappapapppaappppppaaappaaappaaaappaapaapppppppppapppaappppapppppppaapaapaaaappappaapaappppappppppppapppppppppppaapappppaaaapaaapaappappppppppaapppaappppappppaapppaapaapappaaapaapap
20,58,16,10,7,7,9,7,9,2,5,4,4,4,10,10,10,12,12,11,14,16,21,21,24,28,33,35,38,42,paaaaaapaaaaaapaaaaaaaapaaaaaapaaaaaaaapapaaaapaaapaaapaaapaaaaaapaaaaaaapaaaaaaapaaaaaaapaaaaaaapapaaaapaaapaaapaaaapaaaaapaaaaaaapaaaaaaaapaaaaapaaaaaaaapaapaaaapaapaaaapaapaaaaaaapaaaaaapaaaaaaaappaaaapapaaaaaapapaaaaaapaapaapaaaaapaaaapaaaaaapaaaaaaaaapaaaaappaaaaaaapaaapaapaaapaaapapapaaaaaaaapaaaappaaaaaaaaapaaaaaaapaaaaaapaaapaaapaaapapaaapaapaaappaaaaappaaaaaaappaaaaapaaaaaaaapaapaaaaapaaapapaaaapaapaapppaaaappaaaaaaaapaaaaaapapaaaaapapaaaaaappapaaaaapppaaaaappppaaappaaaaaaaapppaaappapaaaaapapaaaapapapapapaaappappaappapaaapppaaaaaaappaaaapaapppaaapapaaaaaaapapaapaaappaappappppaaappapaaaaappppaaappapaapaapaaaapapaaaaapaapaappappaapppppaappaapaaaapppppaappapapaaapappaaapapapaaapaaappappppppppppappaappaaapppppaappapapappappaaaapapaaapapaaappppppappppapappaappaaappppppappapppapaappapaapaapaapppaaappappppppppppapppapapaappppappppappppapppppaaaaaapppaapaaappapppppppppppppapppapppppppppppappppaapapaaappappppaapaaa
21,52,16,10,6,6,9,5,10,4,3,3,2,4,10,10,12,10,10,13,12,14,13,20,20,24,27,31,31,33,paaaaapaaaaapaaaaaaaapaaaapaaaaaaaaapaaapaapaapapaaapaaaaapaaaaapaaaaaaaapaaaaapaaaaaaaaapaapaapaaapapaapaaaaapaaaaaapaaaaaaapaaaaapaaaaaaaapapapaapaapappaaapaaaapaaaaapaaaaaaaapaaaaaapaaaaaaapaaapaapaapaapaapaaaaapaaaaaaapaaaaaapaaaaapaaaaaaaapaaapaaapapaaapapapaaapaaaaaappaaaaaapaaaaapaaaaaaaapaaappapaapaapaappaaaaapaaaaapapaaaaapaaaaapaaaaaaaaaapapaaapapaapaappaaaapaaaaaaapaaaaaapppaappaaaaaaaaaapapaaaappaapaapaaaaappaaaaappaaaaaapaaaapaapaaaaaapaaapaapaapaapaappapaapppaaapppaaaaaapaaaaapappppaaaaapapaapaapaapaapaaaaappapaapppaaaaaappppappapaaapaaaapapaapaaapapaappappappaaaapppapaaaappaaappappappaapaappaapaapaapaapppapappaapappppappaapppaappapaaappapaaapaapaapaapappppaappppaapppppapapapppapppppaappaapapapaapaapapaappppppapppaaapppppaaappppapppppaapapppaaappaapapaapaapppppappppapppppppaaappaaappppappppppaaapapapapaapaa
22,50,16,10,5,7,6,4,8,4,5,4,3,4,10,10,10,12,13,16,14,17,19,21,21,26,28,27,31,35,paaaapaaaaaapaaaaapaaapaaaaaaapaaapaaaapaaapaapaaaapaaapaaaaaaapaaaapaaaapaaaaaapaaaapaaapaaaapapaaaapaaaapaaaaapaaaaapaaaaapaaaaaapaaaapaaapaaapapaaaaapaaapaaaaapaaaaappaapaapaaaapaaaaapaaapaapaaapaaapppapaaaaaapapaaapaaaaaaapaaaaapaaaapapaaapaaaapaapaaappaaaaappaaaapppaapppaaaaaaapaaapapaaaaapaaapapapapapaaaappaaaapaaaaaappaaaaaapaapaapaaapaapaaaappaaapaaaaappaaaappaappapaaaappapaaapaaapaapapaaaapapapppaaaapppppapaaapaapapaaaaapaapaaaapaapapaaaappaappapaaappaaaappapppapppaaaaapaaapapaappaapaaaappaappaaaaappppapppaappapapaaapaaaappaaapaapapaaappppappaapaapppaapppaaappppppaapapaappapaaaapaaaapppppappppaaappaaapppaappapppapppaapapaapaaapapppaaapppapppppaappapaapppappppppappaaaaaapaaapapaapaapapppappppppappppapppppppppppapppaaaapaapaaaapapaaappppppppppppppppapppaappappppaapapaapppppaappapaaa
