"archipelago_ID","sample_ID","observed_c_score","actual_sample_size","effective_sample_size","mean_c_score","lower_tail_p","upper_tail_p","p_type","standardised_effect_size"
"J1_m5",1,2.19836065573771,2399,1013.97746820025,2.26542958473134,0.0791996665277199,0.92288453522301,"==",-1.26720182270237
"J1_m5",2,2.23333333333333,2199,1039.97475690548,2.33596216050953,0.00636653024101864,0.994088221919054,"==",-1.95781663043629
"J1_m5",3,1.67597402597403,2199,1061.96832207859,1.71840004015993,0.206457480673033,0.796271032287403,"==",-0.823582882971699
"J1_m5",4,1.52494172494172,2099,1016.53076662648,1.52978941020866,0.505478799428299,0.497856121962839,"==",-0.114707850123323
"J1_m5",5,2.07247223845704,2199,1025.86440322337,2.17367359745105,0.0195543428831287,0.980900409276944,"==",-1.73414590873242
"J1_m5",6,2.00307219662058,2299,1039.03063139718,1.99503535342399,0.611135276207047,0.39147455415398,"==",0.166283118282864
"J1_m5",7,2.03595980962454,2299,1106.30318843418,2.09579913001054,0.0648107872988256,0.936494127881688,"==",-1.39521945848154
"J1_m5",8,2.17241379310345,2899,1046.44712668342,2.24235738923262,0.0565712314591238,0.945153501207313,"==",-1.38506298442621
"J1_m5",9,1.4996632996633,2299,1012.53617406064,1.60050878511079,0.00347977381470204,0.996520226185298,"==",-2.04515567637924
"J1_m5",10,2.13333333333333,2699,1038.16193034025,2.11783397491852,0.657650981845128,0.344201556131901,"==",0.281312273935655
"J3_m3",1,2.18027828191168,2299,1041.91487846171,2.24145220034382,0.102218355806873,0.899956502827316,"==",-1.17748345751885
"J3_m3",2,2.24801692226335,2499,1016.74935064766,2.2668680375376,0.379751900760304,0.623049219687875,"==",-0.414260842059375
"J3_m3",3,2.23214285714286,1799,1042.76886601117,2.23855704038147,0.508060033351862,0.499166203446359,"==",-0.114827927216831
"J3_m3",4,1.46444249341528,2799,1013.62059863847,1.45060398781579,0.688817434798142,0.314397999285459,"==",0.339272786173665
"J3_m3",5,1.96715583508036,2699,1016.06940104678,2.04215216495796,0.0318636532048907,0.969618377176732,"==",-1.59420040629745
"J3_m3",6,1.99019607843137,2499,1015.43644068365,1.94732523476962,0.817927170868347,0.185674269707883,"==",0.833910489675735
"J3_m3",7,1.65084745762712,2599,1040.45471147493,1.74094056166757,0.00923432089265102,0.991150442477876,"==",-1.86208424987268
"J3_m3",8,1.47065337763012,1999,1026.6406764597,1.4448625198535,0.742871435717859,0.262131065532766,"==",0.512702112131546
"J3_m3",9,1.67676767676768,2499,1024.1704866838,1.68483932293456,0.486194477791116,0.521008403361345,"==",-0.16810470006793
"J3_m3",10,1.89781420765027,2499,1018.35962999903,1.97051804328289,0.0436174469787915,0.957983193277311,"==",-1.45227758220515
"J3_m1",1,3.0052790346908,2199,1003.88289512228,3.03660171872996,0.247385175079582,0.758981355161437,"==",-0.748577370604247
"J3_m1",2,4.32255892255892,1899,1069.42729534049,4.29164454798999,0.821484992101106,0.181147972617167,"==",0.841590142897325
"J3_m1",3,4.36038647342995,1000,1200.77302232992,4.37970628019324,0.305,0.703,"==",-0.534685554736056
"J3_m1",4,4.35428571428571,1799,1019.05512571327,4.37274721784211,0.325736520289049,0.688160088938299,"==",-0.513782146911074
"J3_m1",5,3.29317851959361,1799,1037.70819636679,3.27341992124314,0.749861033907727,0.260144524735964,"==",0.569060716753373
"J3_m1",6,3.32261835184103,2299,1029.69946226121,3.32475634846447,0.521531100478469,0.483688560243584,"==",-0.0667310396675228
"J3_m1",7,2.47286821705426,2099,1051.97264913894,2.44430164234722,0.767984754645069,0.237732253454026,"==",0.656076289167117
"J3_m1",8,4.16400580551524,1799,1009.57098854861,4.15619587079098,0.63757643135075,0.368538076709283,"==",0.236213552849813
"J3_m1",9,3.48404255319149,1799,1026.06653970387,3.54023955388928,0.0628126737076153,0.93941078376876,"==",-1.35034117152148
"J3_m1",10,3.6643137254902,1999,1038.93018166101,3.67231301925473,0.459729864932466,0.548274137068534,"==",-0.215672459864476
"J1_m5",11,2.38367346938776,2399,1022.61631282276,2.35171559578396,0.756148395164652,0.248436848686953,"==",0.611316031324764
"J1_m5",12,1.58843537414966,2099,1025.35194332503,1.61238871441859,0.345878989995236,0.663649356836589,"==",-0.469167749384208
"J1_m5",13,2.27428571428571,1799,1012.78817703462,2.29744052818459,0.376876042245692,0.629238465814341,"==",-0.411741741414895
"J1_m5",14,1.92913752913753,2599,1045.0108481049,1.97243569563693,0.175836860330896,0.829549826856483,"==",-0.937247359284783
"J1_m5",15,1.7225988700565,2299,1003.502446732,1.79219336336358,0.0413223140495868,0.959547629404089,"==",-1.49584637550497
"J1_m5",16,2.18857142857143,1899,1066.2029075327,2.1619030424176,0.723538704581359,0.280674038967878,"==",0.469481902843802
"J1_m5",17,1.40648567119155,2099,1035.59053782919,1.4500638456724,0.180085755121486,0.824678418294426,"==",-0.858116161854607
"J1_m5",18,1.69209039548023,2399,1036.59857071245,1.71677370279048,0.342225927469779,0.662776156731972,"==",-0.517613888548089
"J1_m5",19,1.60546448087432,2299,1005.65210437657,1.56636694024724,0.830361026533275,0.171813832100913,"==",0.891770232270983
"J1_m5",20,1.87414965986395,1999,1028.95546628862,1.91090315565946,0.231615807903952,0.776388194097049,"==",-0.795756742719665
"J3_m3",11,1.32142857142857,2499,1003.98013997615,1.39951397225557,0.0040016006402561,0.995998399359744,"==",-1.92732421976214
