"K","sample_ID","observed_NODF","actual_sample_size","effective_sample_size","mean_NODF","lower_tail_p","upper_tail_p","p_type","standardised_effect_size"
5,1,87.7769558034753,2999,1023.50183147083,88.9091038793453,0.00500166722240747,0.994998332777593,"==",-3.77159911345905
5,2,87.1027828774662,3199,1006.42418742403,87.7572522527104,0.0346983432322601,0.96530165676774,"==",-2.24784042621064
5,3,85.1562604213349,2699,1112.95651591991,85.5803265137625,0.134864764727677,0.865135235272323,"==",-1.01129468192357
5,4,90.2199672958362,5599,1048.00146247056,90.1805976233511,0.480621539560636,0.519378460439364,"==",0.164676896196682
5,5,87.4783103869944,2999,1030.88751940532,89.2787545261001,0.000333444481493831,0.999666555518506,"<",-6.31026655079596
5,6,89.6351689613722,3199,1036.54605907839,89.6747839729454,0.329477961863082,0.670522038136918,"==",-0.151324758291494
5,7,88.9721125601397,4899,1000.08093878792,89.4193933734297,0.0608287405592978,0.939171259440702,"==",-1.82723422901106
5,8,87.6442465697405,3499,1024.6112320484,88.3256631854812,0.0543012289225493,0.945698771077451,"==",-1.85804696378231
5,9,82.8156730031748,3099,1031.14555130348,82.647285683233,0.666021297192643,0.333978702807357,"==",0.53211317852802
5,10,87.8206587830993,3999,1022.74014329868,88.2404593492406,0.0650162540635159,0.934983745936484,"==",-1.66596870510465
5,11,86.7844314426678,3799,1032.82581965994,87.0787989170273,0.188733877336141,0.811266122663859,"==",-0.813893579051479
5,12,86.6223585873531,2699,1004.36315243464,86.5583039834407,0.49092256391256,0.50907743608744,"==",0.190817397203997
5,13,84.4194591101218,2299,1049.39203681046,84.9629063080141,0.119617224880383,0.880382775119617,"==",-1.16946122794912
5,14,87.1763367544271,4499,1033.08171208512,87.2494647157333,0.308513002889531,0.691486997110469,"==",-0.252449411787575
5,15,86.2733163674691,3199,1025.76863461335,86.5435755805926,0.164113785557987,0.835886214442013,"==",-0.844734814092526
5,16,85.8233168830701,3599,1019.87438532747,85.7170634594219,0.543484301194776,0.456515698805224,"==",0.31409907219594
5,17,89.4251442884741,5099,1010.84401479688,89.9773837563983,0.0392233771327711,0.960776622867229,"==",-2.04627696640105
5,18,90.8113544197459,3599,1012.41428679652,90.9371182234763,0.228396776882467,0.771603223117533,"==",-0.609947476516224
5,19,88.295312678027,5999,1034.76815434763,89.1569557610988,0.00116686114352392,0.998833138856476,"==",-5.43556720356836
5,20,87.7873830849398,3899,1007.55925740304,87.5324530676527,0.891254167735317,0.108745832264683,"==",1.04896846869657
5,21,88.1013877403874,4199,1073.67130668746,88.0537312113685,0.478923553226959,0.521076446773041,"==",0.179798562431703
5,22,88.0241299851367,5399,1006.49053460593,88.5101517338053,0.0427857010557511,0.957214298944249,"==",-1.95043055550369
5,23,88.5523194059869,3299,1002.44521100761,88.4307972166703,0.60988178235829,0.39011821764171,"==",0.407430421415386
5,24,86.1813477873623,3099,1024.32689323695,86.5047353873035,0.14972571797354,0.85027428202646,"==",-0.946394344738329
5,25,84.9962766866471,2699,1056.4967334968,85.7521412732502,0.0285290848462393,0.971470915153761,"==",-2.39336315668686
5,26,88.65833705623,3099,1013.40745449517,88.676818922088,0.363343013875444,0.636656986124556,"==",-0.0615531657746949
5,27,88.2754422529443,2999,1016.68076507813,88.3066377283273,0.367789263087696,0.632210736912304,"==",-0.109156664026269
