"sample_ID","S","H","NODF"
1,63,16,88.0993733353448
2,61,16,87.9495054121696
3,57,16,89.3675947889786
4,63,16,89.0741987427214
5,63,16,89.8592520966525
6,67,16,91.0018691864738
7,63,16,86.9396558554259
8,63,16,88.2154954785859
9,68,16,89.045143883636
10,62,16,87.2997621611784
11,58,16,88.3521272792236
12,46,16,90.996091953658
13,58,16,91.5134735355602
14,63,16,87.3953014498381
15,51,16,89.4183395459798
16,60,16,89.3076789556171
17,64,16,89.843994031411
18,67,16,87.990255069829
19,70,16,88.707661074057
20,78,16,87.1585654162592
21,66,16,89.9827760714553
22,63,16,91.3810591828626
23,51,16,88.7288274315761
24,59,16,88.8129021077131
25,76,16,88.3382302058587
26,63,16,89.647247113077
27,85,16,84.6867485119927
28,61,16,89.160679792591
29,60,16,85.4881054704789
30,63,16,87.8910346673616
31,82,16,90.3050368136102
32,61,16,91.5322575241183
33,68,16,82.3915517537557
34,69,16,88.9163135962702
35,60,16,87.724490482285
36,80,16,89.3189684533607
37,62,16,90.1533868244117
38,56,16,90.9454824668718
39,72,16,87.3604807922505
40,75,16,86.3654781172089
41,67,16,89.8103358401826
42,55,16,89.9717882975441
43,61,16,86.8301901964022
44,75,16,87.5836543032971
45,74,16,88.9607056974924
46,53,16,88.1273625615475
47,55,16,88.2579495505332
48,66,16,85.644795156856
49,63,16,87.6573847260241
50,58,16,88.6712191053751
51,60,16,88.3593835880565
52,54,16,90.4934143455615
53,67,16,88.6402038955872
54,61,16,89.5704313268494
55,62,16,90.5730804957498
56,66,16,87.0825697014276
57,71,16,86.1855669299302
58,69,16,88.634288095494
59,75,16,87.5632470772237
60,56,16,89.7222374842783
