"sample_ID","S","H","NODF"
1,54,16,90.799204949927
2,71,16,87.2834416989444
3,66,16,88.3914082612342
4,61,16,87.846343033631
5,69,16,89.8638618527225
6,57,16,89.6462328300364
7,70,16,90.4218581781688
8,68,16,89.7336207100319
9,69,16,88.7158147119275
10,71,16,89.3275362464663
11,61,16,87.1863046671208
12,70,16,86.4853864955895
13,69,16,88.2659434219934
14,57,16,87.7696925674081
15,79,16,87.950678021172
16,51,16,89.8124488531826
17,55,16,90.2878025640854
18,67,16,87.326177599248
19,76,16,85.6326373419682
20,79,16,86.6073988284306
21,61,16,89.2195639773604
22,80,16,88.7437102026773
23,67,16,87.814570812643
24,85,16,87.5248175209328
25,68,16,86.7669367692888
26,61,16,87.2479203190803
27,47,16,88.3170433146464
28,54,16,88.2203871703006
29,51,16,88.538910803394
30,68,16,87.0087589813832
31,63,16,89.2905157526919
32,64,16,88.492694027052
33,71,16,87.3458160649217
34,62,16,88.5303937327009
35,57,16,88.8542023375724
36,64,16,87.9417340779957
37,64,16,90.5340990257273
38,80,16,83.5288778226971
39,77,16,86.6454157838314
40,61,16,85.7810957862347
41,58,16,89.4754565296551
42,61,16,88.1866396687902
43,61,16,88.1621294320319
44,69,16,88.2412456795204
45,70,16,86.5169542906137
46,71,16,87.0494724285103
47,59,16,83.927557134033
48,61,16,89.989145953794
49,55,16,87.4337142708078
50,70,16,88.8262521403297
51,70,16,87.2882822392448
52,62,16,89.7882695681217
53,59,16,89.6183991036958
54,68,16,89.103972214554
55,59,16,87.6665464940762
56,60,16,89.6425217734429
57,63,16,87.5485767420372
58,73,16,87.3329982469412
59,62,16,88.9629141021278
60,61,16,88.9388225286296
