K,mean_observed_NODF,SE_observed_NODF,mean_standardised_effect_size,SE_standardised_effect_size
1,88.58343675011871,0.2214884752168725,-1.48823572667678,0.22492796076136717
3,88.1566854609563,0.188710104252934,-1.3397020197438232,0.1941733707958804
5,87.11181192445616,0.26316980556015745,-1.2210043021844315,0.2207257386630804
7,83.75458352740856,0.2596415664825219,-1.0809515912168979,0.18483144165798254
