"K","sample_ID","observed_NODF","actual_sample_size","effective_sample_size","mean_NODF","lower_tail_p","upper_tail_p","p_type","standardised_effect_size"
7,1,83.5850960060697,3099,1027.14337467339,84.1835955895753,0.111648919006131,0.888351080993869,"==",-1.25818136710032
7,2,86.2518649332668,3699,1004.89767692844,87.0009104643255,0.0313598269802649,0.968640173019735,"==",-2.35171405016186
7,3,85.6161142715056,2699,1005.31096885403,86.2039610052541,0.0722489811041126,0.927751018895887,"==",-1.55348983387825
7,4,82.2752305696553,2799,1041.44332116389,82.5755433087741,0.20864594498035,0.79135405501965,"==",-0.68639169752087
7,5,86.2856521877032,3299,1012.79783624887,86.6738441561146,0.106698999696878,0.893301000303122,"==",-1.1961437018126
7,6,83.1007528405093,3299,1008.33445934113,83.1590041624211,0.354349802970597,0.645650197029403,"==",-0.140024376422497
7,7,81.4448839764845,2799,1022.70688634945,81.3474235683023,0.514469453376206,0.485530546623794,"==",0.200319371990832
7,8,85.9696207852519,3299,1026.75562411207,85.7962659491507,0.686268566232192,0.313731433767808,"==",0.564376394057003
7,9,86.1226230790659,2799,1014.71213470348,86.3695962268836,0.189710610932476,0.810289389067524,"==",-0.642943993745797
7,10,78.1239088675323,2299,1039.8974046971,79.2953021416333,0.0313179643323184,0.968682035667682,"==",-2.24658514439155
7,11,83.8792811328432,3199,1023.9636268708,84.0688412479967,0.221944357611754,0.778055642388246,"==",-0.575410870614979
7,12,84.3592155802703,2599,1058.63044242117,84.7065725976208,0.178145440554059,0.821854559445941,"==",-0.819588668887985
7,13,83.5936041935943,2799,1044.8563163051,84.0211700617964,0.120400142908181,0.879599857091819,"==",-1.03401666946138
7,14,83.6748363317744,2499,1002.67186032938,85.4500158107226,0.00520208083233293,0.994797919167667,"==",-4.34861357010194
7,15,83.3071080323682,2699,1020.23382032587,83.4149331140659,0.329751759911078,0.670248240088922,"==",-0.248572804920321
7,16,83.0608659397981,2599,1020.99506368561,83.2413768381481,0.276644863409003,0.723355136590996,"==",-0.398355947927244
7,17,86.2898514152026,3299,1002.57098820162,86.2083477660144,0.531373143376781,0.468626856623219,"==",0.235012490495804
