"K","sample_ID","observed_NODF","actual_sample_size","effective_sample_size","mean_NODF","lower_tail_p","upper_tail_p","p_type","standardised_effect_size"
3,1,90.799204949927,3299,1002.86375080366,90.7618860750204,0.50682024856017,0.49317975143983,"==",0.164609119222083
3,2,87.2834416989444,3899,1008.39243799542,87.8297309693661,0.0423185432162093,0.957681456783791,"==",-1.9925402403028
3,3,88.3914082612342,3599,1009.81217808693,88.6217488042986,0.117810502917477,0.882189497082523,"==",-1.05777383011917
3,4,87.846343033631,3099,1070.34472217698,87.8568465298347,0.409164246531139,0.590835753468861,"==",-0.0320041304003856
3,5,89.8638618527225,4299,1030.46021941179,89.824876522831,0.485926959758083,0.514073040241917,"==",0.167234844010058
3,6,89.6462328300364,4099,1024.91410042763,90.0438874016023,0.0495242742132227,0.950475725786777,"==",-1.84303811835988
3,7,90.4218581781688,4799,1013.33412198001,90.7365044189376,0.0698062096270056,0.930193790372994,"==",-1.66995324797401
3,8,89.7336207100319,3899,1012.97750924781,89.7654876868964,0.345473198255963,0.654526801744037,"==",-0.132021829316734
3,9,88.7158147119275,3599,1013.84975702553,88.4534147459294,0.887190886357321,0.112809113642679,"==",0.928811405000836
3,10,89.3275362464663,4499,1011.67104227876,89.2931110985664,0.477217159368749,0.522782840631251,"==",0.156550791154366
3,11,87.1863046671208,3099,1040.61604674429,87.1665871384733,0.442078089706357,0.557921910293643,"==",0.0639175695999544
3,12,86.4853864955895,3299,1025.96365136984,86.8476865102807,0.147014246741437,0.852985753258563,"==",-1.02199665251661
3,13,88.2659434219934,4699,1097.40017200804,88.2431904801395,0.453075122366461,0.546924877633539,"==",0.0882556170113292
3,14,87.7696925674081,3099,1030.40175885728,87.7195129668461,0.474023878670539,0.525976121329461,"==",0.157826681685766
3,15,87.950678021172,4899,1023.75261662827,88.1531441795423,0.180240865482752,0.819759134517248,"==",-0.780009446172767
3,16,89.8124488531826,2799,1014.32363739288,90.3889274343364,0.0289389067524116,0.971061093247588,"==",-2.54990597683447
3,17,90.2878025640854,4199,1039.74357992004,90.3131183310019,0.358894974994046,0.641105025005954,"==",-0.113604362792819
3,18,87.326177599248,3199,1039.6509351739,87.2605361756924,0.50328227571116,0.49671772428884,"==",0.182412149454244
3,19,85.6326373419682,4699,1009.16303515433,87.0575033230217,0.000851244945733135,0.999148755054267,"==",-4.98082225106344
