"sample_ID","S","H","NODF"
1,133,23,64.9981524415179
2,101,23,66.0174889983289
3,124,23,66.5524881274941
4,112,23,65.2966899909954
5,118,23,66.1373659651524
6,110,23,62.898808565761
7,111,23,63.4993337177212
8,109,23,67.7284759773637
9,131,23,66.0958221278184
10,125,23,66.2708415718529
11,118,23,61.5714747831425
12,111,23,62.9737249627071
13,116,23,66.8188840270083
14,97,23,61.4980235410335
15,111,23,62.6928614122938
16,91,23,69.7283410602685
17,125,23,63.7111275404412
18,117,23,65.7929708501884
19,127,23,62.3901258087799
20,108,23,62.3179277450008
21,120,23,67.6208841038488
22,131,23,65.520879857931
23,109,23,67.3303944240382
24,122,23,64.1964444505707
25,101,23,67.7631956263752
26,123,23,64.6995709788946
27,118,23,68.3235117975159
28,124,23,64.0559980849001
29,128,23,64.8009586020108
30,135,23,66.159002387363
31,124,23,66.573951164272
32,106,23,65.4816692884242
33,116,23,57.9277273603182
34,124,23,60.1660835758109
35,131,23,65.5450530216102
36,117,23,67.7113533522288
37,120,23,65.8003259327998
38,95,23,62.574844821413
39,116,23,66.2378490196519
40,105,23,66.9135638899042
