"suffix","sample_ID","rho","observed_NODF","actual_sample_size","effective_sample_size","mean_NODF","lower_tail_p","upper_tail_p","p_type","standardised_effect_size"
"_3",1,1700,59.4296954670588,4499,1009.48349048895,62.7656731314863,0.000222271615914648,0.999777728384085,"<",-7.46477091492504
"_3",2,1700,61.7045735410327,4299,1007.16087336045,63.1245617676217,0.00162828564782508,0.998371714352175,"==",-3.42915513896077
"_3",3,1700,56.2336038590834,3899,1006.8200765367,58.7641677366866,0.000256476019492177,0.999743523980508,"<",-4.47164838036644
"_3",4,1700,57.3261342108273,4099,1012.99822649359,58.9687258431017,0.000243961941937058,0.999756038058063,"==",-3.66434017085373
"_3",5,1700,62.5773055014933,4099,1011.6049881186,64.3717049965775,0.000243961941937058,0.999756038058063,"==",-4.30913175635466
"_3",6,1700,63.862416477723,4599,1001.40330536157,65.4132634223279,0.000869754294411829,0.999130245705588,"==",-3.51610168236432
"_3",7,1700,58.0961957214521,3799,1000.62143451713,62.2788871870519,0.000263227165043432,0.999736772834957,"<",-7.7444410775481
"_3",8,1700,59.9028168062526,4799,1010.5609624815,62.3595676598318,0.000208376745155241,0.999791623254845,"<",-6.97340941509821
"_3",9,1700,59.2129023805157,4699,1018.34246496286,63.0003224029364,0.000212811236433284,0.999787188763567,"<",-6.74992189243294
"_3",10,1700,59.7239360574049,4499,1061.85391573307,61.7167321384789,0.000222271615914648,0.999777728384085,"<",-4.25689243721414
"_3",11,1700,62.8675734210007,4699,1001.42940229261,64.4045848291278,0.000212811236433284,0.999787188763567,"<",-4.20761154394805
"_3",12,1700,59.8302770870683,4199,1013.10723664157,62.0252850042532,0.000238151940938319,0.999761848059062,"<",-4.5402220652604
"_3",13,1700,57.9929141411655,4399,1023.78018817091,61.8968533405647,0.000227324391907252,0.999772675608093,"<",-7.15253703575635
"_3",14,1700,59.2712483799156,4899,1025.54552422787,60.270647165749,0.0202082057562768,0.979791794243723,"==",-2.32615450292881
"_3",15,1700,59.3796456608865,4099,1008.23572744532,61.2921688575433,0.000243961941937058,0.999756038058063,"<",-5.23340234974885
"_3",16,1700,62.4794942872879,4299,1005.98254119806,63.6610948786632,0.0116306117701791,0.988369388229821,"==",-2.56944776485566
"_3",17,1700,60.4010184612459,4299,1005.402072761,62.6226788353805,0.000232612235403582,0.999767387764596,"==",-3.98624689970276
"_3",18,1700,57.8731886339752,4299,1014.3670712822,60.2299373085947,0.000232612235403582,0.999767387764596,"<",-4.90168644944794
"_3",19,1700,60.0013202078424,4399,1015.57243590849,62.1095759808579,0.000909297567629007,0.999090702432371,"==",-3.82045100600175
"_3",20,1700,57.0094237269815,3899,1029.61099822912,60.12646566718,0.000256476019492177,0.999743523980508,"<",-5.25184569319703
"_3",21,1700,57.0265144610197,3399,1018.00238161463,60.9064884684247,0.000294204177699323,0.999705795822301,"<",-6.07049565634921
"_3",22,1700,61.0222999250873,4299,1018.22750107949,62.6448691293748,0.00139567341242149,0.998604326587578,"==",-3.43811258904097
"_3",23,1700,59.3387193794306,4099,1022.94711724022,61.4402087409388,0.000487923883874116,0.999512076116126,"==",-4.38125981468962
"_3",24,1700,58.6147475272533,4699,1030.36262450174,60.1395323348007,0.00234092360076612,0.997659076399234,"==",-3.36095519360093
"_3",25,1700,57.4575836368793,4299,1020.82063113062,60.8472105104808,0.000232612235403582,0.999767387764596,"<",-6.71533127809761
"_3",26,1700,64.2873561924931,5199,1001.03868296135,65.8980850500053,0.000384689363339104,0.999615310636661,"==",-4.0689314478379
"_3",27,1700,61.5551421430654,3599,1028.16411206048,63.4598472044295,0.00194498471797722,0.998055015282023,"==",-3.67503200030449
"_3",28,1700,60.7343686968082,4899,1004.61082922591,64.1682241067312,0.000204123290467442,0.999795876709533,"<",-6.52315945959669
"_3",29,1700,56.3273041124792,4399,1015.11645456355,59.5870077851749,0.000227324391907252,0.999772675608093,"==",-5.18876875237437
"_3",30,1700,61.7896065383893,4699,1012.80859394916,64.1016750128128,0.000425622472866567,0.999574377527133,"==",-4.08793686788894
"_3",31,1700,58.990274726471,3599,1018.29830323308,61.4156500067653,0.000277854959711031,0.999722145040289,"==",-4.46141511231284
"_3",32,1700,60.2397761702585,4299,1023.34634013554,61.8378502978926,0.000697836706210747,0.999302163293789,"==",-3.5785287939653
"_3",33,1700,57.6806641257857,4799,1008.12523176414,60.2803738309814,0.000208376745155241,0.999791623254845,"<",-4.96143225654811
"_3",34,1700,62.6819157537106,4399,1001.16914498204,64.2273334027001,0.00227324391907252,0.997726756080928,"==",-3.4124682693249
"_3",35,1700,58.864447644473,4199,1022.63404101986,61.5918465931538,0.000238151940938319,0.999761848059062,"<",-5.86855497612035
"_3",36,1700,62.3011239081423,4999,1020.38542652374,63.6470851751487,0.0016003200640128,0.998399679935987,"==",-3.44155012398341
"_3",37,1700,57.9862981882681,3899,1004.03894881801,60.6791224176862,0.000256476019492177,0.999743523980508,"<",-5.51600068172182
"_3",38,1700,62.8746200019327,4099,1022.22649440542,64.0529480807187,0.00585508660648939,0.994144913393511,"==",-2.76038976022167
"_3",39,1700,56.3546726354662,2799,1025.07771283917,60.3391494465318,0.000357270453733476,0.999642729546267,"<",-6.91265916972981
"_3",40,1700,61.012846924481,3999,1042.54567020757,62.7476076550571,0.000250062515628907,0.999749937484371,"<",-4.40395679197209
"_4",1,1700,64.9981524415179,4899,1004.05453104939,65.9721540358434,0.00796080832823025,0.99203919167177,"==",-2.59528325470166
"_4",2,1700,66.0174889983289,3799,1018.6332643152,67.0612926650617,0.0252698078441695,0.97473019215583,"==",-2.05880767661375
"_4",3,1700,66.5524881274941,4899,1010.90831322763,68.3057817964863,0.000204123290467442,0.999795876709533,"==",-3.77033438888604
"_4",4,1700,65.2966899909954,4199,1009.96612869593,66.7765375960348,0.00142891164562991,0.99857108835437,"==",-3.47748961171036
"_4",5,1700,66.1373659651524,4299,1013.07482529119,67.0693859430883,0.0214003256571296,0.97859967434287,"==",-2.21238136215527
"_4",6,1700,62.898808565761,4499,1013.72316212896,64.2745139152329,0.00555679039786619,0.994443209602134,"==",-2.83817038746654
"_4",7,1700,63.4993337177212,4099,1003.74427959642,64.1724179875665,0.0890461088070261,0.910953891192974,"==",-1.41021130137767
"_4",8,1700,67.7284759773637,3999,1093.37566692782,67.6598835056267,0.541135283820955,0.458864716179045,"==",0.163654919299586
"_4",9,1700,66.0958221278184,4799,1014.39901469215,68.0508057223905,0.000208376745155241,0.999791623254845,"==",-4.99677635159852
"_4",10,1700,66.2708415718529,4799,1012.66630938543,67.3636946893664,0.00750156282558866,0.992498437174411,"==",-2.66589485027809
"_4",11,1700,61.5714747831425,4599,1014.46042819141,63.7825450759792,0.000217438573602957,0.999782561426397,"<",-4.49586644805344
"_4",12,1700,62.9737249627071,4099,1012.33483957181,65.6862021202757,0.000243961941937058,0.999756038058063,"<",-5.28318978838818
"_4",13,1700,66.8188840270083,4599,1005.07063226139,67.9709201351896,0.00217438573602957,0.99782561426397,"==",-3.02043804312777
"_4",14,1700,61.4980235410335,3599,1022.91004795282,64.0384130802459,0.000277854959711031,0.999722145040289,"<",-4.69636972404997
"_4",15,1700,62.6928614122938,3699,1007.09642876594,64.2212828033136,0.000540686672073533,0.999459313327926,"==",-3.5446112158688
"_4",16,1700,69.7283410602685,3399,1025.37465691146,70.3760733476475,0.0697263901147396,0.93027360988526,"==",-1.51699218299539
"_4",17,1700,63.7111275404412,4599,1023.07335047092,65.3261900389747,0.00130463144161774,0.998695368558382,"==",-3.47396089217639
"_4",18,1700,65.7929708501884,4299,1012.42478944545,67.2285302816235,0.000930448941614329,0.999069551058386,"==",-3.57177825880395
"_4",19,1700,62.3901258087799,4599,1000.62605375293,65.3106777195801,0.000217438573602957,0.999782561426397,"<",-5.74769710997715
"_4",20,1700,62.3179277450008,4299,1060.88333595126,64.5892066850973,0.000232612235403582,0.999767387764596,"<",-4.22744543831748
"_4",21,1700,67.6208841038488,4699,1003.02326991612,68.561211954034,0.0244732921898276,0.975526707810172,"==",-2.08066775831885
"_4",22,1700,65.520879857931,4399,1036.69054894856,66.8280030649977,0.000227324391907252,0.999772675608093,"==",-3.6689562614014
"_4",23,1700,67.3303944240382,4399,1017.85689821914,68.0329491892304,0.0836553762218686,0.916344623778131,"==",-1.4122230312751
"_4",24,1700,64.1964444505707,4199,1028.88305282334,65.4247831573535,0.0109549892831627,0.989045010716837,"==",-2.6560264479485
"_4",25,1700,67.7631956263752,3899,1015.70819877931,68.2793814817738,0.0920748909976917,0.907925109002308,"==",-1.38004686465517
"_4",26,1700,64.6995709788946,4499,1005.27400942539,65.7927426214343,0.0104467659479884,0.989553234052012,"==",-2.51144703168933
"_4",27,1700,68.3235117975159,4399,1017.21204144538,69.2138879044328,0.0197772220959309,0.980222777904069,"==",-2.18246329173987
"_4",28,1700,64.0559980849001,5299,1005.16506234063,65.263658519772,0.00698244951877713,0.993017550481223,"==",-2.6855119750519
"_4",29,1700,64.8009586020108,4599,1043.20645011475,67.2466607680914,0.000217438573602957,0.999782561426397,"<",-5.2469403351132
"_4",30,1700,66.159002387363,4999,1080.32377754314,66.4714176829521,0.207641528305661,0.792358471694339,"==",-0.800190885956474
"_4",31,1700,66.573951164272,5299,1013.28214141476,67.8408555221832,0.00132100396301189,0.998678996036988,"==",-3.22037730051967
"_4",32,1700,65.4816692884242,4099,1027.62544753843,67.0673307261263,0.000243961941937058,0.999756038058063,"==",-3.73885997825321
"_4",33,1700,57.9277273603182,3899,1019.6145268786,60.8043630186936,0.000256476019492177,0.999743523980508,"<",-5.71007549802644
"_4",34,1700,60.1660835758109,4299,1001.93665190047,61.2475223357635,0.0218655501279367,0.978134449872063,"==",-2.27884870632688
"_4",35,1700,65.5450530216102,5399,1068.46108195427,67.0966888176657,0.000185219485089831,0.99981478051491,"==",-3.72762737402727
"_4",36,1700,67.7113533522288,4699,1022.01264365511,68.6396966735126,0.0106405618216642,0.989359438178336,"==",-2.50206353311993
"_4",37,1700,65.8003259327998,4499,1013.50855135112,66.5803337793719,0.0497888419648811,0.950211158035119,"==",-1.68708681159408
"_4",38,1700,62.574844821413,3799,1003.81972250047,64.6999158192899,0.00105290866017373,0.998947091339826,"==",-3.71733093783203
"_4",39,1700,66.2378490196519,4299,1028.62647139925,67.1507662657737,0.012793672947197,0.987206327052803,"==",-2.43033416749479
"_4",40,1700,66.9135638899042,3899,1000.40341456969,67.967944937268,0.0102590407796871,0.989740959220313,"==",-2.43449309224489
"_3",41,1700,56.2701067562993,4199,1021.27258057721,59.3285175699822,0.000238151940938319,0.999761848059062,"<",-6.08753081312938
"_3",42,1700,59.3776808822398,3599,1022.78195596517,62.9919959342765,0.000277854959711031,0.999722145040289,"<",-7.27828411624334
