Island.Name,Island Group,Species Diversity,Single Island Endemics,Island-group Endemics,Present Day Area (m2),Average Area (m2),Distance to Mainland (km2),Max Elevation (m2),Isolation_10KM,Isolation_50KM,Isolation_100KM,Isolation_200KM,Isolation Time,Longitude,Latitude
Panggal Kecil,Riau-Bangka Belitung,7,0,0,724.46,3214937532.15,74673.12802,1,47.17940494,18.9751845,35.48401285,50.4384568,58.41,104.4285747,0.294455157
Telor Kecil,Riau-Bangka Belitung,2,0,0,2599,3214937532.15,74797.13013,1,19.62614623,10.37165042,17.24708165,27.87331921,58.41,104.4338142,0.266010744
Paloi Kecil,Riau-Bangka Belitung,1,0,0,3896,3214937532.15,76505.36904,1,18.68922189,10.14778741,16.94910574,27.37038866,58.41,104.4483167,0.276023669
Telor Besar,Riau-Bangka Belitung,3,0,0,4750,4750,50004.7674,1,32.22055373,25.99358413,38.61690911,41.33109579,56.5,103.8125661,0.92779867
Sayap,Riau-Bangka Belitung,6,0,0,8480,3214937532.15,76441.75279,1,18.72842219,10.19152449,16.9477565,27.39238851,58.41,104.4478023,0.274975549
Nipong,Riau-Bangka Belitung,7,0,0,9691,9691,45825.59355,1,20.82042463,27.37342723,40.53889753,42.74503608,55.11,103.7635107,0.93549678
Panggal Sedang,Riau-Bangka Belitung,11,0,0,9718,3621192974.5,37680.00386,1,47.58870049,33.17794219,27.63582693,32.17715001,58.41,104.1347118,1.000093442
Sepatu,Riau-Bangka Belitung,8,0,0,10136,3214937532.15,74742.42353,1,19.89542889,10.29084106,17.29836538,27.87876768,58.41,104.4333554,0.267923933
Paloi Besar,Riau-Bangka Belitung,9,0,0,20593,213672.913,48561.13336,15,27.25850074,26.04728509,40.07824511,42.54330099,56.5,103.7731615,0.911851506
Malang,Riau-Bangka Belitung,9,0,0,32047,306261.2398,50697.741,1,34.05096431,25.73634469,38.42168508,41.20085259,56.5,103.8174584,0.922717022
Panggal Besar,Riau-Bangka Belitung,8,0,0,40886,2687040683.5,36495.96027,1,44.29397099,33.9433237,27.55347772,32.02047771,58.41,104.1404442,1.009696631
Matang Cilik,Riau-Bangka Belitung,5,0,0,42518,3214937532.15,74387.99764,1,20.52890988,10.19968875,17.42235556,27.95199058,58.41,104.4307251,0.269700149
Remang Kecil,Riau-Bangka Belitung,11,0,0,47512,2687127073.9143,36582.69423,3,45.9987912,33.75426685,27.65248719,32.1192981,58.41,104.1365054,1.00853582
Sambu Kecil,Riau-Bangka Belitung,11,0,0,57520,3214937532.15,76854.75837,20,19.68618744,9.392350956,17.33948607,27.15029565,58.41,104.447376,0.309650209
Remang Besar,Riau-Bangka Belitung,13,0,0,85503,85503,28586.4736,3,12.45713074,41.67656372,37.53948895,38.44569794,56.5,103.8912052,1.17020445
Akar,Riau-Bangka Belitung,14,0,0,98895,3214937532.15,76407.58685,12,20.77536618,9.315720084,17.49764419,27.27142916,58.41,104.4428418,0.312817904
