archipelago_ID,sample_ID,S,H,K,no_spp_niche_0,no_spp_niche_1,no_spp_niche_2,no_spp_niche_3,no_spp_niche_4,no_spp_niche_5,no_spp_niche_6,no_spp_niche_7,no_spp_niche_8,no_spp_niche_9,no_spp_island_0,no_spp_island_1,no_spp_island_2,no_spp_island_3,no_spp_island_4,no_spp_island_5,no_spp_island_6,no_spp_island_7,no_spp_island_8,no_spp_island_9,no_spp_island_10,no_spp_island_11,no_spp_island_12,no_spp_island_13,no_spp_island_14,no_spp_island_15,presence_absence_matrix_cols_isles_concatenated
1,11,57,16,10,4,8,5,6,3,5,4,6,8,8,10,10,10,10,10,12,10,11,15,12,15,19,46,48,50,54,paaapaaaaaaapaaaapaaaaapaapaaaapaaapaaaaapaaaaaaapaaaaaaapaaaapaaaaaaapaaaapaaaapaapaaaapaaaapaaaapaaaaaaapaaaaaaapaaapaaaaaaapaaaaaapaaapaapaaaapaaapaaaaapaaaaaaapaaaaaaapaaapaaaaaaapaaaaapaaaapaapaaaapaaapaaaaapaaaaaaapaaaaaaapaaapaaaaaaapaaaaapaaaapaapaaaapaaapaaaaapaaaaaaapaaaaaaapaaapaaaaaaapaaaaapppaapaapaaaapaaapaaaaapaaaaaaapaaaaaaapaaapaaaaaaapaaaapaaaaapaapaaaapaaapaaaaapaaaaaaapaaaaaaapaaapaaaaaaapaaaapaaaaapaapaaaapaaappaaaapaaaaaaaapaaaaaapaaapppaaaaappaaaapapaapaapaaaapaaappaaaapaaaaaaapaaaaaaapaaapaaaaaaapaaaaappaaapaappaaapaaapaaaaapaaaaaaapaaaaaaapaaapaaaaaaapppaaapaaaapaappaaapaaappaaaapaaaaaaapapaaaaapaaappapaaaapppaaappaaapaapapaapaaappaaaappaaaaaapaapaaaapppapppppppappppppppppappppppaappaapppppappppppaapppppppapppapppppppappppppppppapppppppapapapppappppppppaapppppppppppapppppppappppppppppappppppappppapppapppppppppppppppppappppppppppppppppppppppppppppppappppppppppppppppappppppppa
1,12,45,16,10,3,6,2,2,9,4,2,3,7,7,10,10,11,10,10,11,12,12,12,13,15,16,34,36,37,43,paapaaaaapapapaaaaaaaapaaapapaapaaaaaapaaaaaapaaapaaaapapaapaaaaaaapaaapapaapaaaaaapaaaaaaapapaaaaapapapaaaaaaaapaaapapaapaaaaaappaaaaaapapaaaaapapapaaaaaaaapaaapapaapaaaaaaapaaaaaapaapaaaapapapaaaaaaaapaaapapaapaaaaaaapaaaaapaapaaaaapapappaaaaaaapaaapapaapaaaaaapaaaaaaapapaaaaapapappaaaaaaapaaapapaapaaaaaappaaaaappppaaaaapapapaaaaaaaapaaapapaapaaaaaaapaaaaaapappaaaapapapaaaaaaaapaaapapaapaaaaaappaaaaappapaaaaapappppaaaaaaapaaapapaapaaaaaaapaaaaapppppaaaapapapaaaaaaaapaaapapaapaaaaaapppaaaapppppaaaapapapppaaaaaapaaapapaapaaaaaappaaaaappppppppappppppppppaaapppapappappppppappppaaappppppapppppppppppapaapppppappappppppapppppaappppppppappppppppppapapppapapppppppppappppapapppppppppppppppppppapppppappppppppppppppppppp
1,13,52,16,10,5,7,4,2,6,8,5,5,3,7,10,10,10,11,10,11,12,14,14,17,21,20,42,42,45,45,paaaapaaaaaapaaapapaaaaapaaaaaaapaaaapaaaapaapaaaaaapaaaapaaaaaapaaapapaaaaapaaaaaaapaaaaapaaaapaapaaaaapaaaapaaaaaaapaapaapaaaaapaaaaaapaaaaapaaapaapaaaaaapaaaappaaaaapaaapaapaaaaapaaaaaaapaaaapaaapaapaaaaaapaaaapaaaaaapaaapaapaaaaapaaaaaapaaaaapaaapaapaaaaaapaaaapaaaaaapaaapapaaaaappaaaaaapaaaaapaaapaapaaaaaappaaapaaaaaapaaapaapaaaappaaaaaapaaaaapaaapaapaaaaaapapaapaaaaaaapaapaappaaaapaaaaaapapaappaaapaapaaaaaappaaaaapaaaappaapappaaaaapaaaaaaaapaaappaapaapaaaaaappaaapaaaaaappaapaapppaapaaaaaaapaapaappaapaapapaaaappppapaapaaapppapappapaaapaaaaaapapaapppaapaapaaaaaappapappaaaaapppapapppaaappaaaaaappaaappaaapaapaaaaaapppppppppppappppppppppaapppppaaappppapppppppapppppaapppppppppaapppppppppppaappppppaapppppppppapppppppaaappppppppppaappppppppppaapppppppappppapppppppappppppppppppppppaaappppppppppppppppppppppppappppppppppppaaa
1,14,42,16,10,3,2,3,4,5,4,3,6,9,3,10,10,10,10,10,10,11,12,13,15,15,16,36,38,37,40,paapapaapaaapaaaapaaapaapaaaaapaaaaaaaapaapaapapaapaaapaaaapaaapaaapaaaapaaaaaaaapaapaapapaapaaapaaaapaaapaapaaaaaapaaaaaaapaapaapapaapaaapaaaapaaapaapaaaaaapaaaaaaapaapaapapaapaaapaaaaapaapaapaaaaapaaaaaaaapaapaapapaapaaapaaaapaaapaapaaaaapaaaaaaaapaapaapppaapaaaapaaaapaapaapaaaaapaaaaaaaapaapaapapaapaaapaaaappaapaappaaaaapaaaaaaapaapaapapaapaaapaaaappaapaappaaaappaaaaaaapaapaapapaapaaappaaappaapaappaaaapppaaaaaapaapaapapaapaaapaaaappaapaappaaaappappaaaapaappapapaapaaapapaapppapaapaaaaappapaaaaapaapppppppppppappppppppapppppppaappppppppappapppppppppppapapppppppppppppppappppppappppppppppppppppappppppppapppppppapppppppppappappppppppppppppppppppppppppppppppppppppappa
1,15,52,16,10,6,3,6,5,7,4,4,5,8,4,10,11,10,11,10,10,11,13,15,16,17,21,40,40,43,52,paaaaapaapaaaaapaaaapaaaaaapaaapaaapaaaapaaaaaaapaaappaaaapaaapaaaapaaaapaaaaaapaaapaaaapaaaapaaaaaapaaaapaaaapaaapaaaapaaaapaaaaaapaaapaaaaapaapaaaaaaapaaapaaaaapaaapaaaappaaapaaaaaapaaapaaaapaaaapaaaaaapaaaapaaaapaaapaaaapaaaaapaaaaapaaaapaaaapaaapaaaaaapaaapaaaaapaaapaaaapaaaapaaaaaapaaaapaaapaaaapaaaaaapaaapaaaaapaappaaaapaaaaaapaaaapaaapaaaapaaaapaaaaaapaaapaaaaapaappaaaapapaapaaaaaappaapaaaapaaaaapaaaaapaaappaaaapaaapaaaapaaaapapaaaapaaapaaaapppaappaaaaapaaappaaaapaappaaaapppaapapaaaapaaapaaaapaaaappaaaaapaaappaaaapaapppaaapppaapaaaaaapaaappaaapaaappaaaaaapaaappaaaapaappaaaapppaappaaaaapaaappaapppaappppaaaapaaappppaapppppppaappppappppppapppapppappppappppppaapppappppaapppppppaappppppppppaapppapppappppappppppaappappppppapppppppaapppapppppppppppapppapppppppppppaappappppppppppppppppppppppppppppppppppppppppppppppppppppp
1,16,50,16,10,4,5,7,3,4,5,7,3,7,5,10,10,10,11,12,10,10,12,14,18,19,21,40,46,44,50,paaapaaaapaaaaaapaapaaapaaaapaaaaaapaapaaaaaapaaaapaaapaaaaapaaaaapaapaaapaaaapaaaaaapaapaaaaaaapaaaapaapaaaapaaaaaapaapaaapaaaapaaaaaapaapaaaaaaapaaapaaapaaaaapaaaaapaapaaaapaaappaaaaaapapaaaaaaapaaapaaappaaaapaaaaapaapaaapaaaapaaaaaapaappaaaaaapaaapaaapaaaaapaaaaapaapaaaapaaapaaaaaapaapaaaaaaapaaapaaapaaaapaaaaaapaapaaapaaaapaaaaaaapapaaaaaaapaaappaapaaaapaaaaaapaapaaapaaaappaaaaapaapaaaaaaapaaappaapaaaaapaaaaapaappaapapaappaaaaapaapaaaaaaapaaapaaapapaappaaaaappapaaapppaappaaaaapaapaaaaaapppaappaapaaaappaaaaapaappaapaapapppaaaappapapaaaappaaapaaapapaappaaaaapaapaaappppappappaapaapapaaaapppaappaapppppppppppappppppappppapppppaapppppppaaappppppppppppppppppppapppppppppppapppppppppppppppaappppppppppppppppppppapppppppppppappppppppppppppaaappppapppppppppppppppppppppppppppppppppppppppppppppppppp
1,17,53,16,10,4,7,5,4,7,7,7,4,4,4,10,10,10,12,12,12,12,14,15,17,19,23,42,46,48,48,paaapaaaaaapaaaapaaapaaaaaapaaaaaapaaaaaapaaapaaapaaaapaapaaaaaaapaaapaaapaaaaaapaaaaaaapaaaaapaaapaaapaaapaaapaaaaaapaaaapaaaapaaaaaapaaaaapaaaaaapaaapaaapaaapaaapaaaaaapaaaapaaaapaaaaapapaaaappaaaaapaaapaaapaaapaaapaaaaaappaaappaaapaaaaapaaaaaapaaaaaapaaapaaapaaapaaapaaaaaaaapaapaaaapaaaaapaaaaaappaaaaapaaapaaappaapaaapaaaaaapaaaapaaapapaaaappaaaaapaaaaaapaaaapaapaaapaaapaaaaaappaaapaaapaaaaaappaaaaappaaaaappaapaaapaaaapaapaaaaaappaaapaaappaaaaappapaaappaaaaapaaapaaapaaappaappaaaaappaaapaaaapaaaaapppaaaappaaaaapaaappaapaaappaappaaaaappaaappaaapaaaaapppapaappaaaaapaaappaapaaappaappaaaaappaaappaapppaaaappaapaapppaaaapaaappaapppapppapppppaappppapppappppppappppppappppppapapapppapppppppppppppaappppapppappppppappppppappppppppppppppappppppppppppppappppapppapppppappppppppppppppapppppppppppppppppppppappppppppppppppppappppppappppppapppppppapppp
1,18,61,16,10,8,5,8,6,6,4,3,7,6,8,10,10,12,12,11,11,12,17,15,22,18,24,45,49,52,58,paaaaaaapaaaapaaaaaaapaaaaapaaaaapaaapaapaaaaaapaaaaapaaaaaaapaaaaaaapaaaapaaaaaaapaaaaaapaaaapaaapaaapaaaaapaaaaapaaaaaaaapaaaaaapaaaapaaaaaaaapaaaapaaaaapaaapaappaaaaappaaaapaaaaaaappaaaaaapaaaappaaaaaapaaaaaaapaaaapaapaapaaaaaapaaaaapaaaaaaapaaaaaaappaaapaaaaaaapaaaaaaapaaapaaapaapaaaaaapaaaaapaaaaaaaappaaaaapaaaaaapaaaaapaaaaapaaaaapaaapaapaaaaaapaaaaapaaaaaaaapaaaaaapaaaapaaaaaaaapaaaappaaaapaaappapaaaaaapaaaaapaaaaaaappaaaaaappaaapapaaaaapaaaaapaaaaappaapaapapaaaappaaaappaaaaaapaapaaaapaaaaaapaaaaapaaaaappaaaapapapaapaapaaappaaaapaaaaaaappaaaaaappaaapapaaaaapaaaaapppaaapppappapapapaappaaaapapaaaaaapaaaaaapaaaapapaaaaappaaaapppaaapaaapaapppaapappaaaapaaaaaaappaaaaaappaaapappaaaappaaaapapaaappaappappppapapppaaapaaaaaaappppaaaapppaapppppaaappppaappppaapppapppppppppapppppppppppppapppppaaapppppppppppaappppaapppppppppapppppppppappppaapppppppapppppppappppppppapapapppppppppaappppappappppppappppppppppppppppppppapppppppppapppppppppppppppppppppppppppppppppppppppppppa
1,19,56,16,10,2,9,6,1,5,7,7,6,8,5,10,10,10,10,10,10,11,16,13,20,20,22,43,47,52,54,papaaaaaaaapaaaaappaaaapaaaaaapaaaaaapaaaaapaaaaaaapaaaapapaaaaaaaapaaaaappaaaapaaaaaapaaaaaapaaaaaapaaaaaaapaaapapaaaaaaaaapaaaappaaaapaaaaaapaaaaaapaaaaaaapaaaaaapaaapapaaaaaaaapaaaaappaaaapaaaaaaapaaaaapaaaaaapaaaaaaaapaapapaaaaaaaaaapaaappaaaapaaaaaaapaaaaapaaaaaapaaaaaaapaaapaapaaaaaaapaaaaappaaaapaaaaaaaapaaaaapaaaaapaaaaaaapaaapapaaaaaaaappaaaappaaaapaaaaaapaaaaaapaaaaaapaaaaaapaaaapapaaaaaaaappaaaappaaaappaaaaapaaaaaapppaaappaaaaaapaapapappaaaaaaapaaaaappaaaappaaaaaapaaaaapaaaaaapaaaaaappaaapappaaaaaaapppaaapppaaappaaaaappapaaapaaaaappapaaaappaaapappppaaaaapppaaappaaaappaaaaappapaaapaaaaappaaaaaappaaapappaaaaaaappapaappppaapppaaaappaaaaappapaapppaaaaapaaaapppppppaaaapppppappppaappppppappppppapppppappppppaappppapappppapaaapppppappppppppppppappppppppppppapppppppapppppppppppppppapppppappppppppppppappppppppppppappppppppppppppppppppppappppppppppppappppppppppppppppppppppppppppppppp
1,20,47,16,10,2,8,4,2,6,4,5,9,4,3,10,10,10,11,11,11,12,13,12,17,18,19,35,38,44,43,papaaaaaaapaaapapaaaaapaaapaaaapaaaaaaaapaaapaapaapaaaaaapaaapapaaaaapaaapaaaapaaaaaaaaapaapaapapaaaaaaapaaapapaaaaaapaapaaaapaaaaaaaapaaapaapapapaaaaapaaapapaaaaapaaapaaaaapaaaaaaaapaapaapapaapaaaapaaapapaaaaapaaapaaaaaapaaaaaaapaapaapaapaaaaaapaaapapaaaaapaaappaaaaapaaaaaaapaapaapaapaaaaaapaaapaapaaaapaaappaaaaapaaaaaappaapaapappaaaaaappaapapaaaaaapaapaaaappaaaaaaaapaapaapapaaaaaaapaaapapaaaaapaaappaaapapaaaaaaapaaapapaaapaaaaapaaapappaaaapapappaaaappppaaaappaapaapapppaaaaapaaapappaaaapapappaaapapapaaaappaapaapappapaaaapaaapapaaaaappaapppaapppapaaaappaapaapappppppaappaappppppppppppppppappppppaaapppapaappppppppaappaappppppppppppppppapppppppaapppapappppppppppapppappppppppppppppppapppppppppppppppppappppppapppappppppppppppppppppppppppppappppppp
