"sample_ID","S","H","c_score"
1,63,16,2.30568356374808
2,56,16,3.50909090909091
3,58,16,4.15063520871143
4,59,16,2.42314436002338
5,66,16,2.29044289044289
6,50,16,2.61224489795918
7,60,16,2.56497175141243
8,52,16,2.95173453996983
9,46,16,2.69082125603865
10,58,16,2.2940108892922
11,60,16,2.17514124293785
12,47,16,2.50601295097132
13,52,16,3.05429864253394
14,49,16,3.20238095238095
15,56,16,3.43766233766234
16,53,16,3.05007256894049
17,54,16,2.9874213836478
18,54,16,2.10971348707198
19,57,16,2.16979949874687
20,56,16,2.48246753246753
21,47,16,2.46901017576318
22,53,16,3.3055152394775
23,59,16,3.05026300409117
24,50,16,2.10367346938776
25,53,16,2.04063860667634
26,50,16,2.46530612244898
27,53,16,2.95573294629898
28,54,16,2.87840670859539
29,52,16,3.40346907993967
30,51,16,2.38274509803922
31,57,16,3.05576441102757
32,51,16,2.62745098039216
33,55,16,2.97171717171717
34,59,16,2.17358270017534
35,44,16,2.78435517970402
36,48,16,2.14450354609929
37,64,16,2.96329365079365
38,49,16,3.10119047619048
39,51,16,2.39529411764706
40,51,16,3.01254901960784
