K,sample_ID,S,H,no_spp_niche_0,no_spp_island_0,no_spp_island_1,no_spp_island_2,no_spp_island_3,no_spp_island_4,no_spp_island_5,no_spp_island_6,no_spp_island_7,no_spp_island_8,no_spp_island_9,no_spp_island_10,no_spp_island_11,no_spp_island_12,no_spp_island_13,no_spp_island_14,no_spp_island_15,presence_absence_matrix_cols_isles_concatenated
1,11,58,16,58,3,4,4,10,10,15,17,21,23,31,33,33,37,45,45,52,pppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapppppaaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppappapppapapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppapappapapapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppapppppappapappappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppappappappaaaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppappppppppapaappppppaaaaaaaaaaaaaaaaaaaaaaapppppppppppppapppppppppapppppppppaappaaaaaaaaaaaaaaaaaaaaappppppppppppppppppppppppppppaaappaapppaaaaaaaaaaaaaaaaaaaappppppppppppppppppppppppappppappppappapppaaaaaaaaaaaaaaaaappppppppppppppppppppppppppppppppppppppppapppppaaaaaaaaaaaappppppppppppppppppppppppppppppppppppppappapapapppaaaaaaaaapppppppppppppppppppppppppppppppppappppappapappapappppppppp
1,12,46,16,46,2,4,6,6,9,11,15,17,19,22,26,32,34,38,41,41,ppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapappapaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaappappapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppappappaaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppapppapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppappppaapppaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppaaapppaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppapapppaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppppappppppaaaaaaaaaaaaaaaaaaappppppppppppppppppppppappappppppppaaaaaaaaaaaappppppppppppppppppppppppppaappappppppaaaaaaaaapppppppppppppppppppppppppppppppappapppppaaaaaappppppppppppppppppppppppppppppppppappapappppaappppppppppppppppppppppppppppppapppappapapapppp
1,13,58,16,58,4,4,6,7,10,13,15,21,26,30,37,39,42,47,51,57,ppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaappappapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaappappappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapapppppppppappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppapppppppapappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppppppappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppapppapapappppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppapppapappppppapppppppaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppppppappppppppppppppappppppaaaaaaaaaaaaaaaaaaappppppppppppppppppppppppppapppppapappaapppppaaaaaaaaaaaaaappppppppppppppppppppppppppppppppppappapppapappaaaaaaaaaaaapppppppppppppppppppppppppppppppppppppappppaappppppaaaaaaaapppppppppppppppppppppppppppppppppppppppppppappappappppaaaapppppppppppppppppppppppppppppppppppppppppppppppppapppppppp
1,14,63,16,63,2,3,3,7,9,14,18,24,28,27,34,37,42,47,50,57,ppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppapaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppappappappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppapppppppapaapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppapppppppppaaappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppppappppapapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppapppppappppapaaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppppppppppppppapaaapapppppppaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppappppppppppappappapappapapppppaaaaaaaaaaaaaaaaaaappppppppppppppppppppppppppppppppppppppapaapappaaaaaaaaaaaaaaaaapppppppppppppppppppppppppppppppppappppapaapaappppppppaaaaaaaaaapppppppppppppppppppppppppppppppppappppppaapaaappapapappppppaaaapppppppppppppppppppppppppppppppppappppppppppapppapappappapppppp
1,15,51,16,51,1,2,6,8,9,13,14,18,19,25,34,29,38,41,44,50,paaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappapppapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaapappapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappapppppaapaapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappapppappappaaaaapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppappppapappaaappaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppapppaapappapapappaaaaaaaaaaaaaaaaaaaaaaaaappappppppapppppppppppppppappaaaaaaaaaaaaaaaaaaaaaaapppppppppppppppppppppppppapappppppppaaaaaaaaaaaaaaapppppppppapppppapppppapppaaaapapaapppppaaaaaaaaaaaapppppppppapppppppppppppapappapppppppappppppaaaaaaaapppppppppppppppppppppppppappappppppppappppappaaaaaapppppppppppppppppppppppppappppppppppppppppapappaaaapppppppppppppppppppppppppappppppppppppppppppppppppp
1,16,60,16,60,2,4,3,9,14,14,19,25,33,34,42,41,45,52,54,54,ppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaaaappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppaappapappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaaaapapppppppaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppapappapppppppapapappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppappapppppppapappaapapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppapppppppppppppppappapppaapapppppppaaaaaaaaaaaaaaaaaaaaappppppppppppppppppapppppaappaapappppppappaaaaaaaaaaaaaaaaaaappppppppppppppppppappappppppappappppppappppppppaaaaaaaaaaaaapppppappppppppppppappapppappaapappppppappppppppppaaaaaaaaaaappppppppppppppppppapppppppppapppppppppappapppaaappppaaaaaaaappppppppppppppppppppppppppppppppppppppappppppppppaappppaaaaappppppppppppppppppppppppppppppppppppppappppppppapappapappppapppppppppppppppppppppppppppppppppppppppppppppppppappapapaaap
1,17,64,16,64,2,4,5,8,10,17,18,23,25,35,43,40,47,48,56,62,ppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppapappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaapaappapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppappppapppapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppapppapaapaapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppappapapppppapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppappppapppappaaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppppapapppappppappappppppppppaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppppppppppappapapppaaapppppppppppaaaaaaaaaaaaaaappppppppppppppppppppppppppappapapppaaappaapapappappaaaaaaaaaaaaapppppppppppppppppppppppppppppppppppaapppappappapapapppaaaaaaaaaapppppppppppppppppppppppppppppppapppappppappappppapaapappaaaaaaaapppppppppppppppppppppppppppppppppppappppapppppppappapppapppppaaappppppppppppppppppppppppppppppppppppppppppppppppappppppppapppppp
1,18,67,16,67,2,4,5,7,11,18,16,21,25,35,38,40,48,50,57,62,ppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaapaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppapppaapappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppappapppappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppappppapappaapaapaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppapppappaaaappaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppaaaaapapapappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppaapaapapapapppppappppppppppaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppppapppapapppppappappaapaappppaaaaaaaaaaaaaaaaaaaappppppppppppppppppppppppaapppppppppppaaaaapppaappaaaaaaaaaaaaaaaaaapppppppppppppppppppppppppappppppppppppappppppappapppaaaaaaaaaaaaaaappppppppppppppppppppapppppppppppppppppappppppapppaappppaaaaaaaaaaaappppppppppppppppppppppppppppppppppppppappppppapppappapapppppppaaaaappppppppppppppppppppppppppppppppppppppapppppppppppapapapppapppppppp
1,19,70,16,70,2,5,4,10,7,16,15,23,25,32,39,43,54,48,57,66,ppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaapaapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaappapaapapapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppappppaappppapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaappppaapppapppappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppapppppappppapppappppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppappppappppapppapppaaaaapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppppppppppppaapappaapaapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppappppppppppppppppappappapaapaappppppppaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppppppppapappppppppappapppappaapppaaaaaaaaaaaaaaaaaaaappppppppppppppppppppppppppappppppppppppppapppppapappppppppaaaaaaaaaaaappppppppppppppppppppppppppappppppppappapppppppaaaaaapaaapapppaaaaaaaaapppppppppppppppppppppppppppppppppppppapppppppppappapppappaaappppaaaaaapppppppppppppppppppppppppppppppppppppppppppppppappppppappppapapppppppp
1,20,78,16,78,2,3,7,9,17,16,24,23,31,37,40,49,48,63,63,67,ppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapappppappppppppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapappppapppppaappppappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppapppppapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppapaaaaaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppappapppapapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppppppppapppaappaaappppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppppppppppappppppaaapaaapppapapapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppppppppppppppppaappppppppaappapaappppppaaaaaaaaaaaaaaaaaaaaaapppppppppppppppppppppppppppppppppaapppapaaaappapappapaaapppppaaaaaaaaaaaaaaaaappppppppppppppppppppppppppppppppppppppppppapppppaapappapppppppppppppaaaaaaaaaappppppppppppppppppppppppppppppppppppppppppaappppappapapppapapappappapppppaaaaappppppppppppppppppppppppppppppppppppppppppppppppappapppppppapaappppaaaaaappppp
1,21,66,16,66,1,4,7,10,14,17,20,26,27,33,40,41,44,59,58,62,paaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppaaappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapppaapppppapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappappapppappppappappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppaappppppppppapapapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppapppppppppppppappppappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppapppppppppppapappppappaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppppppppappppapaaapappppppppaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppppppappppppapppppappppppppppppaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppppppppapppapappapppappaaappppppaaaaaaaaaaaaaaaaappppppppppppppppppppppppapppppappppppappappppaaaapppaaaaaaaaaaaaaappppppppppppppppppppppppapppppppppppppppppppppppappappppppppppaaaappppppppppppppppppppppppappppppppppppppppppppppppppapaapapapppppaappppppppppppppppppppppppappppppppppppppppppppppppppppppppaapppappp
1,22,63,16,63,3,2,6,9,15,21,25,30,34,41,45,47,52,57,60,61,pppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppapapappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppaaapapappppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaappappppppppppaappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppapapppappppppappapapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppappppppppppppppapappapppappapppppaaaaaaaaaaaaaaaaaaaaaaaaaaapppappppppppppppppppppppppppppaaaapappppaaaaaaaaaaaaaaaaaaaaaaapppppppppppppppppppppppappppppappapapppppppppaaaaaaaaaaaaaaaaaapppppppppppppppppppppppppppppppppapppppappppapppaaaaaaaaaaaaaaappppppppppppppppppppppppppppppappppapppppppapapappppaaaaaaaaaaappppppppppppppppppppppppppppppppppppppppppppapppapppppaaaaaaaaappppppppppppppppppppppppppppppppppppppppppppppppapppappppppaaaapppppppppppppppppppppppppppppppppppppppppppppppaapppppppppppppappppppppppppppppppppppppppppppppppppppppppppppppppppppppppppaap
1,23,51,16,51,2,3,4,6,8,13,15,17,25,32,36,36,42,46,45,48,ppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapappapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapappappapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppappapaappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppappaaapaaapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppappppapaaaappaapppaaaaaaaaaaaaaaaaaaaaaaaaaappppappappppapapaappppppapppppppaaaaaaaaaaaaaaaaaaapppppppppppppppppapppapppppppppapppaaaaaaaaaaaaaaaappppppppppppapppppppppppppppppppaapppppaaaaaaaaaaaappppppppppppppppppppppapppppppppapaapapppaaaaaaaaaapppppppppppppppppppppppppppppppppppppappapppaaaaaaapppppppppppppppppppppppppppppppppppapappppppppppaaapppppppppppppppppppppppppppppppppppppappppppaapapaapppppppppppppppppppppppppppppppppppppappppppappappp
1,24,59,16,59,2,2,6,8,9,11,20,19,26,32,35,38,45,47,54,48,ppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappapaaapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappappppappaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppapppppaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppapppppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppaapppaapappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppapappppapapapppppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppppppapppppppapapaappppppaaaaaaaaaaaaaaaaaaaaaapppppppppppppppppapppppppppapaapapappppppaaaaaaaaaaaaaaaaaapppppppppppppppppapppppppapppaapppppaappppppaaaaaaaaaaaaaaapppppppppppppppppppppppppppppaappppppppppppappppaaaaaaaaaaapppppppppppppppppppppppppppppaapppppppapppaapaapppppppaaaaapppppppppppppppppppppppppppppapppppppppppppppapppaapapppppppppppppppppppppppppppppppppppappppppppppppappaapapppapaaaaa
1,25,76,16,76,4,4,4,8,13,14,22,23,30,32,43,43,54,63,68,67,ppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaapppaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapappaapapapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapappppaapppapapapaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapppppapppappappappapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapppppapppappppppppappapppapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppappppppppppppppaappaapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppappppppppppppapapppaaappaaaapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppapppppppppppppppppppppppppppapappaappppppaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppapppppppppppppppppppapapapppaaaapapapapaappppppppaaaaaaaaaaaaaaaaaaaappppppppppppppppppppppppppppppppppppapppaapppppapaappapppppppaaaaaaaaaaaaaaapppppppappppppppppppppppppppppppppppppapppappppppppppppppppapppppppaaaaaaaaappppppppppppppppppppppppppppppppppppppppppappppppapppppppppppppapaappppppaaappppppppppppppppppppppppppppppppppppppppppppppppppppppppppapppaapaaaappaappp
1,26,63,16,63,3,3,2,9,10,16,18,27,27,33,35,37,43,47,49,60,pppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappappaapppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppapappapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppaappppappppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppapapppapappppappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppapapapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppapppppppppppaapapaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppppppaapapaapppppppppaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppppppaapapppppppaapappppaaaaaaaaaaaaaaaaaaaaaapppppppppppppppppppppppapppapppppappppaappaaaaaaaaaaaaaaaaaaaaapppppppppppppppppppppppapppappppppppppaapppppppaaaaaaaaaaaaaaaapppppppppppppppppppppppppppppppppapppppapppppappppaaaaaaaaaaaaapppppppppppppppppppppppppppppppppppppppapppppaaapappppaaaaaaaaappppppppppppppppppppppppppppppppppppppappppppppapppappppppppppp
1,27,85,16,85,3,4,8,14,12,18,25,20,29,32,39,49,52,59,69,72,pppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppapppppppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppappaaaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppapppppppaapppappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppapappappappppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppapppppapappappppaaaaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppappappppaapaappppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppappapppppapaapappaapppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppppppppppapppppapaapaappapappappppppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppppppppppapppppppppppappaaaaaappppppppppaaaaaaaaaaaaaaaaaaaaaaaaaaaappppppppppppppppppppppppppapppppappppappaapaaapppaappaapppppppppaaaaaaaaaaaaaaaaaaaaapppppppppppppppppppppppappappppppppppppppaaaappppappppappapaapappppppppaaaaaaaaaaaaaapppppppppppppppppppppppppppppppppppppppppaaaapppppppppppppaappapaappappppppppppaaaaaappppppppppppppppppppppppppppppppppppppppppaaappppppppppppppappappapapappppaaaaapppppp
