K,sample_ID,S,H,no_spp_niche_0,no_spp_niche_1,no_spp_niche_2,no_spp_niche_3,no_spp_niche_4,no_spp_niche_5,no_spp_niche_6,no_spp_island_0,no_spp_island_1,no_spp_island_2,no_spp_island_3,no_spp_island_4,no_spp_island_5,no_spp_island_6,no_spp_island_7,no_spp_island_8,no_spp_island_9,no_spp_island_10,no_spp_island_11,no_spp_island_12,no_spp_island_13,no_spp_island_14,no_spp_island_15,presence_absence_matrix_cols_isles_concatenated
7,11,69,16,9,8,5,7,13,15,12,7,7,7,7,9,9,10,17,20,17,35,40,42,47,55,60,paaaaaaaapaaaaaaapaaaapaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaapaaaaaaapaaapaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaapaaaaaapaaaapaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaapaaaapaaaapaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaapaaaaaappaaaapaaaaaaapaaaaaaaaaaaapapaaaaaaaaaapaaaaaaaaaaaaapaaaaaapapaaaaapaaaaapaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaapapaaaaaaaaapaaaaaaaaapapaaaaappaaapaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaaaappaaaaaaaapppppaaaaapapaaaapaaaaappaaaapaapppaaaaaaaaaaapaaaaaaaaaapaaapaaaaaaappapaaaaappapaaaapppaaapppaaapapaaaaaaaaaapapapaaaaaaaaaapapaapaaaaaappapapaaappapaaaapppaaappaaaapappaaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaappppappaapppppaaapppaaapppaaapppppppaaaaaapppppaaaaaaaaaapapppppaaaaapppppppaappppppaapppaapppppaappppapaaaaaaappppppppaaaaaaapppppapaaaaappppppppapppppaaappppappppaaappppapappaaaappppppapaaaaaaappppppapaaaapppppppappppppaaapppapppppappppppppapaaaaapppppaapppaaaaapppppppappaapppppppaapppppapapppapppppppappppappppppaappppppapapppppappppppppppaapppppppapppppppappppappppppaapppppppppppppppppppapppapapppppppppppapp
7,12,66,16,8,8,10,14,9,10,7,7,7,8,7,8,9,11,13,14,26,32,39,41,50,55,57,paaaaaaapaaaaaaapaaaaaaaaapaaaaaaaaaaaaapaaaaaaaapaaaaaaaaapaaaaaaapaaaaaapaaaaaaaapaaaaaaaapaaaaaaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaapaaaaaapaaaaaaaaappaaaaaaapaaaaaaaaaaaapaaaaaaaaapaaaaaaaapaaaaaapaaaaaaapaaaaaaaaapaaaaaaapaaaaaaaaaaaaaapaaaaaaaaapaaaaaaapaaaaaaaapaaaaapaaaaaaaaapaaaaaaapaaaaaaaaaaaaaaapaaaaaaapapaaaaaapaaaaaaaapaaaaapaaaaaaaaaapaaaaaapaaaaaaaaaaaaaaaapaaaaapppaaaaaaapaaaaaaaaapaaaapaaaaaaaaappaaaaaapapaaaaaaaaaaaaaaapaaaappaapaaaaaaapaaaaapaapaaapaaaaaaaaappaaaaaapaaaaaaaaaaaaapappaaaaapapaaaaaaapapaaaaappaaaaappaaaaaaaapppaaaaapaapaaaaaaaaaaaappaaaaaapaaaaaaaapaapaaapppapaaappppaaaaappppaaaaappppaaaaaaaaaaapppaaaaappappaaaaapapapaappppaaaappppaaaaapppppaaaapapppppaaaaaaappppppaaappappaaaaapapaapapppaappapppppaaaappppaaaaappppppppppaaaapppppapaappappaaaaapappppapppppppappppaaaapppppapaaapppppapppppaaapppppaaaappppppaaaapapaapapppppaaapppppaaappppppaaaappppppppppaaaappppppppppppppapppppappppppppppppapppppppppppppaapppppppppppppappapppppapapppppppaapapppppappppppppppppppapppppppaaaaapppppppppppppppppppppappppppppapappppppp
7,13,68,16,13,7,6,11,11,8,12,7,7,8,7,7,10,12,16,27,31,34,43,45,48,56,58,paaaaaaaaaaaapaaaaaapaaaaapaaaaaaaaaapaaaaaaaaaapaaaaaaapaaaaaaaaaaapaaaaaaaaaaaapaaaaaaapaaaapaaaaaaaaaaapaaaaaaaaapaaaaaaaapaaaaaaaaaappaaaaaaaaaaaapaaaaapaaaaapaaaaaaaaaaaapaaaaaaaaapaaaaaaapaaaaaaaaaapaaaaaaaaaaaaaapaaaapaaaaaapaaaaaaaaaapaaaaaaaaaaapaaaaaaapaaaaaaaaaaapaaaaaaaaaaaapaaaapaaaaapaaaaaaaaaaaaapaaaaaaapaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaapaaaapaaaapaaaaaaaaaaaaappaaaaaapapaaaaaappaaaaaaaaapaaapaaaaaaaaappaaaapaaaaapapaaaaaaaaaaaapaaaaaapapaaaaapaapaaaaaaaapaaaapaaaaaaappapaaappaaaapapaaaaaaaaaaapaaaaaaaappaaaaaapaapppaaaaappppaapaaaaaappppaaappaaaapaappaaaaaaapppaaaaaaaapppaaaappppppapaaaapappaappaaaaapppppaappaaaapappapaaaaaappppaaaaaapppappaapppapapapaaapaaappppaaaaapppppaapppaaappppaappaaaappppaaaaaappppapaapppppaaapaaappappapppppaapppppaappaaaapppppapppaappppppaaaaappppapaappppppaappaappppppppaappapppppaapppaaapppppaappaapppppapaaaappppapaappppppaapppapppppappaappppppppaappppaapppppappppapppppaapaaappppappapppppppapaaappppppppaappappppppapppapapppppapppapppppppppppappppapappppppppppppapppppppppappapppppappppaappppppappppppppppppaaappppppppapppppppppppp
7,14,61,16,7,7,10,8,8,10,11,7,7,7,7,8,10,8,16,19,20,27,36,41,43,55,55,paaaaaapaaaaaapaaaaaaaaapaaaaaaapaaaaaaapaaaaaaaaapaaaaaaaaaapaaaaaaapaaaaaapaaaaaaaaapaaaaaapaaaaaaaapaaaaaaaapaaaaaaaaaapaaaaaaapaaaaaaapaaaaaaaaapaaaaapaaaaaaapaaaaaaaaapaaaaaaaaaaapaaaaaapaaaaaaapaaaaaaaaaapaaaaapaaaaaapaaaaaaaaaapaaaaaaaaapaaaaaaapaaaaapaapaaaaaaaaapaaaaapaaaaaaapaaaaaaaapaaaaaaaaaaapaaaaaapaaaaaaappaaaaaaaaapaaaaaapaaaaapaaaaaaaaapappaaaaaaapaaaaaaapaaaaaaapaaaaaaapaapaaaaapaaaaaapaaaaaaaaaapaaaaaaaaappaaaaaapaaaaapapppaaaaaaaappaaaaappaaaaappaaaaaaaapappaaaaaappaaaaaapppaaaapppappaaapaapaaaappapaaaapaapaaaaaapaaapaaaaaappppaaaapaaaaapappaaaaaapaapapaappaaaaaapppaaaaaaaappappaaaaappaapaaapaapaappppapappappppapaapppaaaaapppaaaaaaappappaaaaaappapppaapaapaapappppaapppapppppapppppaaapppappaaaapppppapaaaappppppaappappappppppappapapppapapppppaaapppapppaaapppppppaaaapppppppappppaappppppaapppapppppapppppaaappppappaaappppppapaaapppppppappappapppppppppapppppppppppppppppppppppppppppppppppaapppppppapppppppppppppppppapppppapppppaapppppppppppppppppppapp
7,15,65,16,7,10,11,11,8,10,8,7,7,7,8,11,8,10,15,15,22,23,29,40,42,49,58,paaaaaapaaaaaaaaapaaaaaaaaaapaaaaaaaaaapaaaaaaapaaaaaaaaapaaaaaaapaaaaaaapaaaaaaaaapaaaaaaaaaapaaaaaaaaapaaaaaaaapaaaaaaaapaaaaaaapaaaaaaapaaaaaaaaaapaaaaaaaapaaaaaaaaaapaaaaaaaapaaaaaaaaapaaaaaapaaaaaaapaaaaaaaaapaaaaaaaaaapaaaaaaaaappaaaaaaapaaaaaaaapaaaaaaappaaaaaappaaaaaaappaaaaaaaaaaapaaaaaaaapapaaaaaaapaaaaaaapaaaaaaapaaaaaapaapaaaaaaaapaaaaaaaaapaaaaaaaaaaaapaaaaapaaaaaaaapaaaaaaapaaaaaaaaapaaaaaapapaaaaaaaaapaaaaaaaaapaaapaaaapaaaaaaaapapaaaaappaaaaappaaaaaaaappppaaaaaaapppaaaaaaaaaapaaaaaapapaaaaaapaaaaaaappaaaaappappaaaaapapaaaaaaaapppaaaaaaaaaapaaaaaapaaaaaaaapaapaaaapppaaaaapppaaaaaapppappaaaaapppaaaaaaaapppaaaaappaaaaaaaapappaaaapppaaaaappppaaaaapapaaapaaaapppaaaaaaaapppppaaaapaapaaaaapaappaaappapaaappppapaaaapppaaaapaaappppaaaaaaapapppaaappappaaaaapppppaaappppaaapppppappaappppapappaapppappppaaapppapaaappappppaaapppppaaapppppaapppppaapaappppaapppaapppappaaaaapppappaappppppppaappppppaappppapapppppaapaappppapppppappppappapaapppppappppappppapapppppppppppppppppppppppppppppppppppppppppppappppppppaaappappppappppppppap
7,16,71,16,14,6,13,8,10,7,13,7,7,7,8,8,11,11,19,20,26,38,39,48,50,56,63,paaaaaaaaaaaaapaaaaapaaaaaaaaaaaapaaaaaaapaaaaaaaaapaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaapaaaaaaaaaaaapaaaaaapaaaaaaaaaapaaaaapaaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaapaaaaaaaaaaaapaaaaapaaaaaaaaaaapaaaapaaaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaappaaaaaaaaaapaaaaapaaaaaaaaaapaaaaaapaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaappaaaaaaaapaaaaaapaaaaaaaaaaaapaaaapaaaaaaaaaaapaapaaaaaaaaaapaaaaaaaaaaapaaaaaaappaaaaapaaaaaaaaaappaaaappaaaaaaaaaaaapappaaaaaaaaappaaaaaaaapaaaaaaaaappaaaaapaaaaaaaaaapaaaaapaaaaaaaaaaaaapaapaaaaaaaaappaaaaaaaapappaaaaaappppaaappaaaaaaaappaaaaapapppaaaaaaaappapappaaaaaaapaaaaaaaaapaappaaaapappaaaapappaaaaaaappaaaapppaaaaaaaaaapppapaaaaaaaaappaaaapaappapapaaaapppapaaapppapaaaaapppapaappaaapaaaaaaappppppappaaaaappaaaaappppappppaaapppapaaapppaapaaaapppppaappaapppppaaaappppppppappaaappaaaaapppppppaapaaappapaaapppaaappaapppaaaappppppppaaaaappppppaappppaapppaaapppppppppappppppapaaappppappaaapppaapppppappapppaaappppppppaapaaapppaaapppppppppapaapppppaaappppapppaappppppappppppppppaaappppppappapapapppppapppppppppapaapppppppppppppppppapppppaapppappppppaaapppppppppppppppppaappppppppppapaapppppppappppppppapppppppappppppppppppp
7,17,63,16,11,12,9,7,12,5,7,7,7,7,8,10,11,12,12,21,30,30,34,37,52,48,55,paaaaaaaaaapaaaaaaaaaaapaaaaaaaapaaaaaapaaaaaaaaaaapaaaapaaaaaapaaaaaaaaaaapaaaaaaaaaaapaaaaaaapaaaaaaapaaaaaaaaaapaaaaapaaaaaapaaaaaaaaapaaaaaaaaaaapaaaaaaaapaaaaaaaapaaaaaaaaapaaaaapaaaaaaapaaaaaaaaaapaaaaaaaaaaapaaaaaapaaaaaapaapaaaaaaaaapaaaaapaaaapappaaaaaaaapaaaaaaaaaapaaaaaaaapaaaaaaaaapaaaaaaaapaaaaaappaaapaapaaaaaaaaaapaaaaaaaaaaapaaaaappaaaaapaaapaaaaaaapaaaaapapaaapappaaaaaaaapaaaaaaaaaaapaaaaaaapaaaaaapaapaaaaaaaapapaaappaaaapaaaaaaaaaapppapaaaaaaappaaaaaaapaaaaaapaaaaaaaaaaapapaaapaaaaappaapaaaaaappppapaaaaaapappaaaaapapaaaappapaaaaaaaappaaapppaaaappppapaaaaaappaappaaaaapppapaaaappppaaappapapaaaaaappppapppppaapppppaaaaaapppappaaaaaappppapaaappppaaappappaaaaaaapppaappppaaappppaapaaaapppppppaaaaappppaaaaapppppaapppppaaaaaaappppappppaaappppppapaaapppappaaaaaapppppppaapppppaapppppaaaaaaappppappppaaapppppppappppppppppppaaapppppppaappppppappppppppppaapppppppppapappppppaapppppppppapapaappppppapapppppapppppppppaaaappppapppppappppppppappappppppppaapppppppppapppppppapppppppppappppppppppppap
7,18,53,16,10,6,8,9,3,7,10,7,7,7,8,8,9,11,14,16,22,26,28,34,38,41,46,paaaaaaaaapaaaaapaaaaaaapaaaaaaaapaapaaaaaapaaaaaaaaapaaaaaaaaaapaaaapaaaaaaaapaaaaaaapaapaaaaaaapaaaaaaaaapaaaaaaaapaaaaapaaaaaaaapaaaaaaapaapaaaaaapaaaaaaaaapapaaaaaaapaaaaapaaaaaaaapaaaaaaapaapaaaaaaapaaaaaaaaaapaaaaaaaapaaaapaaaaaaaapaaaaaaapaappaaaaapaaaaaaaaaaaapaaaaaaapaaaapaaaaaaappaaaaaaapaapaaaaaapapaaaaaaappapaaaaaapapaaapaaaaaaaapaaaaaaapaapaaaaaaappaaaaaaapaaappaaaapppaaapaaaaaaapppaaaaaapaapaaaaaaappaaaaaaaapaaappaaapapaaapppaaaaappapaaaaappapaaaaaapapaaaaaaappapaaaaaapppaaapapaaaaappaapaaaappapppppaappppaaaaaappapappaaapppaaappppaaaappaapaaaapaappppppapppapaaaaappapappaaappppaappppaaaapppppaaaappappapaaapppppaaaaappapppppaappppaappppaaaappapppaaapppppppppppppapaaaaappppapppaapppppapppppaaappappapaappppppppappppppppaaapppppppppappppaappppapaappppppapappappppppppppppaappappppppppapppppppppppappppppppaaappppppppppppppppaappp
7,19,82,16,12,19,9,9,10,11,12,7,7,7,7,8,12,9,20,22,27,32,44,54,55,63,73,paaaaaaaaaaapaaaaaaaaaaaaaaaaaapaaaaaaaapaaaaaaaapaaaaaaaaapaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaaaaaaapaaaaaaaapaaaaaaapaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaapaaaaaaaaapaaaaaaaapaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaaaaaaaaaapaaaaaaaaapaaaaaapaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaapaaaaaapaaaaaaaaaapaaaaaaaaaappaaaaaaaaaaapaaaaaaaaapaapaaaaaaaaaaaaaaapppaaaaaapapaaaaaaapaaaaaaaapaaaaaaaaaaaappaaaaaaaaaapaaaaaaaaaaapapaaaaaaaaaaaaaaapapaaaaaaapaaaaaapaaaaaaaaaaapaaaaaaaaapaaaaaaaaaapppppaaaaaaapappapaaaaaaaaaaaaaappaaaaaapppaaaaaapppaaaaaaaapapaaaaaaaapaaaaaaaaaapapppaaaaaaapapaaapaaaaaaaaaaaaappppaaaapppaaaaaappaaaaaaaapapapaaaaaapapapaaaaaaapppppaaaaaaapapaaaappaaaaaaaaaappappaaaapppaaaaaappapaaaaaapappappaaaapppaaaaaaaaappppppaaaaaapappapaapppaaaaaaaaappppaaaapppaaaaaapppaaaaaaapappapapaaapppapaaaaaaapppppapaaaaappppapappaappaaaaaappppppaaapppppaaaappppppaaaappppappaaaappppppaaaaaapppppapppaaappppappppaaaapaaaaappppppppapppapppaappppppaaaappppapppppppppppappaaaapppppppappaappppappppppaaapaaaappppppppppppaaaapappppaappaapppppppapaapppppapppaaapppppppapppappppapppppaaaapppaappppppapppppappapappppapappappppppppppapppppapppppappppppppapapppppappppppppappappppppppppppppppapppppppppapapppppppppppppppppppppapp
7,20,66,16,13,9,10,9,10,10,5,7,7,7,8,8,9,14,15,21,27,29,36,45,49,54,59,paaaaaaaaaaaapaaaaaaaapaaaaaaaaapaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaapaaaaaaaaaaaapaaaaaaaapaaaaaaaaapaaaaaaapaaaaaaaaaapaaaaaaaapaaaapaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaapaaaaaapaaaaaaaaapaaaaaaaaapaaaaaapaaaaaaaaaapaaaaaaaaaapaaaaaaaaapaaaaaaapaaaaaaaaaappaaaaaaapaaaapapaaaaaaaaapaaaaaaaaaapaaaaaaapaaaaaaaapaaaaaaaaaapaaaaaaaapaaaaapaaaaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaaappaaaaaaaappaaaaaaaapaaaaappaaaaaaaaaappaaaaaaappaaaaaaaaaapaaaaaappppaaaaaaaaapaaaaaappaaaappaaaaaaaaaaapaaaaaaapappaaaaaapapaaaaaappaaaaaaaaaaapppaaaappaaaappappaaaaaaapapaaaaaapppaaaaaaapapppaaaapppapaaaaapppaaaaaaapaaaaappapappaaaaapppaaaaaapppppaaaaapapapaaaapapaapaaaappppappaaappaaaappaapaapaaaappppaaaaapppaapaaaappppppaaapapapapaaappppaaappapaaaaappappppappaapppapaaaapppapaaaaapapppapaapppaapaaaapppppppppappaaappppppppappaapappappaappppappaaapapppppaapppapppppappppppaappppaaappppppppapppapppppapaapppaappaaapappppppapppppppaapppppppppppppaaappppppppappppppppppppapppaappaaappppppppapppppppaaappppppppppppppappppppppappppppppppppppppppppppppppppppapppppappapappppppppppppaap
7,21,59,16,8,7,11,8,15,4,6,7,8,8,8,8,8,12,14,20,17,25,35,41,43,53,49,paaaaaaapaaaaaapaaaaaaaaaapaaaaaaapaaaaaaaaaaaaaapaaapaaaaaapaaaaaapaaaaaapaaaaaaaaaapaaaaaaaapaaaaaaaaaaaaapaaappaaaapaaaaaaapaaaaaapaaaaaaaaaapaaaaaaappaaaaaaaaaaaaapaaaapaaaaapaaaaaaapaaaaaapaaaaaaaaaapaaaaaaaapaaaaaaaaaaaappaapaaaaappaaaaaapaaaaaaaapaaaaaaaapaaaaaaaapaaaaaaaaaaaaapaaapaaaaapaaaaaaaapaaaaappaaaaaaaaapaaaaaaaaapaaaaaaaaaaaapaaapaaaaappaaaaaappaaaaapaaaaaaaaaapaaaaaaaapapaaaaaaaaaaappaapapaaappaaaaaappaaaaaaapppaaaaaapappaaaaaapapaaaaaaaaaaapaaaapaaapppaaaaappaaaaaappppaaaaaappaapaaaappaapaaaaaaaaappaapppaaappaaaaaappaaaaappappaaaaaapaappppaapaaaaaaaaaaaaappaapaaaaappapaaaappaaaaaapppppaaaaappapppaaappppapaaaaaaaappaapppaaappppppaapppaaaapppppapppaapppapppapppaaaapppaaaaappaappppaappapppaappapaaappppppaappapppppppappppppapppppaaapppappppaapppppapppppappapppppppaaaapppapppappppppppapppaaappaapppppappppppappppapppppppppappppppppppppppppppappppppaappppppppppppppppappppaappppppppappaapppppppappppppppppppapppppapppppa
7,22,79,16,11,9,8,15,13,9,14,7,7,7,7,7,10,11,15,20,35,39,47,50,58,61,70,paaaaaaaaaapaaaaaaaapaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaapaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaapaaaaaapaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaapaaaaaapaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaapaaaaaaaaaaaaaapaaaaaaaaaapaaaaaapaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaapaaaaaaaaaaaapaaaaaaaaaaapaaaaaapaaaaaaapaaapaaaaaaaaaaapapaaaaaaaaapapaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaapaaaaaapaaaaaaappaaappaaaaaaaaapaaaaaaaaaaaaapapaaaapaaaaaaaaaaaaaapaaaaaaaaapppaaaaaapaaaaaaapapaaaapaaaaaaaapppaaaaaaaaaaapaapaaaappaaaaaaaaaaaappaaaaaaaapppaaaaaapppaaaaapppaaaaappaaaaaapapaaaaaaaaapappaaaaaaapapaaaaaaaaapppppaaaaaappppppaaapaapaaaapapappppapaaaaapppppaaaaaaaapappapaaaappappppaaaaaappppappaaaapppapaaaapppaaaaapppaapppapppaaappppappaaaaaapappappaappppapaapaaaaappppapppaaapppapppaappaapaaapppappppapaaaaappppaapppaaaapappppaaapppppppppppaaapppppappaaappppaaaaappppaaaappppppppapaaaaappppaappppaaapappppapppppppppppappaappppppppaaappppppappppppapaapppappppppaappappppapappppaapappppaappppppppppapapappppppppppappppppappppppappappppppppppapaaappppaapappappppppppaappppppppppapaaappppppppppppppppppapppppapappppppppppppapppppppappppapppppppppaapppppppppppppap
7,23,66,16,6,17,8,6,9,12,8,7,8,7,8,9,10,13,15,18,25,30,37,38,45,49,60,paaaaapaaaaaaaaaaaaaaaapaaaaaaapaaaaapaaaaaaaapaaaaaaaaaaapaaaaaaapaaaaaapaaaaaaaaaaaaaaapaaaaaaaapaaaapaaaaaaaaapaaaaaaaaaappaaaaaaapaaaaaapaaaaaaaaaaaaaaapaaaaaapaaaaaapaaaaaaaaapaaaaaaaaapaaaaaaaapaaaapaaaaaaaaaaaaaaaapapaaaaapaaaaapaaaaaaaaaaapaaaaaaaapaaaaaaaaapaaaaaapaaaaaaaaaaaaapaaaaaaapaaaaappaaaaaaaaapapaaaaaaaaapaaaaappaaaaaaaapaaaaaaaaaaaapaaaaaaapaaaaapaaaaaaaaaapappaaaaaapaaaaaaapapaaaaaaaappaaaaaaaaaapapaaaaapaaaaappaaaaaaaaaappaaaaaaapapaaaaapapaaaaaaaaappaaaaaaaaapappaaaapaaaaaapaaaaaaaaapppaaaaaaapppaaaaapapaaaaaaapapapaaaaaaaappaaaaaapaaaaappaaaaaaapppppaaaaaaapppaaaaapapaaaaaaaappappaaaaaaapppaaaaapappaappppaaaaapppppapaaaaapppaaaaapppppaappapppppaaaaaaaapapapaaapaapaappppaaaaapppppapaaaaappapaaaapppppaaapppppapaaaaaaaapppppaaapppppapppppaaaapppppappaaaapppapaaapppaaapppppppppapppaaaappppapaapapppappppaaaaapppppaaapaaapppaapaapppaaapppppppppapappaaappppappapppppappppppppapppppapapaaapppaaapappppppppppppppppaapaaaappppppappppppappppapaappppppapappaapppapppapppppppppppppppppppppppppppppappppppppppppppaapppppppppppppppaaapp
7,24,69,16,10,7,9,11,8,10,14,7,7,7,7,8,9,14,12,23,24,27,33,42,51,51,65,paaaaaaaaapaaaaaapaaaaaaaapaaaaaaaaaapaaaaaaapaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaapaaaaaaapaaaaaaapaaaaaaaaaaapaaaaaaapaaaaaaaaapaaaaaaaaaaaaapaaaaaaaapaaaaaaaapaaaaaaapaaaaaaaaaapaaaaaaaapaaaaaaaapaaaaaaaaaaaaapaaaaaaaapaaaaaapaaaaaaaaaapaaaaaaaaaapaaaaaapaaaaaaaapaaaaaaaaaaaaappaaaaaaaapaaaaaaapaaaaaaapaaaaaaaaaaapaaaaaaaaapaaaaaapaaaaaaaaaaaaappaaaaaaaapaaaaaaaapaaaaaaapapaaaaaaaapaaaaaaapaaaaaaaaaapaaaaaaaaaaaapaaaaaaaappaaaaaappaaaaaapaapaaaaaaaaapaaaaaappappaaaapaapaaaaaaaaaapaaaaaaaaapaaaaaaappaaaaaaaappaaaaaaapppaaaaaapaaaaaaaappaaaaaaaaaaaapppaaaaaaapppaaaappppaaaaapaapaaaaaaaapppaaaaapppapaaaaappppaaaaaaaaappapaaaaaapppaaaaapppaaaaapappaaaaaaapppaaaaaappapppaaappapapaaaaaaaapppapaaaaappaaaaapppaaaaaapaappaaaaaaappapaaapppappapaappapapppaaaaaappppppaaaappaaaaapppppaaaappppappaaaapppaapaaapppppapaappapapaaaaaaaapppppppaaappappaappppaaaaappppapappaapppaapppppppppppaappapappapaaaaappppppppaapppappppppppaaaappppppapppapppaapappppppppppapppppppappaaaapppppppppappppapapppppppaappppapaappapppaapappppppppppapppppppappaaaappppppppapppppppppppppppppppppppapppppppappappppppppppppppppppppppppp
7,25,65,16,11,7,7,12,13,4,11,7,7,7,9,8,8,10,12,17,23,29,32,42,43,51,53,paaaaaaaaaapaaaaaapaaaaaapaaaaaaaaaaapaaaaaaaaaaaapaaapaaaaaaaaaaapaaaaaaaaaapaaaaapaaaaaapaaaaaaaaaaapaaaaaaaaaaaapaaaapaaaaaaaaaapaaaaaaaaaapaaaaapaaaaaapaaaaaaaaaaapaaaaaaaaaaaapaaaapaaaaaaaaaapaaaaaaaaaapaaaaappaaaaapaaaaaaaaaaappaaaaaaaaaaapaaaapaaaaaaaaaaapaaaaaaaaapaaaaapaaaaaapaaaaaaaaaaapaaaaaaaaaaaappaaaapaaaaaaaaapapaaaaaaaapaaaaaapaaaaaapaaaaaaaaaapaaaaaaaaaaaapaaaapaaaaaaaaaapaapaaaaaaapaaaaapaaaaaapaaaaaaaaaaapapaaaaaaaaaapaaapaapaaaaaaaaaapaaaaaaaapaaaaaapaaaaapppaaaaaaaaappaaaaaaaaaaapaaapppaaaaaaaaapappaaaaaapppaaaappaaaaapaapaaaaaaaapaaaaaaaaaaaapapapppapaaaaaaappppaaaaaapppppaappaaaaappapaaaaaaaapapppaaaaaaaappaapppaaaaaaaaappppppaaaapppppaapppaaaappappaaaaaaapppaappaaaaaappaapppaapaaaaappppppapaaapppapaappapaaapppppaaaaaaappapappaaaaaappaappppppaaaaappppppppppappppppapppapaappppppaaaaaapapppppaaaaaapppapppppppaaaapppppppppppppppppappaaaaapppppappaaaappppapppaaaaapppappppppapaaappppppppapppppppaappaappppppppaaapaaapppppppppppaappppppppppppppapppppppppappppppppppaappppppppaapappppppppppaaappppppappppppapapp
7,26,75,16,15,8,10,8,11,13,10,7,7,7,7,8,10,14,17,21,32,32,36,44,53,63,70,paaaaaaaaaaaaaapaaaaaaapaaaaaaaaapaaaaaaapaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaapaaaaaaaaapaaaaaaapaaaaaaaaapaaaaaaaaaaaapaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaapaaaaaaaapaaaaaaaapaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaaaaapaaaaaapaaaaaaaaaapaaaaaapaaaaaaaaaapaaaaaaaaaaaaapaaaaaaapaaaaaaaaaaaaaaaapaaaaaapaaaaaaaaaapaaaaaaapaaaaaaaaappaaaaaaaaaaaapaaaaaaapaaaaaaaaaaaaaaaapaaaaaapaaaaaaaapappaaaaaaapaaaaaaaaaappaaaaaaaapaaaaaaaaapaapaaaaaaaaaaaaappaaaappaaaaaaaaappapaaaaapaaaaaaaapaaaapaaaaaaapaapaaaaaapaaapaaaaaaaaaapappaaaaapaaaaaaaaapaaaaaapappaaaaaaaaapaaapaaaaaapppppaaaaapaapappaaaaaaaaaappaaaaappaaaaaaappppppaaappaaaaaaaaappaaaaaaaaaapapapaaaaapappaapppaaaaaaaapapaaaapppaaaaaapppppppaapppaaaaaaapppappapaaaaapppppaaaaapaaaappaapaaaaaapppapaapppaaaaaaappppppaapppppaaaaaapppapaapaaaaappapppaaaapappapppaapaaaaapppaaaappaapaaaaappppppaaapppaaaaaaappppppppaaaaapppppapaaapappppppaaaaaaappppapaapppappaaaappppppppppppapaaaaapppppaapppaaapppppapaaapappppppapapaaappppapaapppapappaapppppppappppppppaaappppppppapppappppppapaapappppppappppaapppppppapppappappppppppppppppppppappappppppppppapppppppapppappppppppppppapppppppppppppapapppppppppppppppppppapapppppppppppppppppppppppp
