K,sample_ID,S,H,no_spp_niche_0,no_spp_niche_1,no_spp_niche_2,no_spp_island_0,no_spp_island_1,no_spp_island_2,no_spp_island_3,no_spp_island_4,no_spp_island_5,no_spp_island_6,no_spp_island_7,no_spp_island_8,no_spp_island_9,no_spp_island_10,no_spp_island_11,no_spp_island_12,no_spp_island_13,no_spp_island_14,no_spp_island_15,presence_absence_matrix_cols_isles_concatenated
3,11,61,16,23,15,23,4,3,6,8,15,14,16,18,22,26,30,32,41,40,48,54,paaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaapappaaaaaaaaaaaaaaaaaappppppaaaaaaaaaaaaaaaaaappppaaaaaaaaaappapppaaaaaaaaaaaaaaaaappppaaaaaaaaaaaaaaaaaaaappapaaaaaaaaaapppppppaaaaaaaaaaaaaaaappppappaaaaaaaaaaaaaaaaappppaaaaaaaaaappppappaaaaaaaaaaaaaaaappppapppaaaaaaaaaaaaaaaapppppaaaaaaaaappppappaaaaaaaaaaaaaaaappppapaapaaaaaaaaaaaaaapppppappaaaaaaapppppppppaaaaaaaaaaaaaappppappappaaaaaaaaaaaaapppppaapaaaaaaappppppppppppaaaaaaaaaaapppppppppppppaaaaaaaaaapppppaapaaaaaaappppppppppaapaaaaaaaaaappppppppppaaappaaaaaaaaapppppappaaaaaappppppppppppapaaaaaaaaappppppppppaappapppppaaappppppppapaaaaapppppppppppppappaaaaaaappppppppppaappapapapaaapppppppppappaaapppppppppppppaaapaaaaaapppppppppppappppapappaapppppppppppappapppppppppppppaaaappppaapppppppppppppppppppaappppppppppppppaapppppppppppppppaappapppp
3,12,70,16,23,23,24,3,4,4,10,12,13,20,25,30,34,43,47,46,55,59,64,paaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaappppaaaaaaaaaaaaaaaaaapaappppaaaaaaaaaaaaaaaaappppapaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaapappaaappaaaaaaaaaaaaaaappppaaaaaaaaaaaaaaaaaaapapaappaaaaaaaaaaaaaaaapppaapapaaaaaaaaaaaaaaaappppppaaaaaaaaaaaaaaaaapppapppaaaaaaaaaaaaaaaappppapppapaaaaaaaaaaaaaapppppppaaaaaaaaaaaaaaaappppappppaaaaaaaaaaaaaappppapppapppaaaaaaaaaaaappppppappppaaaaaaaaaaaappppapppapppaaaaaaaaaaappppapppapaappaaaaaaaaaapppppppppaapaaaaaaaaaaappppppppaaappaaaaaaaaaappppppppppaapapppaaaaaaapppppppppappppaaaaaaaaappppppppppapppppaaaaaaappppppppapppappaappaaaaappppppapppppaappaaaaaaappppppppppppppaappppaaapppppppppppppapapaapaaaapppppppppapppaaappaaaaappppppppppppppaaaaappaapppppppppppppapppaaaaaaapppppppppppppaaaapppppapppppppppppppppaappappapppppppppppppappppapaaaappppppppppppppaaappppappppppppppppppppapapappapppppppppppppappppappppappppppppppppppaapapppaappppppppppppppppppppppppppppppppppppppppppppapp
3,13,69,16,19,27,23,3,6,7,7,10,15,9,25,22,27,35,36,47,47,56,63,paaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaapapppaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaapappaaaaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaapppapaaaaaaaaaaaaaaaaaaaaaappapaaaaaaaaaaaaaaaaaaapppaapaaaaaaaaaaaaapppaappaaaaaaaaaaaaaaaaaaaappappppaaaaaaaaaaaaaaaapppaapaaaaaaaaaaaaapaaaaaapaaaaaaaaaaaaaaaaaaappaaaaapaaaaaaaaaaaaaaappppapppppaaaaaaaaapppapapppaaaaaaaaaaaaaaaaaappppapappppaaaaaaaaaaaappppppppaapaaaaaaaapppapappaaaaaaaaaaaaaaaaaaappppapappaaaaaaaaaaaaaappppappppaaaaaaaaaapppppappappaaaaaaaaaaaaaaaapppppppppaapaaaaaaaaaaapppppppppppppaaaaaapppappppapapppaaaaaaaaaaaaappppapppppppaaaaaaaaaaappppppppapapapaaaaapppppppaappappppaaaaaaaaaaappppppppppppaaaaaaaaaaappppppppppppppppaaapppppppppppppapappaaaaaaaaapppppppppppppppaaaaaaaapppppppppppppapppaappppppppppppppaaaapaaaaaaaappppppppppppaappppaaaaapppppppppppppppppaappppppppppppppppapapppaaaaapppppppppppppappppppaaappppppppppppppppppppppppppppppppppppppaappppppppppppppppppaappappappp
3,14,57,16,19,12,26,3,4,6,11,12,12,16,19,24,30,31,35,37,39,48,50,paaaaaaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaappaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaaapappaaaaaaaaaaaaaaappppaaaaaaaapapappaaaaaaaaaaaaaaaaaaaapppppaaaaaaaaaaaaaapppapaaaaaaapapapaaaaaaaaaaaaaaaaaaaaappapaaaaaaaaaaaaaaapapaaaaaaaaapppappppaaaaaaaaaaaaaaaaaappapappaaaaaaaaaaaapppaapaaaaaappppppapaaaaaaaaaaaaaaaaaappappaappaaaaaaaaaapppaappaaaaapppapppppaaaaaaaaaaaaaaaaapppppappaaaaaaaaaaapppappapaaaappppppapappppaaaaaaaaaaaaapppppppppaaaaaaaaaapappppppaaaappppppppppaappppaaaaaaaaaapppppppppppaaaaaaaappppapppaaaappppppppppppaaaapaaaaaaaaappppppppppaaaaaaaaappppppappaaappppppppppapppaappppaaaaaapppppppppappaaaaaaappppppppappapppppppppppappapaapapaaaaapppppppppapapaaaaaapppppppppaaappppppppppppppaappaapppaaapppppppppppappppaaappppppppppapppppppppppppppapppapppappapppppppppppapppappppppppppppppappppppppppppppapppppppaaap
3,15,79,16,23,33,23,4,3,6,6,12,20,28,29,38,39,45,53,58,58,69,72,paaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaaapaappaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaapppapaaaaaaaaaaaaaaaaaaappppaaaaaaaaaaaaaaaaaaaaaaaaaaaaapppapaaaaaaaaaaaaaaaaappaapapppaaaaaaaaaaaaaapapppppppppaaaaaaaaaaaaaaaaaaaaaaapapaappaaaaaaaaaaaaaaapppapappaaaaaaaaaaaaaaapppppappppapppppaaaaaaaaaaaaaaaaaapppapppppaaaaaaaaaaaaapppppapppppaaaaaaaaaaaaaappppppppapapaaaaaaaaaaaaaaaaaaaappppapppppaaaaaaaaaaaapppppppppapppaaaaaaaaaapppppaapppapapppppaaaaaaaaaaaaaaappppppppappppaaaaaaaaaappppppppppppapppaaaaaaapppppppappappppapaaaaaaaaaaaaaaaaappppppppapaapaaaaaaaaapppppapppppppppaaaaaaaappppppppppapppapaapppppaaaaaaaaaaappppppppppaaappaaaaaaappppppppppppppppppaaaaappppppppppappppaaappappppaaaaaaaappppppppppppppapaaaaaaappppppppppppppppppppaaappppppppppappppppappaapppaaaaaaaapppppppppppppppppaaaaaappppppppppppppppappapaappppppppppapppppaappppppppaaaaaaapppppppppppppppaapaaaaappppppppppppppppppappppppppppppppappppppappppppppppppaaappppppppppppppppaapppaappppppppppppppppppaapaapppppppppppppppppppppppppppapppppppppppppppppppppappappp
3,16,51,16,20,17,14,3,3,4,7,12,15,15,22,25,28,28,34,36,42,47,47,paaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaaaaaaapappaaaaaaaaaaaaaaaapaaaaaaaaaaaaaapppaaaaaaaaaaapappaappaaaaaaaaaaaapaappaaaaaaaaaaaaappppaaaaaaaaaaapppappaaaaaaaaaaaapppaappaaaaaaaaaapappappaaaaaaapppppappaaaaaaaaaaaapppaapaaaaaaaaaaapapapapaaaaaaapppppapappaaaaaaaaaapppaappppaaaaaaaapapppapppaaaaapppppappaaaaaaaaaaaapppapppppaaaaaaaappppppppppaaaapppppappaappaaaaaaaappppppppppaaaaaaapppppppppaaaaapppppappaaaapaaaaaaappppappppppaaaaaappppppppppaaaappppppppaappppaaaaaappppppppppppaaaaappppppppppaaaappppppppaapppapaaaaapppppppppppappaaapppppppppppaaapppppppppppappppppaapppppppppppapaaaapppppppppppppapppppppppppppppppppapppppppppppapppaappppppppppppppppppppppppppppppapappppppppppppappppppppppppppppppa
3,17,55,16,19,17,19,3,4,7,8,10,14,22,24,31,33,35,38,43,43,47,51,paaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaapaapaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaappppaaaaaaaaaaaaaapapappaaaaaaaaaaaaapappaaaaaaaaaaaaapapapaaaaaaaaaaaaaapppapappaaaaaaaaaaapppappaaaaaaaaaaaaappapaaaaaaaaaaaaapppapppaaaaaaaaaaaapppppappppaaaaaaappppapppaaaaaaaaaaapppapapppaaaaaaaaaapppppapapapaaaaaapppppppppaaaaaaaaaappppppppappaaaaaaaapppppppapappaaaaappppppppapppaaaaaaappppppppapapaaaaaaapppppppppappaaaaapppppppppppapaaaaaapppappppapappaaaaaapppppppapppppaaaapppppppppppppaaaaaappppppppppapapaaaaappppppppppppapaaapppppppppppppaaaaaappppppppppppppppaaappppppppppppapaaappppppppppppappaaaappppppppppappaapaaapppppppppppppppaapppppppppppppppaaaappppppppppappaappaappppppppppppppapappppppppppppppppppappppppppppapppppappppppppppppppppappppppppppppppppppapp
3,18,67,16,21,21,25,3,5,5,7,9,15,17,21,25,29,35,39,42,47,57,60,paaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaapaapaaaaaaaaaaaaaaaaaapaapaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaaaaapapapaaaaaaaaaaaaaaaapapapaaaaaaaaaaaaaaaappapaaaaaaaaaaaaaaaaaaaaapappppaaaaaaaaaaaaaaaaapappppaaaaaaaaaaaaapppappaaaaaaaaaaaaaaaaaaapapapapaaaaaaaaaaaaaapapappppaaaaaaaaaaaaapppapapppaaaaaaaaaaaaaaaapapppappaaaaaaaaaaaaapppappapaaaaaaaaaaaaapppppppappaaaaaaaaaaaaaaapappppppaaaaaaaaaaaaapapappppppaaaaaaaaaaapppaappapappppaaaaaaaaaaapapppppppaaaaaaaaaaaapppppppppapaaaaaaaaaapppaappapppapappaaaaaaaaapapppppppppaaaaaaaaaapppppppppaappaaaaaaaapppppppppppaapappaaaaaaaapapppppppapppaaaaaaaappppppppppaapaaaaaaaappppppppppppppaapppaaaaaapapppppppappapppaaaaapppppppppaappppaaaaaapppppppppppappaapappaaaaapppppppppappaapapaaaapppppppppppppapppaaaappppppppppppppaapapppaaaappppppppppppppppapppappppppppppppppapapaaappppppppppppppappppappppapppppppppappppappppppppppppppppppppppppppppppppppppppppppppappaaaap
3,19,76,16,26,26,24,4,6,4,9,9,16,16,20,30,29,40,40,50,57,64,68,ppaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaappappaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaappapaaaaaaaaaaaaaaaaaaaapaapappaaaaaaaaaaaaaaaaaappaaapaaaaaaaaaaaaaaaaaaaaapaaapaaaaaaaaaaaaaaaaaappappapppppaaaaaaaaaaaaaaappaapaaaaaaaaaaaaaaaaaaaaaapppapaaaaaaaaaaaaaaaaaappappapppaaaaaaaaaaaaaaaaappaapapaaaaaaaaaaaaaaaaaaapppaappaaaaaaaaaaaaaaaaappappapppappaaaaaaaaaaaaaappaapapaaaaaaaaaaaaaaaaaaappppapappaaaaaaaaaaaaaaapppppppppaapppaaaaaaaaaaaapppppappaaaaaaaaaaaaaaaaaapppppppappppaaaaaaaaaaaapppppapppapapaaaaaaaaaaaaapppppppappaaaaaaaaaaaaaaaappppapaappaapppaaaaaaaaapppppppppappppppaaaaaaaaaappppppppppppaaaaaaaaaaaaaappppappappaappapppaaaaaapppppapppapppaaapppaaaaaaapppppappppaappaaaaaaaaaaaapppppppppppappaaaappaaaapppppppppapppppapppppaaaaapppppppppppapapaaaaaaaaaaappppppppppappppaappppaaapppppppppappppppppppppaaaapppppppppppappappppaaaaaaapppppppppppppppaapppapaapppppppppapppppppapppapaaapppppppppppappapppppppppaapppppppppppppppapppppppapppppppppappppppppppppappppppppppppppapppppppaapaappppppppppppppppppppppppap
3,20,79,16,18,30,31,4,5,5,8,10,15,19,23,30,40,42,46,53,55,65,74,paaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaappaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaapapppaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaappaaaappaaaaaaaaaaaaaaaaaaaaaaapaaapppaaaaaaaaaaaaaaaaaaaaaaapppappaaaaaaaaaaaappaaapppaaaaaaaaaaaaaaaaaaaaaaaaappapappaaaaaaaaaaaaaaaaaaaaapppapapaaaaaaaaaaapppaapppaaaaaaaaaaaaaaaaaaaaaaappppppapapaaaaaaaaaaaaaaaaaaaapppapaapaaaaaaaaaapppaaapapppaaaaaaaaaaaaaaaaaaaapppppappaappppaaaaaaaaaaaaaaaappppppappaaaaaaaaapppppppppapppaaaaaaaaaaaaaaaaaappppaaappaaappppaaaaaaaaaaaaaapppppppppppaaaaaaapppppppppapppppaaaaaaaaaaaaaaaapppppppppappppaappaaaaaaaaaaaapppppppppaapaaaaaappppppppppppapapaaaaaaaaaaaaaappppppapppppppppaapppaaaaaaaaaapppppppppaaaaaaaaappppppppppppppappppaaaaaaaaaaaappppppppppppppppappapaaaaaaaaapppppppppaaapppaaapppppppppappppppapppppaaaaaaaaapppppppppppppppapppapppaaaaaaapppppppppappapaaaappppppppppppppppaapapapppaaaaaappppppppppppppppappapapppaaaaapppppppppapppppaaapppppppppappppppappapaapppppaappppppppppppppppppppapppapppppappppppppppppppppppppppppppppppppppappppappppapppppppppppppppppppppppappppppppap
3,21,61,16,15,21,25,4,4,5,6,10,12,19,29,28,35,35,40,46,52,52,57,paaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaappaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaappppaaaaaaaaaaaaaaaaapppppaaaaaaaaaaaaaaaaaaapaapappaaaaaaaapppaapaaaaaaaaaaaaaaaapappapaaaaaaaaaaaaaaaaaapappapappaaaaaappppaappaaaaaaaaaaaaaapappappppaaaaaaaaaaaaaaappapppaappppaaappppppppppaaaaaaaaaaaapppppapappppaaaaaaaaaaaappppappappappaapppppppapppaaaaaaaaaaapappappapapapaaaaaaaaaaappppppppppppaaappppppppappaaaaaaaaaappppppppppaapappaaaaaaaaappppppppppapapappppppppppappaaaaaaaappppppppapappaaaaaaaaaaaappppppppppappaapppppppppppaappaaaaaapppppppppppppaappaaaaaaaappppppppppapppapppppppppppapapppaaaapppppppppppppapppppaaaaaapppppppppppppppppppppppppppapppppaaappppppppppppppappppppaaaappppppppppppppappppppppppppapppappaapppppppppppppppppppaappaapppppppppppppppppppppppppppppppapppppppppppppppppppppppapaapp
3,22,80,16,29,27,24,3,4,6,6,8,12,16,23,27,30,37,48,51,58,70,74,paaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaaapaapppaaaaaaaaaaaaaaaaapaapppaaaaaaaaaaaaaaaaaaaaaaaapppppaaaaaaaaaaaaaaaaaaaaaapaaapapaaaaaaaaaaaaaaaapaapaappaaaaaaaaaaaaaaaaaaaaaappppapaaaaaaaaaaaaaaaaaaaappppppapaaaaaaaaaaaaaaaapappapapppaaaaaaaaaaaaaaaaaaaappppaappaaaaaaaaaaaaaaaaaappppppppppaaaaaaaaaaaaaappppappppapppaaaaaaaaaaaaaaaaappppaapappaaaaaaaaaaaaaaaapppppppppaaaaaaaaaaaaaaapappppppppaapaaaaaaaaaaaaaaaapppppapaaapppaaaaaaaaaaaaaapppppppppppaaaaaaaaaaaaappppppppppppppppaaaaaaaaaaaaapppppppppppaaaaaaaaaaaaaaaapppppppppaapaaaaaaaaaaaapppppppppppppappppppaaaaaaaaaappppapppppaappppppaaaaaaaappppppppppppppaaaaaaaaaapppppppppppppapppppappaaaaaaapppppppppppaapapppapaaaaaaapppppppppppppappaaaaaaaapppppppppppppapppppappaaaaaaapppppppppppapppppppapppaaaapppppppppppppppappaaaaaappppppppppppppppppppppppppaaappppppppppppppapppapppppppappppppppppppppapapppppaapppppppppppppapppppppppapapppppppppppppppppppppppppapppppppppppppppppppaappppppp
3,23,67,16,17,18,32,3,4,4,6,8,12,15,17,21,27,30,35,43,46,54,61,paaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapppaaaaaaaaaaaapaapaaaaaaaaaaaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaaaaapappapaaaaaaaaaaapapapaaaaaaaaaaaaapppppaaaaaaaaaaaaaaaaaaaaaaaaaaapappaaaaaaaaaaaaapppppppaaaaaaaaaaapppppaaaaaaaaaaaaaaaaaaaaaaaaaaapppppapaaaaaaaaaappappppaaaaaaaaaaappppapaaaaaaaaaaaaaaaaaaaaaaaaaapppppapaaaaaaaaaapppppapppaaaaaaaaapppppppaaaaaaaaaaaaaaaaaaaaaaaaapppppappaaaaaaaaappppppppaaaaaaaaaappppppppppppaaaaaaaaaaaaaaaaaaaappppppapppaaaaaaapppppppppppaaaaaaappppppppaaappaaaaaaaaaaaaaaaaaaappppppppppppaaaaappppppppppaaaaaaaapppppppppaaappppaaaaaaaaaaaaaaaappppppppappppaaaappppppppppapppaaaappppppppppapappapppppaaaaaaaaaaappppppppppppapaaapppppppppppapapaaapppppppppaappppappppapppaaaaaaaappppppppppppapppapppppppppppapapaaappppppppppappppppppapppapppppaaappppppppppppapppppppppppppppppappppppppppppppappppppppppppappaapppp
3,24,85,16,26,28,31,3,4,6,6,12,15,22,24,32,40,43,50,55,67,70,78,paaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaaapaapaaaaaaaaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaaaaaaaaaaaaapapppaaaaaaaaaaaaaaaaaaaappaapaaaaaaaaaaaaaaaaaaaaaaappapppaaaaaaaaaaaaaaaaaaaaaaaaaapapappaaaaaaaaaaaaaaaaaaapppappaaaaaaaaaaaaaaaaaaaaaappappappaaaaaaaaaaaaaaaaaaaaaaaapappppppaaaaaaaaaaaaaaaaappaaaapppppaaaaaaaaaaaaaaaaappppaappppaaaaaaaaaaaaaaaaaaaaappapppppapppaaaaaaaaaaaaaappaapapapapppaaaaaaaaaaaaaaappapaapaaappaaaaaaaaaaaaaaaaaaaapapppppppppaaaaaaaaaaaaaappappppppapaappaaaaaaaaaaaaappappppppapappaaaaaaaaaaaaaaaaappappppppppppppaaaaaaaaaaapppppppppppapapppaaaaaaaaaaapppppppppaaaaappaaaaaaaaaaaaaaappapppapppppaapppaaaaaaaaapppppppppppppapapppaaaaaaaaapppppppppapapapapaaaaaaaaaaaaaappppppppppppppapappaaaaaaapppppppppppapapapapaaaaaaaaappppppppppappappppppaaaaaaaaaaappppppppppppppaaappppaaaaapppppppappppppppppapaaaaaaaapppppppppppppappaappppaaaaaaaaappppppppppppppppppppppaaaapppppppppppppppapppppppaaaaapppppppppppppapppappapppppaaaaapppppppppppppppppppppapppapppppppppppppappppppppappaaapppppppppppppappppppppapaapaaaapppppppppppppppppppppaapappppppppppppppppppppppppapppppppppppppppppappppppppppapapppp
3,25,68,16,20,24,24,4,3,4,9,12,15,18,24,30,32,39,41,45,52,55,63,paaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaapppppaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaapaapaaaaaaaaaaaaaaapppappppaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaaaaaaaapappaaaaaaaaaaaaaaaappppppapaaaaaaaaaaaaaaaapppppaaaaaaaaaaaaaaaaaaapaapppaaaaaaaaaaaaaapappppppppaaaaaaaaaaaaappppaapaaaaaaaaaaaaaaaaappappapppaaaaaaaaaaapppppppppaaaaaaaaaaaaaaapppaapppppaaaaaaaaaaaaaappappaapapaaaaaaaaaapppppppppapppppaaaaaaaaapppppapappppaaaaaaaaaaaappapppapaappaaaaaaaappappppppapaapapaaaaaaaappppppppapppppaaaaaaaaaappappappaappaaaaaaaapppppppppppappaapaaaaaaappppppppppppapppppaaaaaappapppppaapppaaaaaaapppppppppppapppaapaaaaaapppppppppppppaappapaaaaappapppppaappapaaaaaapppppppppppappapapppaaaappppppppppppappappppaaaappapppppapppappaaaaappppppppppppppppappappaapppppppppppppppapppappaappppppppappppppppaaapppppppppppappppappppaaapppppppppppppppappapppaappppppppapppppapppppppppppppppppppppppppapppppppppppppppppppppppaapp
3,26,61,16,19,18,24,3,4,4,8,9,17,18,30,28,27,43,44,45,51,52,56,paaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaapappaaaaaaaaaaaaaaapappaaaaaaaaaaaaaaaaaaapaaaappaaaaaaaaaaaapaaapaaaaaaaaaaaaapaapppaaaaaaaaaaaaaaaaaapapppaapaaaaaaaaaaapapappaaaaaaaaaaaappappppppaaaaaaaaaaaaaaapapppaaapaaaaaaaaaapppppapaaaaaaaaaaappapppaaappaaaaaaaaaaaaapppppppappppaaaaaaapppppapppaaaaaaaaappppppapppappaaaaaaaaaaappppppaapaappaaaaaapppppaaaapaaaaaaaappppppapppapapppaaaaaaaappppppaapaapppaaaaapppppaapaaaaaaaaaappppppapppapaaapaaaaaaaapppppppappappappaaappppppppappppppaaapppppppppppppaapppaaaaaapppppppappappppppaapppppppppaaapppaaapppppppppppppaappappaaaapppppppappapppppappppppppppapaaapppaapppppppppppppapppapaaaaappppppppppapppppappppppppppappppppppapppppppppppppapppaaappaapppppppappapppppappppppppppapppppppappppppppppppppppppapappaappppppppppppppppappppppppppppppppppappppppppppppppapppappappp
