suffix,K,H,theta,m,T,J_0,J_1,J_2,J_3,J_4,J_5,J_6,J_7,J_8,J_9,J_10,J_11,J_12,J_13,J_14,J_15
_1,1,16,7.199579275734015,0.0804569670951345,inf,10.0,18.478497974222908,34.145488738336006,63.09573444801933,116.59144011798311,215.44346900318823,398.1071705534973,735.6422544596413,1359.3563908785254,2511.88643150958,4641.588833612777,8576.958985908937,15848.93192461114,29286.445646252374,54116.952654646375,100000.0
_1,3,16,7.498525841446055,0.046531808660276,inf,10.0,18.478497974222908,34.145488738336006,63.09573444801933,116.59144011798311,215.44346900318823,398.1071705534973,735.6422544596413,1359.3563908785254,2511.88643150958,4641.588833612777,8576.958985908937,15848.93192461114,29286.445646252374,54116.952654646375,100000.0
_1,5,16,8.031099846950092,0.0224997535671949,inf,10.0,18.478497974222908,34.145488738336006,63.09573444801933,116.59144011798311,215.44346900318823,398.1071705534973,735.6422544596413,1359.3563908785254,2511.88643150958,4641.588833612777,8576.958985908937,15848.93192461114,29286.445646252374,54116.952654646375,100000.0
_1,7,16,9.664253880012824,0.0056944867747433,inf,10.0,18.478497974222908,34.145488738336006,63.09573444801933,116.59144011798311,215.44346900318823,398.1071705534973,735.6422544596413,1359.3563908785254,2511.88643150958,4641.588833612777,8576.958985908937,15848.93192461114,29286.445646252374,54116.952654646375,100000.0
