K,sample_ID,S,H,no_spp_niche_0,no_spp_niche_1,no_spp_niche_2,no_spp_niche_3,no_spp_niche_4,no_spp_island_0,no_spp_island_1,no_spp_island_2,no_spp_island_3,no_spp_island_4,no_spp_island_5,no_spp_island_6,no_spp_island_7,no_spp_island_8,no_spp_island_9,no_spp_island_10,no_spp_island_11,no_spp_island_12,no_spp_island_13,no_spp_island_14,no_spp_island_15,presence_absence_matrix_cols_isles_concatenated
5,11,70,16,15,14,13,15,13,5,5,5,7,9,15,15,20,25,31,37,42,49,52,62,63,paaaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaaaaappaaaaaaaaaappaaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaaaaappppaaaaaapaaaaaaaaaaaaaaaaappaaaaaaaaappaaaaaaaaaaaapapaaaaaaaaaaappppppaaaaaaapapaaaaaaaaaaaapaappaaaaaaaaappaaaaaaaaaaaapppaaaaaaaaaaaaaappppaaaaaapappaaaaaaaaaaapaapapaaaaaaaapppaaaaaaaaaaappppaaaaaaaaaapappppappaaaapapaaaaaaaaaaaappappaaaaaaaapppppaaaaaaaaaapppaaaaaaaaaaapppppppapaaaapppppaaaaaaaaaappappaaaaaaaapppappppaaaaaaapppappaaaaaaaapppppppappaaappppaaaaaaaaaaapppppapaaaaaapppppaaaaaaaaaapppaappppaaaaapppppppappppappppapppaaaaaaapppppppaaaaaapppppppapaaaaaappppapppppaaaapppppppapppaappppaapappaaaaapppppapppaaaapppppppapppaaaapppppppapapppppppppppppppapppppaapaapaaaaapppppppappaaapppppppapapaaaapppppppapppppapppppppappppppppppppaaappppapppppppapaaaapppppppppppppaapppppppppappppppppppppppppppppppppppappapppppppppapppaapppppppppppappppppppppppapppppppppppppppappppppppappppppppppppppapaapp
5,12,61,16,10,10,13,12,16,5,6,5,8,8,12,12,16,19,26,29,37,43,42,49,54,paaaaaaaaapaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaaaaaaaappaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaappaaaaaaaapaaaaaaaaaaaaaappaaaaaaaaappaaaaaaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaaaaaaaapapapaaaaaaappaaaaaaaaaaaaaapppaaaaaaapppaaaaaaapaaaaaaaaaaaapaaaapaaaaaappapaaaaaaaaaaaappaaaaaaaappaaaaaaaappaaaaaaaaaaappaapaaaaaaappapaaaaaaaaaaaappaaaaaaaappppaaaaaappaaaaaaaaaaapaapppaaaaaappppaaaaaaaaaaaapappppaaaappaaaaaaaappaaaaaaaaaaapapppppaaaaappppaaaaaaaaaaaappppaaaaaapppappaaaapppppaaaaaaaapppppppaaaaapppppaaaaaaaaaaappppaapaaappppaaaaaappppppaaaaaaappppppaaaaaappppppppaaaaaaaapppppaapaapppapppaaapppapppaaaaaappppppppppaappppppaapppaaaaapppppppaaapppppppppappppppapaaaaapppppppapppappppappappappaaapppppapaaappppppaaaappppppapppaaappppppppappappppppppapaappaapppppapapappppppapaappppppapppppappppppppppppppppppppppappaaapppppppppppppppppaapppppppappppappppppppppppapppppppppppapapp
5,13,56,16,13,12,9,10,12,5,5,5,6,10,7,14,12,20,25,26,37,37,40,45,49,paaaaaaaaaaaapaaaaaaaaaaapaaaaaaaapaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaapaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaapapaaaaaaaapaaaaaaapaaaaaaaaaaappppaaaaaaaaaapaaaaaaaaaaappaaaaaaapapaaaaaapaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaapaaaaaaaapaapaaaaaapapaaaaaaaaapaaapaaaaaaaapapaaaaaaaaappppaaaaappappaaaaapaapaaaaaaaappppaaaaaaaaapaaaaaaaaaaapapapaaaapppaaaaaaapaaaaaaaaaaappapapaaaaaaapaapaaaaaaaapppapaaaappppapaaaappaapppaaaaappappppaaaaaapaaapppaaaaapppapaaaappppapaaaapapappppaaaappapppppaaaaapaapaapaaaaapppapaaaappppapaaaappappppapaaappppappappaaappapappppaaapppppppaappppppppaappappppapaaapppppppppppaappapappaaaaapppapppaapppppppaaapapppppppaaapppppppaapappppappppaapaapppappapapppppppaaappppppppppaappppppppappaappapappapaaappppppppppppppppapppppppppppppappppppppppaappppppppapappppppppppppppppppaappppppppapppp
5,14,76,16,16,17,17,14,12,5,5,6,7,9,14,14,26,31,38,42,53,55,62,66,69,paaaaaaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaappaaaaaaaaapaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaaappaaaaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaappaaaaaaaaaaaaaapapaaaaaaaaaaaaapppaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaapapappaaaaaaaaaaappapaaaaaaaaaappapppaaaaaapaaaaaaaaaaaaaaappaapppaaaaaaaaaapaaaaaaaaaaaaaaaappaaaaaaaaaaaapapppapaaaaapppppaaaaaaaaaaaapaaappppaaaaaaaapapapapaaaaaaaaaappapppaaaaaaaapppppaappaaapppaappppaaaaaaaapaapaapapaaaaaaapppapppppaaaaaaaappppappaaaaaaapppppapaaaaapppaapppppaaaaaappaappaappaaaaaaappppppppppaaaaaaappppapapaaaaaapppppapappaapppaapppappaaaaappappppppppaaaaaapppapaapapaaaaaaapppppppppaaaaapppppppppaaapppaapppppppaaaappapppapppappaaaapppppppppppppaaaappppppppppaaaapppppppppapapppppppppppapaaappppppppppapappaappppppppapapapaaapppppppppaaaaapppppppppapapppapppppppapaaappppppppppppapappppppppppppappppaapppppppppapaaapppppppppppppppppppppppapppapppppppppppppaaaapppppppppppppaappppppppppppppaapppppppppppppppppppppppapappppppppppppppappappppppppppppppappapppppppppppapppppppppppppp
5,15,69,16,16,14,8,12,19,5,5,5,7,9,11,21,25,31,36,39,47,49,57,59,59,paaaaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaapaaaaaaaaaaapaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaapaaaaaaaaaaapaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaappaaaaaappaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaappaaaaaaaaaaaapapaaaaaaaaaaaappaaaappaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaappaaaaaaaaaaaapapaaaaaaaaapaappaaapaaaaaaaaaaaappaapaaaaaaaaaaaaaappppppaaaaaaaaaappppaaaaaaaaappaapaaappppaaaaaaaaapppaapaaaaaaaaaaaapaaappapaaaaaaaappappppaaaaaaapappapaappppppaaaaaappapppaaaaaaaaaaaaappppppppppaaaaaapppppaapaaaaaappppapaappppappaaaaapppaaaapaaaaaaaaaaappppppppappaaaaappppppappaaaaappppapaappppapaaaaaapppppppapaaaaaaaaaapppppppppaaaaaaappppppapapaaaappppppaappppapappaaapppppppaappaaaaaaaapppppppppaapaaaapppppppppapppapppppppappppapaappaappppppppapppaaaaaaapppppppppppappaapppppppppaaapappppppaappppppappaaappppppppappppaaaaaappppppppppaaappapppppppppppppappppppaappppppapppppppppppppppppapppaaapppppppppppaappppppppppppppppappppppaappppppppppppppppppppppppaaaappapppppppppppaapapppppppppppppppppppppapppppppappppppppppppppppapaapaap
5,16,63,16,17,15,6,17,8,5,5,9,6,7,9,20,21,19,24,24,35,38,40,50,56,paaaaaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaapaaaaaaaaaaaaaaaapaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaapaaaaaaaaaaaaaaaaapaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaappaaapppaaaaaaaaaaaaaaappaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaapaaapaaaaaaaaaaaaaaaaaappaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaapaapaaaaaaaaaaaaapapaaaaappaaaaaaaaaaaaaaapapaaaaaaaaaaaaaapaaapaaapaaaaaaaaaaaappaaaaaappppaaaaaaaaaaaaapppaaaaaaaaaaaapppaaapapappppaaaaaaaaappppaaaappaappppaaaaaaaaapappaaaaaaaaaaapppaaapapappaapaaaaaaaappppaaaappapaaaaaaaaaaaaapapaaaaaaaaaaaappppaapappppaaapaaaaaaappppaaaappppapaaaaaaaaaaapapapaaaaaaaaaapppaaappppppaappaaaaaaapppppaaappppapaaaaaaaaaaapappapaaaaaaaaapppapapppappaappaaaaaaappppaaaappppappaaaaaaaaaapppapppaaaaaaaapppappppppppappppppaaaappppappappppappppaaaaaaaappppppppaaaaaaapppappppppppapppppapaaappppaapappppapppapppaaaaappppppaapaaaaaapppappppppppapppappapaapppppapappppppppappapaaaappppppppapppaaappppppppppppppppappappppppppappppppppppapapppppppppppppppapappppppppppppppppppppppppaapppppppa
5,17,66,16,15,11,7,16,17,5,6,5,6,7,11,18,20,28,28,38,41,41,53,53,62,paaaaaaaaaaaaaapaaaaaaaaaapaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaapaaaaaaapaaaaaaaaaaaaaaappaaaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaapaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaappaaaaaaaaaaaapaaaaaaaaaapaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaapapaaaaaaaaaaapaaaaaaaaaapaaaaaapapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaaappaaaaaaaaappaaaaappppaaaaaaaaaaaapapaaaaaaaaaaaaaappaappaaaaaaaaappppaaaaaaapppaaaapppapaaaaaaaaaaapapapaaaaaaaaaaaappppappaaaaaaaapppaaaaaaaapapaaaapppaapaaaaaaaaaapappppaaaaaaaaaaapppappapppaaaaapppappaaaaapppaaaappppaapaaaaaaaaapppppppaaaaaaaaaappapppapaapaaaapppappaaaaappppaaapppaaappaaaaaaaapppppppaaaaaaaaaappppppappppaaaapppappppaaappppaaappppappapppaaaaappppppppaaaaaaaaappppppppppppaaapppappapaaappppaaapppppppppppaaaaapppppppapaaaaaaaappppppappppaaaapppappppaaappppppappppaappppapaaaapppppppappaaaaaaappppppppppppaaappppppppaaappppppappppppppppppppaapppppppappppppaaapppppppppppppaappppppppaaappppppappppppppppppppaappppppppppapaapaappppppppppppapppppappppppppppppppppppppppppappppppppppppppppppappp
5,18,56,16,10,8,12,10,16,5,5,5,7,12,9,16,17,25,31,32,34,40,42,48,55,paaaaaaaaapaaaaaaapaaaaaaaaaaapaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaapaaaaaaaapaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaaaaapaaaaaaaaaaaaaaaappaaaaaaapaaaaaaaapaaaaaaaaaappaaaaaaaaapaaaaaaaaaaaaaappaaaaaaaappaaaaaappaaaaaaaaaapappaaaaaaapppaaaaaaaaaaaapaaaaaaaaaapaaaaaapppaaaaaaaaapaapaaaaaappaaaaaaaaaaaaaapaapppaaaapppaaaaapppaaaaaaaaapaaapaaaaappaappaaaaaaaaaappaapaaaaappapaaaappppaaaaaaaappaapaaaaappppaaaaaaaaaaaapppppaaaaappappaaapppaaaaaaaaappppppaaaapppapapppaaaaaaapppppppaaappappaaapppappaaaaaapppppapaaapppppppappaaaaaappppppppaappappaaapppaapppaaaapppppaaaaapppppppappaaaaaappppppaaaapppppaaapppappappaaapppppaaaaapppppppappppaaaapppppppaaappppppaappppppapapaapppppppaaappppppppppappaaappppppppppppappapappppppapppaappppppapaappppppppppaapaaappppppppaappppppappppppppppppappppppppaappppppppppppppaappppppppppppppppappppppppppppppppppppppppppppppppppppppp
5,19,70,16,10,13,18,17,12,5,6,6,6,11,12,12,18,24,29,33,43,46,53,56,68,paaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaappaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaapapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaappaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaappppaaaaaaaaapaaaaaaaaaaaaaaaaappaaaaaaaaaaaaaappapaaaaaaaappaaaaaaaappaaapaaaaaaaappaaaaaaaaaaaaaaappppaaaaaaaaaaaaapaaaaaaaaaaappaaaaaaaappaaaapaaaaaappapaaaaaaaaaaaaaaappaaaaaaaaaaaaaapapaaaaaaaaapapaaaaaaapppapaaaaaaaappaappaaaaaaaaaaaapppppaaaaaaaaaaaappaapaaaaaaappaaaaaaaappaaapapaaaaappppppppaaaaaaaaaapppaapppaaaaaaaaapppapaaaaaaappppaaaaaapppaappappaaappappaapaaaaaaaaaapppppappppaaaaaaapppapaaaaaaappppaaaaaapppaappappaaappappppapaaaaaaaaappppppppapaaaaaaapppapppaaaaapppppppaaapppppppappaaappppppppppaaaaaaaappppppppppaaaaaaapppppppaaaaapppppappaapppppppappaaapppppppppapaaaaaaapppppppppppaaaaaapppppppppaaapppppaappppppppppapppaapppppppppapppppaaapppppppppppppaaaappppppppaaaapppppapppppppppppappppppppppppppapppaaaaapppppppppppaapaaapppppppppppapppppppppppppppppapppppppppppppppppppppppppppppppppppppppppppppppppapp
5,20,77,16,17,9,15,17,19,5,5,8,7,9,12,15,21,29,34,45,44,55,56,62,70,paaaaaaaaaaaaaaaapaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaappaaaaaaaappaaaaaaaaaaaaapaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapppaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaappaaaaaaaaaaaaaaapaapaaaaaaappaaaaaaaaaaaappaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaapppaaaaaaaaaaaaaaaappaaaaapppaaaaaaaaaaaapappaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaapapaaaaaaaaaaaaaappappaaaapppapaaaaaaaaaapapaaaaaaaaaaaaaappaapaaaaaaaaaaaaaappappaaaaaaaaaaaapappppaaapapappaaaaaaaaapppaaaaaaaaaaaaaapppappaaaaaaaaaaaaapppppppaaaaaaaaaappappaaaapppppaaaaaaaaaapppppaaaaaaaaaaaappppappppaaaaaaaaaappppppappaaaaaaaapppppaaaapppppapaaaaaaaappppppppaaaaaaaaappppapaaappaaaaaaaapppppppapppaaaaaappppppaaapppppapppaaaaaappppaapppppaaaaaappppppppppappaaaaaapppppppapapaaaaaapppppppaapppapppappaaaaappppppapaaaaaaaaapppppppappappppaaaappppppppppppaaaaapppppppaapppppppappaaaaappppppapapppppaaapppppppppppppppaaaapppppppppapappaaapppppapaapppppppppppaaaappppppppppppaaaaapppppppppppppppaaaapppppppppapapappappppppppappppppppppapppapppppppppppaaapaappppppppppappppppaapppppppppppappaapppppppppppppppppppppappppppppppppppapapppppppppppppppppppapp
5,21,78,16,11,16,19,16,16,5,5,5,7,8,13,15,23,26,33,40,50,56,58,65,72,paaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaaaaappaaaaaaaaaapaaaaaaaaaaaaaapaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaaaappaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaapappaaaaaaaaaaaaapaaaaaaaaaaaaaappapaaaaaaappaaaaaaaaaaaaaappaapaaaaaaaaaaaaaapppaaaaaaaaaaaaaappaaaaaaaaaaaaappaaaaaaaaappaaaaaaaaaaaaaapppapaaaaaaaaaaaaaapapapaaaaaaaaaaappappaaaaaaaaaaapppapaaaaaappppaaaaaaaaaaaappaapppaaaaaaaaaaaapapapppaaaaaaaaappppapaaaaaaaaaapppaapppaaapppapaaaaaaaaaaappaapappaaaaaaaaaaapppppappaaaaaaaapppaaapaaaaaaaaapppppaaaaaapppaappaaaaaaaaapppppappppaaaaaaaaapppppapaaaaaaaaapppappapppaaaaaapppapappaaapppppaaaaaaaaaaapppapppppappaaaaaaapppppappppaaaaaapppppppppapaaaaapppappppaaappppppappaaaaaaappppppppppppaaaaaaapppppapppppppaaappppppppppapaaaapppppppppaapppppppapaaaaaaapppppppppppppppaaaapppppppppppapaaapppppppappapppaappppppppppappppappappppaaaappppppppppppapapaaapppppppppppaapaapppppppppppaapaappppppppppppppppppppppppaaappppppppppppppappaappppppppppppaaaapppppppappappppappppppppppppppppppppappapppppppppppppppppappppppppppppppppaappppppppppppppppap
5,22,75,16,14,15,10,15,21,5,6,5,7,9,15,15,21,26,29,36,41,51,54,65,73,paaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaaaaappaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaaaaaaapaaaaaapaaaaaaaaaaaaaaaapaaaaaaaaaaaaaaaaaapaaaaaaaaaaaaappaaaaaaaaaaaaaaaapaaaaaapaaaaaaaaaaaaaaapapaaaaaaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaaaaapppaaaaaapaaaaaaaaaaaaaaapaappaaaaaaaaaaaaaaapppaaaaaaaaaaappaaaaaaaaaaaaaaaappppaaapapaaaaaaaaaaaappaaappaaaaaaaaaaaaaapaapaaaaaaaaaapppaaaaaaaaaaaaapppaaaaaapaaaaaaaaaaaaaaappaaappppaaaaaaaaaaapappaaaaaaaaaappapaaaaaaaaaaaappppapaaapapaaaaaaaaaaaapppaapppaappaaaaaaaaapapppaaaaaaaaappaappaaaaaaaaaappppappaapapaaaaaaaaaaaapppapppaapapppaaaaaaapappapaaaaaaaappaaaappaaaaaaapppppappaapappaaaaaaaaaaapppaappppappappaaaaaapapppappaaaaaappapapappaaaaaapppppappaapappppaaaaaaaaapppapppapappppapaaaaapapppppapaaaaappppppappppaaaappppppppaapapapapaaaaaaaappppppppappppaaaaaaaapppppaapapppaappppppappppaaaappppppppaapappppppppaaaaapppapppapppppppppaaaapapppaapaappaapppppppppppppaapppppppppapappppppapaaaaappppppppppppppapppaaapppppappppppppppppppppppppppapppppppppappppppppapaaaaappppppppppppppppppppapppppppppppppppppppppppppppapppppppppppppppppppappppppppppppppppppppppppppp
5,23,65,16,17,11,15,10,12,5,6,8,7,9,17,19,23,23,30,38,44,46,49,54,61,paaaaaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaapaaaaaaaaaaappaaaaaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaapaaaaaaaaaaappaaaaaaaaaaaaaappaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaapapaaaaaaaaapaapaaaaaaaaaaaaaapaaaaaaaaappaaaaaaaaaaaaapaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaaaappaaaaaaaaaapppaaaaaaaaaaaaapaaaaaaaapapaaaaaaaappppppaaaaaaaaaaappaaaaaaaaappappaaaaaaaaaapaapaaaaaapppaaaaaaaaappappppppaaaaaaaappppaaaaaaaapaaaaaaaaaaaaapapapaaaaapppaaaaaaaaappppppapaaaaaaaaappppppaaaaapppapaaaaaaaaaappppaaaaaappaaaaaaaaaapppppppapaaaaaaaappaaaaaaaaapppppaaaaaaaaaappppapaaaappaapaaaaaaapppppppapaaaaaaaappapaaaaaaapppppppaaaaaaaappppapaaaapppppppaaaaapppppppapppaaaaaapppppppaaaapppppaapaaaaaaappppappaaapppppppppaaapppppppppaapaaaaappppppaaaaapppppppppppaaaappppppppaappppppppapaapppppppppppappaaappppapapaaappppppappappaaapppppppaaappppppppappapppppppapapppapaappppapappaapppppaapppppppappppppppaappppppppappappppppppppapaappapppppppppaapppppappppppapppppppppapappppppppappppppppppppppppappppppppppppppppppppppppppppappppppppappppppppppppa
5,24,62,16,16,12,15,8,11,5,5,5,6,11,14,18,24,26,28,38,38,41,41,54,53,paaaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaapaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaapaaaaaaaaaaaaappaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaapaaaaaaaapaaaaaaaaaappaaaaaaaaaaaaapppaaaaaaaaapaapaaaaaaaaaaaappaaaaapapaaaaaaaaaappapaaaaaaaaaapaapaaaaaaaapaappaaaaaaaaaappapaaaapaappaaaaaapappapaaaaaaaaaappapaaaaaaaapappaaaaaaaaaaapppapaaapppapaaaaaapppapapaaaaaaaaappppppaaaaaapapppppaaaaaaaappppaaaappaapaaaaaapapppppppaaaaaaappppaaaaaaaapapppppaaaaaaaappppaaaappaappaaaaapppppppapaaaaaaappppapaaaaaappppppapaaaaaaappppaaaapppaaapaaaapppppppppppaaaaappppappaaaaapppppppapppaaaappppapaapppapppaaaappppppppppaaaaaappppapppaaaappppppaaappaaaappppapaapppppapppaapppppppppppaaaaappppappppaaappppppaaaapppaappppppaapppppppaaaappppppppppppaaaapppppppppaaapppppppaaappaaappppapaapppppapaaaapppppppppppapppapppppppppppappppppppaapppppppppappapppppppappppppppppppppaapappppppppppappppppppppapppppappppppappppppappapp
5,25,66,16,11,13,14,13,15,5,5,5,5,7,13,15,19,25,29,33,37,42,50,51,57,paaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaaaaapaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaaappaaaaaaaaapaaaaaaaaaaapapaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaaaapapaaaaaaaapappaaaaaaaaapaapaaaaaaaaaappaaaaaaaaaaaaappppaaaaaaaaaappppaaaaaapapapaaaaaaaapapaaaaaaaaaaapapaaaaaaaaaapappaapaaaaaaaaappappaaaaapppaaaaaaaaaapppppaaaaaaaaapappaaaaaaaaaappppaaaaaaaaaapppapappaaapppappaaaaaaapppppaaaaaaaaapapapaaaaaaaappppppaaaaaaaaapppppaapaaapppppapaaaaaappppppppaaaaaapppapaaaaaaaapapappapaaaaaaappppppppaaapppppppaaaaaapppppppappaaaapppaaaaaaaaaapppappapaaaaaaapppappppppappppppaaaaaaappppppapappaaapppaapaaaaaaapppppppppaaaaaapppppppppaapppppppaaaaaappppppppppppaapppapapaaaaaappppppppapaaaaappppppppppapppppppppaaaappppppppappapapppapaappppaappppppppappppaappppppppppappppppppapaaapppppppppppaappppapaappaaaappppppppppppapppppppppppppppppppppaapppppppppppappppapppapappapppppppppppppppapap
5,26,61,16,15,8,13,15,10,5,5,6,7,11,13,20,23,25,32,33,42,46,54,52,54,paaaaaaaaaaaaaapaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaaapaaaaaaaaaaaaaapaaaaaaaapaaaaaaaaaaaapaaaaaaaaaaaapapaaaaaaaaapaaaaaaaaaaaaapaaaaaaapaaaaaaaaaaaaaappaaaaaaaaaaaappaaaaaapapaaaaaaaaaaaaapaaaaaappapaaaaaaaaapappaaaaaaaaaaapaapaaaaaappaaaaaaaaaaaaappaaaaaappapaaaaaaaaapppaaaaaaaaaaaaapappaaaaapppppaaaaaaaaaapppaaaaappapaaaaaaaaapappppaaaaaaaaapapppaaaaaappaaaaaaaaaaaappppaaaappppppaaaaaaappppapppaaaaaaapappapaaaappppappaaaaaaaapppapaaappppaapaaaaaappppappaaaaaaaapappapaaaapppppppppaaaaaappppapaappppaapaaaaaappppppappaaaaaappppapaaaapppppppaaaaaaaappppaapapppppapppaaaapppppppaaaaaaaapppppapaaappppppppppppaaapppppapappppppppaaaaappppppppapaaaaappppppapaappppppppppaapppppppppaappppppppapaaappppppppppppaaappppppaaaapppppppppppapaapppppppppppppppppppaappppppppppppppapppppppppappppppppppappaapppppppppppppppppaappppppppppppppaapppppppappapppppppppppppapppppppppppppppppppaaappppppppppppaaapppppppppp
