"subset_name","sample_ID","rho","observed_c_score","actual_sample_size","effective_sample_size","mean_c_score","lower_tail_p","upper_tail_p","p_type","standardised_effect_size"
"survey_only",1,1700,1.35216049382716,3899,1039.15965175071,1.41112266836384,0.0248781738907412,0.975634778148243,"==",-1.55108255228585
"survey_only",2,1700,1.08645016797312,4699,1044.14812557529,1.11666283384018,0.150670355394765,0.852309001915301,"==",-0.966973233610647
"survey_only",3,1700,0.847937368262571,3899,1020.32847939757,0.845623832545641,0.615542446781226,0.389587073608618,"==",0.0795765966058265
"survey_only",4,1700,1.06591760299625,5199,1034.72481891248,1.10475859781928,0.0732833237160992,0.929024812463935,"==",-1.22190569120793
"survey_only",5,1700,1.11604938271605,3899,1009.10772788828,1.1154661372495,0.57245447550654,0.430110284688382,"==",0.0167748888399089
"survey_only",6,1700,0.890877192982456,4699,1047.88445417584,0.896596364288034,0.481379016812088,0.525005320280911,"==",-0.19788775664528
"survey_only",7,1700,0.894504848662944,4999,1014.0950862221,0.879691659754225,0.770354070814163,0.23244648929786,"==",0.545690593979616
"survey_only",8,1700,1.44388944388944,2699,1029.43010992676,1.47690360769279,0.178214153390144,0.82660244535013,"==",-0.875901785147649
"survey_only",9,1700,1.07399267399267,4199,1002.16134582973,1.09546054485326,0.228625863300786,0.77613717551798,"==",-0.756933844428109
"survey_only",10,1700,1.40214216163583,3999,1006.15540979877,1.43445890683966,0.15778944736184,0.845211302825706,"==",-0.972965463618852
"survey_only",11,1700,1.09561128526646,4799,1003.83079226493,1.13359257403634,0.0579287351531569,0.944988539279016,"==",-1.25826203803663
"survey_only",12,1700,1.11173483025929,3199,1004.09135351408,1.13167064119459,0.299468583932479,0.703969990622069,"==",-0.579763293922345
"survey_only",13,1700,1.51882716049383,3499,1009.08060143754,1.56086527367608,0.126893398113747,0.875392969419834,"==",-1.07256648811488
"survey_only",14,1700,1.29403929403929,3899,1032.55897935234,1.32336792044409,0.172864837137728,0.833290587330085,"==",-0.896400533060558
"survey_only",15,1700,0.981330924420355,3999,1012.76453808508,0.981954085329523,0.564141035258815,0.439109777444361,"==",-0.0174769156867287
"survey_only",16,1700,0.969444444444444,2999,1004.30867697467,0.988405806050576,0.335778592864288,0.667222407469156,"==",-0.508194284143055
"survey_only",17,1700,1.17045177045177,5199,1016.66779342212,1.19224773431352,0.281400269282554,0.722061934987498,"==",-0.644891744011682
"survey_only",18,1700,1.797668997669,2299,1017.61883283099,1.8159481521813,0.407133536320139,0.598956067855589,"==",-0.368122500584047
"survey_only",19,1700,1.28137726767864,3799,1025.22020793034,1.29799001062167,0.371413529876283,0.633587786259542,"==",-0.428354670415807
"survey_only",20,1700,1.21652661064426,3499,1002.31264287195,1.22991522988161,0.404687053443841,0.599028293798228,"==",-0.375083422490519
"survey_only",21,1700,1.44303797468354,3699,1016.41079655663,1.49106412612372,0.04514733711814,0.956204379562044,"==",-1.42821832201598
"survey_only",22,1700,0.978217821782178,4799,1006.51108534079,1.01592790577245,0.0835590748072515,0.918524692644301,"==",-1.21497784968291
"survey_only",23,1700,0.992175273865415,4399,1025.0233438453,0.952015431733133,0.89747669924983,0.103432598317799,"==",1.21695123497556
"survey_only",24,1700,1.31463748290014,3699,1000.4436753178,1.36553932386059,0.0713706407137064,0.930521762638551,"==",-1.26763799783633
"survey_only",25,1700,0.968701095461659,3399,1012.97594428776,0.988762574466116,0.305383936451898,0.699617534568991,"==",-0.539750862803363
"survey_only",26,1700,0.95266106442577,4199,1029.97806648483,0.990366653925204,0.0273874732079066,0.97308883067397,"==",-1.40381921132047
"survey_only",27,1700,0.977408354646206,3499,1001.37914748185,0.971277264214084,0.661331809088311,0.342669334095456,"==",0.214761235722172
"survey_only",28,1700,1.20735785953177,4899,1014.11491626116,1.23408265013473,0.15962441314554,0.843233312921004,"==",-0.946996483436
"survey_only",29,1700,0.995848595848596,4499,1010.02649518547,1.0049062049062,0.443209602133808,0.5614581018004,"==",-0.300998078932978
